,League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
0,DENMARK - 1ST DIVISION,2024-04-01,10:00:00,Hobro,Kolding IF,2.94,3.35,2.4,2.6,3.35,4.0,1.88,2.08,1.94,2.14,1.71,1.97,2.02,2.4,4.6,980.0,4.2,980.0,4.3,980.0,5.6,1000.0,4.4,980.0,4.1,980.0,4.0,980.0,4.8,980.0,4.5,980.0,4.5,980.0,4.4,980.0,5.1,980.0,5.2,980.0,5.0,980.0,5.2,980.0,5.4,1000.0,4.8,980.0,4.6,980.0,5.7,1000.0,33134133,1212772.0,151010.0,58805.0,1.226581881,1.226581926,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
1,FINLAND - YKKONEN,2024-08-11,12:30:00,OLS Oulu,KPV Kokkola,2.48,2.7,2.7,2.94,3.8,4.1,2.34,2.5,1.67,1.74,1.54,1.74,2.36,2.86,16.5,980.0,13.5,980.0,4.2,980.0,4.2,980.0,12.0,980.0,8.0,980.0,11.0,980.0,4.3,980.0,3.85,980.0,10.0,980.0,12.0,980.0,4.2,980.0,4.5,980.0,19.5,980.0,4.4,980.0,4.5,980.0,2.66,18.0,2.72,21.0,3.1,980.0,33482147,396721.0,1130626.0,58805.0,1.231648994,1.231649039,1.231649078,1.231649003,0.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
2,ROMANIA - LIGA 2,2024-09-20,10:00:00,Chindia Targoviste,Ceahlaul,2.26,3.15,2.8,3.95,2.76,3.35,1.64,1.92,2.08,2.58,1.12,9.4,1.12,9.4,3.2,980.0,3.2,980.0,1.22,980.0,1.13,1000.0,3.1,980.0,2.84,980.0,3.4,980.0,1.13,1000.0,3.5,980.0,3.3,980.0,1.22,980.0,1.13,1000.0,1.13,1000.0,1.13,980.0,1.13,1000.0,1.13,1000.0,1.55,980.0,1.55,1000.0,1.13,1000.0,33597502,5823182.0,1557295.0,58805.0,1.233143867,1.233143912,1.233143951,1.233143876,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
3,FINLAND - VEIKKAUSLIIGA,2024-09-20,12:00:00,Haka,SJK,3.35,3.45,2.12,2.16,4.1,4.3,3.25,3.4,1.43,1.44,1.43,1.47,3.15,3.35,28.0,34.0,17.0,19.5,18.0,20.0,26.0,28.0,23.0,25.0,10.5,11.5,11.0,12.0,17.5,18.5,28.0,32.0,14.0,15.0,12.0,13.5,19.5,22.0,44.0,60.0,27.0,29.0,24.0,28.0,23.0,38.0,14.5,15.5,7.2,8.0,20.0,980.0,33589534,516339.0,5418845.0,58805.0,1.233041971,1.233042016,1.233042055,1.23304198,0.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
4,ROMANIA - LIGA 1,2024-09-20,12:00:00,FC Botosani,Gloria Buzau,1.95,1.99,4.9,5.2,3.35,3.45,1.68,1.84,2.18,2.46,1.95,2.24,1.81,2.06,8.6,11.5,12.0,16.0,6.4,980.0,4.6,980.0,6.2,8.2,6.4,8.2,16.0,22.0,4.5,980.0,8.8,11.5,8.6,11.5,6.4,980.0,4.5,980.0,17.5,980.0,19.0,980.0,6.6,980.0,4.6,980.0,3.8,60.0,4.6,980.0,4.7,1000.0,33559486,3465177.0,2487031.0,58805.0,1.232695519,1.232695564,1.232695603,1.232695528,3.0,3.0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
5,CROATIA - HNL,2024-09-20,13:00:00,Varazdin,Istra 1961,1.87,1.89,5.4,5.8,3.3,3.5,1.7,1.76,2.32,2.44,2.06,2.26,1.79,1.95,9.2,11.0,13.5,15.5,32.0,42.0,11.0,170.0,6.6,7.4,7.4,8.0,18.0,22.0,10.5,980.0,9.2,11.0,9.2,11.0,21.0,25.0,10.5,110.0,17.0,21.0,19.5,23.0,42.0,50.0,11.0,180.0,13.0,17.5,11.0,130.0,12.0,1000.0,33593783,5611653.0,3991406.0,58805.0,1.233091455,1.2330915,1.233091539,1.233091464,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
6,POLAND - EKSTRAKLASA,2024-09-20,13:00:00,Radomiak Radom,Korona Kielce,2.48,2.52,3.25,3.35,3.35,3.4,1.9,1.93,2.08,2.12,1.79,1.85,2.18,2.28,11.5,13.5,11.5,12.5,20.0,23.0,34.0,60.0,9.4,10.5,7.0,7.4,12.5,13.5,34.0,38.0,13.5,16.0,10.5,11.5,16.0,17.5,42.0,50.0,22.0,34.0,23.0,27.0,36.0,42.0,60.0,100.0,16.5,23.0,25.0,38.0,17.0,1000.0,33592793,1306561.0,1209555.0,58805.0,1.23308036,1.233080405,1.233080444,1.233080369,4.0,0.0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
7,GERMANY - 2. BUNDESLIGA,2024-09-20,13:30:00,Schalke,Darmstadt,2.02,2.04,4.0,4.1,3.9,3.95,2.36,2.4,1.71,1.73,1.63,1.65,2.52,2.6,18.5,19.0,18.0,19.5,29.0,34.0,40.0,75.0,11.0,12.5,8.2,9.0,14.5,16.0,34.0,42.0,13.0,14.5,9.6,10.5,14.5,16.0,36.0,44.0,22.0,23.0,17.0,18.5,26.0,28.0,50.0,70.0,9.8,10.5,32.0,34.0,18.0,850.0,33592869,44517.0,993093.0,58805.0,1.233081074,1.233081084,1.233081073,1.233081083,3.0,5.0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
8,GERMANY - 2. BUNDESLIGA,2024-09-20,13:30:00,Paderborn,Hannover,2.28,2.3,3.3,3.35,3.8,3.9,2.36,2.42,1.71,1.73,1.61,1.66,2.52,2.62,17.5,19.0,15.5,17.0,23.0,25.0,40.0,60.0,12.0,13.5,8.4,8.8,13.0,14.0,28.0,32.0,15.0,16.0,10.0,11.0,14.0,15.0,34.0,38.0,26.0,29.0,19.5,21.0,27.0,30.0,40.0,65.0,11.5,13.0,20.0,24.0,23.0,980.0,33588587,208035.0,197307.0,58805.0,1.233023402,1.233023447,1.233023486,1.233023411,2.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,ITALY - SERIE A,2024-09-20,13:30:00,Cagliari,Empoli,2.26,2.28,3.75,3.85,3.35,3.4,1.75,1.77,2.3,2.34,1.98,2.06,1.96,2.02,10.0,10.5,11.0,12.0,23.0,24.0,70.0,80.0,8.0,8.4,7.0,7.2,14.0,15.5,46.0,55.0,12.0,12.5,10.0,10.5,19.0,20.0,55.0,70.0,27.0,29.0,25.0,26.0,44.0,48.0,100.0,130.0,23.0,26.0,50.0,65.0,500.0,980.0,33569114,60297.0,60294.0,58805.0,1.232805879,1.232805863,1.232805878,1.232805888,0.0,2.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
