League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
JAPAN - J2 LEAGUE,2024-06-08,03:00:00,Blaublitz,Kumamoto,2.34,2.46,3.45,3.75,3.15,3.35,1.65,1.71,2.36,2.54,2.02,2.14,1.88,1.97,8.6,9.6,9.8,11.0,20.0,26.0,9.8,980.0,7.4,9.2,6.6,7.4,14.0,16.0,9.2,980.0,12.0,14.0,10.5,12.0,19.0,980.0,9.8,980.0,8.6,36.0,9.8,34.0,9.4,980.0,10.5,980.0,8.2,32.0,9.6,980.0,11.0,1000.0,33321151,5852914.0,5021204.0,58805.0,1.229590095,1.22959014,1.229590179,1.229590104,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
JAPAN - J2 LEAGUE,2024-06-08,06:00:00,Ehime,Mito,3.85,4.1,2.06,2.1,3.65,3.8,1.91,2.2,1.84,2.1,1.71,1.88,2.14,2.42,13.0,15.0,9.0,10.5,12.0,13.0,22.0,27.0,13.5,15.5,7.6,8.4,9.8,11.0,19.0,23.0,25.0,29.0,14.5,16.0,16.0,18.5,29.0,40.0,50.0,75.0,36.0,980.0,44.0,55.0,65.0,110.0,32.0,980.0,11.0,14.5,13.0,980.0,33320926,3455675.0,3455677.0,58805.0,1.22958499,1.229585035,1.229585074,1.229584999,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
JAPAN - J2 LEAGUE,2024-06-08,06:00:00,Shimizu S-Pulse,Fujieda MYFC,1.48,1.52,7.2,8.2,4.8,5.1,2.34,2.42,1.71,1.74,1.9,2.0,2.0,2.1,17.5,21.0,24.0,30.0,8.8,980.0,9.6,980.0,7.8,9.6,9.8,11.5,22.0,32.0,9.2,1000.0,7.6,9.4,9.0,10.5,21.0,26.0,9.2,980.0,12.0,14.5,13.5,16.5,24.0,36.0,9.2,980.0,4.0,6.8,9.2,980.0,10.0,1000.0,33320927,441086.0,14196415.0,58805.0,1.2295849,1.229584945,1.229584984,1.229584909,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
JAPAN - J2 LEAGUE,2024-09-28,06:00:00,Shimizu S-Pulse,Fujieda MYFC,2.3,2.34,3.4,3.55,3.45,3.6,1.89,1.92,2.08,2.14,1.82,1.91,2.08,2.22,11.0,13.0,12.0,14.5,20.0,24.0,11.0,70.0,8.8,10.5,7.2,8.0,13.5,15.5,34.0,44.0,12.5,14.0,10.0,11.0,16.0,19.0,42.0,60.0,24.0,30.0,22.0,25.0,32.0,40.0,80.0,110.0,15.5,19.5,10.0,42.0,13.0,1000.0,33616385,441086.0,2319612.0,58805.0,1.233372907,1.233372952,1.233372991,1.233372916,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
JAPAN - J2 LEAGUE,2024-06-08,06:00:00,Kofu,Vegalta Sendai,2.62,2.72,2.96,3.1,3.35,3.5,1.87,1.99,2.02,2.16,1.8,1.88,2.14,2.26,11.0,12.5,11.0,12.5,17.5,21.0,9.6,55.0,9.6,11.0,6.8,7.6,12.0,13.5,26.0,38.0,14.5,980.0,10.5,12.5,15.5,17.5,9.6,55.0,28.0,42.0,24.0,32.0,34.0,48.0,10.5,980.0,8.0,25.0,5.9,32.0,11.5,990.0,33320836,1405179.0,442179.0,58805.0,1.229584106,1.229584151,1.22958419,1.229584115,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
JAPAN - J2 LEAGUE,2024-06-08,07:00:00,Tochigi SC,Kusatsu,2.46,2.5,3.55,3.7,3.0,3.15,1.52,1.6,2.68,2.92,2.16,2.3,1.77,1.86,7.2,8.2,9.0,10.0,20.0,23.0,11.0,95.0,6.8,7.8,6.6,7.2,14.5,16.5,10.5,70.0,12.5,14.5,11.0,13.0,21.0,24.0,11.0,110.0,28.0,46.0,15.0,36.0,11.0,80.0,12.0,980.0,9.6,38.0,11.0,95.0,12.5,1000.0,33321148,5945153.0,7078090.0,58805.0,1.229590185,1.22959023,1.229590269,1.229590194,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
JAPAN - J2 LEAGUE,2024-06-08,07:00:00,Renofa Yamaguchi,Chiba,3.45,3.6,2.28,2.36,3.45,3.6,1.54,1.95,2.06,2.86,1.87,2.48,1.68,2.16,11.0,14.0,8.8,11.0,12.5,15.5,7.0,34.0,11.5,14.0,7.2,8.2,10.0,12.5,20.0,28.0,21.0,26.0,13.0,16.5,16.5,21.0,6.4,46.0,6.8,70.0,6.4,46.0,6.6,60.0,7.0,980.0,6.4,46.0,5.4,20.0,7.4,1000.0,33320929,4233875.0,5021203.0,58805.0,1.22958508,1.229585125,1.229585164,1.229585089,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
FINLAND - VEIKKAUSLIIGA,2024-06-08,11:00:00,KuPS,AC Oulu,1.55,1.56,6.8,7.0,4.6,4.8,2.18,2.28,1.79,1.84,1.92,2.0,2.0,2.1,16.5,18.0,21.0,25.0,48.0,60.0,50.0,250.0,8.2,9.0,9.4,10.5,23.0,26.0,38.0,200.0,8.6,9.2,9.2,10.0,21.0,23.0,36.0,90.0,13.0,14.0,14.0,15.5,30.0,34.0,40.0,130.0,6.6,7.6,48.0,110.0,150.0,1000.0,33320040,139510.0,396699.0,58805.0,1.22957082,1.229570865,1.229570904,1.229570829,4.0,1.0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
URUGUAY - PRIMERA DIVISION,2024-06-08,12:30:00,Liverpool M.,Miramar,1.7,2.62,3.5,9.2,2.88,5.9,1.34,21.0,1.05,3.95,1.12,1000.0,1.12,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.55,1000.0,1.55,1000.0,1.03,1000.0,33330286,5789820.0,5300627.0,58805.0,1.229688545,1.22968859,1.229688629,1.229688554,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
FINLAND - YKKONEN,2024-06-08,14:00:00,Keski-Uusimaa,Atlantis,5.9,6.8,1.5,1.56,4.9,5.7,2.8,3.15,1.48,1.54,1.61,1.73,2.38,2.62,24.0,980.0,11.0,15.0,9.8,13.5,13.5,980.0,6.8,980.0,10.0,14.0,8.6,11.5,11.5,980.0,6.2,980.0,19.0,980.0,16.0,980.0,20.0,980.0,6.4,980.0,7.0,980.0,7.6,980.0,7.8,980.0,6.0,980.0,3.1,5.8,6.6,1000.0,33331775,12905685.0,174384.0,58805.0,1.22970183,1.229701875,1.229701914,1.229701839,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
