Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1563695,Argentina Prim B Nacional,2022,2022-02-11 20:00:00,1,Deportivo Morón,Tristán Suárez,0,0,2.36,2.74,3.2,1.1,6.85,1.49,2.5,2.34,1.53,4.63,1.16,8.55,1.04,2.19,1.64
1563696,Argentina Prim B Nacional,2022,2022-02-12 17:00:00,1,Almagro,Club Atlético Mitre,2,1,2.08,3.06,3.89,1.11,6.0,1.5,2.37,2.38,1.51,4.5,1.18,9.5,1.06,2.2,1.62
1563697,Argentina Prim B Nacional,2022,2022-02-12 17:00:00,1,Deportivo Madryn,Agropecuario,1,0,3.27,2.98,2.09,3.36,1.29,1.48,2.47,2.13,1.64,4.25,1.2,8.75,1.07,2.0,1.74
1563698,Argentina Prim B Nacional,2022,2022-02-12 17:00:00,1,Flandria,Defensores de Belgrano,1,1,2.57,2.81,3.03,1.17,4.75,1.67,2.12,2.99,1.34,6.25,1.11,14.0,1.03,2.4,1.52
1563699,Argentina Prim B Nacional,2022,2022-02-12 17:00:00,1,Villa Dálmine,Guillermo Brown,1,2,2.59,2.71,3.25,1.16,5.1,1.54,2.33,3.21,1.3,6.25,1.09,10.5,1.01,2.46,1.53
1563700,Argentina Prim B Nacional,2022,2022-02-12 19:15:00,1,Temperley,San Martín Tucumán,1,2,3.75,2.76,2.3,1.11,6.45,1.52,2.38,2.65,1.42,4.98,1.14,9.1,1.03,2.15,1.62
1563701,Argentina Prim B Nacional,2022,2022-02-12 20:00:00,1,Alvarado,Sacachispas,1,1,1.8,3.05,4.6,1.1,7.0,1.46,2.55,2.38,1.54,4.35,1.2,9.0,1.06,2.05,1.71
1563702,Argentina Prim B Nacional,2022,2022-02-12 21:00:00,1,Gimnasia Jujuy,Brown de Adrogué,3,3,2.56,2.7,3.31,1.11,6.2,1.53,2.33,2.73,1.4,5.2,1.13,9.35,1.03,2.35,1.52
1563703,Argentina Prim B Nacional,2022,2022-02-12 21:15:00,1,All Boys,Atlanta,1,0,2.37,2.73,3.62,1.13,5.7,1.54,2.32,2.73,1.4,5.5,1.11,9.75,1.02,2.3,1.55
1563704,Argentina Prim B Nacional,2022,2022-02-12 21:30:00,1,Almirante Brown,Chacarita Juniors,4,2,1.65,3.56,5.48,1.08,7.75,1.42,2.64,2.16,1.62,4.2,1.19,7.8,1.05,2.1,1.65
1563705,Argentina Prim B Nacional,2022,2022-02-13 17:00:00,1,Deportivo Maipú,Independiente Rivadavia,1,1,2.63,2.8,2.8,1.1,7.05,1.46,2.49,2.45,1.5,4.7,1.15,8.4,1.04,2.0,1.73
1563706,Argentina Prim B Nacional,2022,2022-02-13 17:30:00,1,Gimnasia Mendoza,San Martín San Juan,0,1,2.2,2.8,3.5,1.09,7.25,4.62,1.16,2.45,1.5,4.5,1.16,8.2,1.04,2.0,1.73
1563707,Argentina Prim B Nacional,2022,2022-02-13 20:00:00,1,Club Atlético Güemes,Estudiantes Caseros,1,1,2.38,2.63,3.4,1.15,5.2,1.53,2.3,2.77,1.39,6.05,1.09,10.25,1.02,2.25,1.57
1563708,Argentina Prim B Nacional,2022,2022-02-13 21:15:00,1,Estudiantes Río Cuarto,Instituto,1,1,2.4,2.63,3.2,1.08,6.15,1.53,2.35,2.62,1.43,5.15,1.12,9.15,1.03,2.15,1.64
1563709,Argentina Prim B Nacional,2022,2022-02-14 17:00:00,1,Deportivo Riestra,Deportivo Santamarina,2,0,2.44,2.68,3.56,1.14,5.0,1.53,2.3,2.9,1.36,5.5,1.14,12.0,1.04,2.25,1.6
1563710,Argentina Prim B Nacional,2022,2022-02-14 17:00:00,1,San Telmo,Chaco For Ever,1,1,2.63,2.94,2.63,1.1,6.7,1.5,2.45,2.47,1.48,4.7,1.15,8.7,1.04,2.1,1.67
1563711,Argentina Prim B Nacional,2022,2022-02-14 19:15:00,1,Nueva Chicago,Ferro Carril Oeste,0,1,6.23,3.06,1.63,1.11,6.0,1.48,2.55,2.37,1.53,4.5,1.18,9.75,1.05,2.25,1.6
1563712,Argentina Prim B Nacional,2022,2022-02-14 21:30:00,1,Belgrano,Atlético Rafaela,1,0,1.7,3.34,4.28,1.1,7.0,1.49,2.44,2.45,1.5,4.6,1.15,8.4,1.04,2.2,1.61
1563713,Argentina Prim B Nacional,2022,2022-02-18 17:00:00,2,Agropecuario,Estudiantes Río Cuarto,0,1,1.98,2.85,4.1,1.16,5.0,1.63,2.2,2.85,1.37,5.75,1.13,12.0,1.04,2.25,1.57
1563716,Argentina Prim B Nacional,2022,2022-02-18 19:15:00,2,Instituto,Alvarado,0,0,2.15,2.85,3.5,1.1,7.0,1.46,2.55,2.5,1.49,4.15,1.21,8.25,1.07,1.95,1.8
1563717,Argentina Prim B Nacional,2022,2022-02-18 21:30:00,2,Defensores de Belgrano,Temperley,0,2,2.4,2.75,3.15,1.14,5.25,1.57,2.33,2.69,1.41,5.5,1.14,11.0,1.04,2.2,1.62
1563718,Argentina Prim B Nacional,2022,2022-02-19 17:00:00,2,Atlanta,Club Atlético Güemes,3,1,2.26,2.62,3.44,1.11,6.25,1.53,2.4,2.69,1.41,5.0,1.15,10.75,1.05,2.25,1.58
1563719,Argentina Prim B Nacional,2022,2022-02-19 17:00:00,2,Chacarita Juniors,Gimnasia Jujuy,0,0,2.69,2.69,2.69,1.11,6.0,1.5,2.5,2.5,1.47,4.6,1.17,8.75,1.04,2.0,1.74
1563720,Argentina Prim B Nacional,2022,2022-02-19 17:00:00,2,Tristán Suárez,Deportivo Madryn,1,1,2.15,2.89,3.29,1.11,6.45,1.53,2.4,2.62,1.43,5.0,1.14,9.05,1.03,2.3,1.59
1563721,Argentina Prim B Nacional,2022,2022-02-19 17:00:00,2,Sacachispas,Almagro,0,1,2.59,2.74,2.74,1.12,6.05,1.55,2.4,2.9,1.36,5.3,1.12,9.5,1.03,2.29,1.59
1563722,Argentina Prim B Nacional,2022,2022-02-19 17:30:00,2,San Martín San Juan,All Boys,0,1,2.05,2.81,3.7,1.1,6.75,1.53,2.45,2.59,1.44,4.75,1.17,9.75,1.05,2.2,1.62
1563723,Argentina Prim B Nacional,2022,2022-02-19 19:15:00,2,San Martín Tucumán,Deportivo Morón,0,0,1.9,2.83,4.23,1.07,6.5,1.5,2.5,2.52,1.46,4.8,1.14,10.5,1.02,2.2,1.6
1563724,Argentina Prim B Nacional,2022,2022-02-19 21:00:00,2,Chaco For Ever,Gimnasia Mendoza,1,0,2.63,2.81,2.63,1.1,6.6,1.5,2.5,2.75,1.4,4.78,1.15,8.8,1.04,2.19,1.64
1563725,Argentina Prim B Nacional,2022,2022-02-19 21:30:00,2,Club Atlético Mitre,Nueva Chicago,0,0,1.64,3.14,5.39,1.09,7.5,1.45,2.6,2.21,1.59,4.5,1.18,8.5,1.07,2.1,1.65
1563726,Argentina Prim B Nacional,2022,2022-02-20 17:00:00,2,Estudiantes Caseros,Deportivo Riestra,0,0,2.0,3.05,3.85,1.1,7.0,1.48,2.55,2.75,1.4,5.0,1.13,9.75,1.06,2.39,1.55
1563727,Argentina Prim B Nacional,2022,2022-02-20 17:00:00,2,Guillermo Brown,Almirante Brown,3,1,2.95,2.75,2.45,1.15,5.0,1.58,2.3,2.9,1.36,5.25,1.13,12.0,1.03,2.35,1.56
1563728,Argentina Prim B Nacional,2022,2022-02-20 17:00:00,2,Brown de Adrogué,Flandria,3,0,2.0,2.9,4.0,1.12,5.75,1.5,2.45,2.6,1.44,4.6,1.17,9.75,1.05,2.19,1.64
1563729,Argentina Prim B Nacional,2022,2022-02-20 17:00:00,2,Independiente Rivadavia,Quilmes,1,0,2.5,2.95,2.8,1.1,6.25,1.47,2.45,2.55,1.45,4.5,1.17,9.5,1.05,2.05,1.68
1563730,Argentina Prim B Nacional,2022,2022-02-20 19:00:00,2,Atlético Rafaela,Villa Dálmine,1,1,2.05,3.0,3.8,1.1,7.0,1.48,2.46,2.6,1.44,5.0,1.13,9.0,1.06,2.1,1.66
1563732,Argentina Prim B Nacional,2022,2022-02-21 17:00:00,2,Deportivo Santamarina,Belgrano,0,1,4.2,2.8,2.0,1.16,4.75,1.62,2.25,2.73,1.4,5.0,1.14,11.0,1.04,2.2,1.58
1563731,Argentina Prim B Nacional,2022,2022-02-21 19:15:00,2,Ferro Carril Oeste,Deportivo Maipú,0,1,1.75,3.25,4.75,1.1,6.5,1.46,2.5,2.4,1.55,4.5,1.17,9.5,1.05,2.2,1.61
1563740,Argentina Prim B Nacional,2022,2022-02-25 19:10:00,3,Deportivo Morón,Defensores de Belgrano,1,1,1.94,3.0,4.3,1.1,5.5,1.55,2.35,2.9,1.36,5.95,1.09,13.5,1.03,2.5,1.5
1563738,Argentina Prim B Nacional,2022,2022-02-25 21:30:00,3,Estudiantes Río Cuarto,Tristán Suárez,1,1,2.65,2.75,2.95,1.08,6.15,1.53,2.43,2.9,1.36,5.15,1.12,10.25,1.05,2.1,1.67
1563749,Argentina Prim B Nacional,2022,2022-02-26 17:00:00,3,All Boys,Chaco For Ever,2,2,2.55,2.6,3.0,1.13,5.5,1.57,2.25,2.89,1.36,3.6,1.22,11.0,1.04,2.38,1.53
1563739,Argentina Prim B Nacional,2022,2022-02-26 17:00:00,3,Deportivo Madryn,San Martín Tucumán,1,2,3.3,2.63,2.4,1.13,5.75,1.53,2.3,2.73,1.4,3.97,1.21,10.75,1.05,2.25,1.57
