Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
4554438,Argentina Primera División,2023,2023-01-27 19:15:00,1,Rosario Central,Argentinos Juniors,1,0,3.02,2.86,2.5,1.12,5.5,1.55,2.3,2.6,1.42,5.0,1.14,10.0,1.04,2.2,1.62
4554444,Argentina Primera División,2023,2023-01-27 21:30:00,1,Defensa y Justicia,Huracán,2,4,2.84,2.88,2.75,1.1,7.0,1.5,2.5,2.45,1.48,4.5,1.17,9.0,1.05,2.05,1.7
4554440,Argentina Primera División,2023,2023-01-28 17:00:00,1,San Lorenzo,Arsenal de Sarandí,1,0,1.97,3.0,4.0,1.11,6.5,1.55,2.3,2.59,1.42,5.0,1.14,10.0,1.04,2.25,1.57
4554447,Argentina Primera División,2023,2023-01-28 19:15:00,1,Talleres Córdoba,Independiente,0,1,2.2,2.92,3.4,1.1,6.5,1.47,2.55,2.45,1.5,4.75,1.16,9.0,1.05,2.05,1.7
4554439,Argentina Primera División,2023,2023-01-28 19:15:00,1,Estudiantes,Tigre,1,2,2.3,3.02,3.08,1.08,7.0,1.4,2.8,2.2,1.6,4.2,1.2,7.5,1.07,1.95,1.8
4554436,Argentina Primera División,2023,2023-01-28 21:30:00,1,Central Córdoba SdE,River Plate,0,2,4.48,3.47,1.73,1.06,11.5,1.29,3.7,1.82,1.88,3.5,1.3,7.5,1.11,1.8,1.95
4554446,Argentina Primera División,2023,2023-01-29 17:00:00,1,Platense,Newell's Old Boys,2,2,2.4,2.87,3.07,1.07,6.5,1.48,2.45,2.44,1.47,5.0,1.13,7.5,1.05,2.05,1.7
5019484,Argentina Primera División,2023,2023-01-29 19:15:00,1,Instituto,Sarmiento,0,0,2.26,2.93,3.27,1.06,7.0,1.48,2.45,2.39,1.49,4.7,1.15,7.5,1.05,2.1,1.67
4554441,Argentina Primera División,2023,2023-01-29 19:15:00,1,Colón,Lanús,1,2,2.4,2.96,2.97,1.07,6.5,1.35,2.9,2.2,1.6,3.6,1.25,8.0,1.04,1.95,1.8
4554437,Argentina Primera División,2023,2023-01-29 19:15:00,1,Racing Club,Belgrano,0,0,1.6,3.52,5.5,1.05,7.5,1.37,2.8,2.2,1.6,3.7,1.22,6.2,1.08,2.2,1.62
4554448,Argentina Primera División,2023,2023-01-29 21:30:00,1,Boca Juniors,Atlético Tucumán,1,0,1.75,3.26,5.29,1.09,6.0,1.5,2.4,2.5,1.45,4.75,1.15,10.0,1.04,2.38,1.53
