Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1416028,Australia A-League,2021/2022,2021-11-19 05:45:00,1,Melbourne City FC,Brisbane Roar,2,1,1.5,4.2,6.0,1.02,12.0,1.17,4.5,1.55,2.4,2.26,1.57,4.0,1.22,1.67,2.1
1416029,Australia A-League,2021/2022,2021-11-20 05:45:00,1,Western Sydney Wanderers,Sydney FC,0,0,3.1,3.9,2.14,1.03,11.0,1.17,4.5,1.6,2.19,2.38,1.53,4.33,1.2,1.5,2.38
1416030,Australia A-League,2021/2022,2021-11-20 05:45:00,1,Western United,Melbourne Victory FC,0,1,2.6,3.8,2.47,1.02,15.0,1.2,4.5,1.54,2.3,2.3,1.53,4.5,1.2,1.5,2.5
1416031,Australia A-League,2021/2022,2021-11-20 08:05:00,1,Perth Glory FC,Adelaide United,1,1,2.21,3.6,3.2,1.05,9.0,1.25,3.75,1.55,2.29,2.75,1.4,5.0,1.14,1.62,2.2
1416032,Australia A-League,2021/2022,2021-11-21 02:05:00,1,Newcastle Jets FC,Central Coast Mariners,1,2,2.28,3.56,2.95,1.05,9.0,1.25,3.75,1.77,2.03,2.75,1.4,5.0,1.14,1.62,2.2
1416033,Australia A-League,2021/2022,2021-11-21 04:45:00,1,Macarthur,Wellington Phoenix,1,1,2.12,3.68,2.8,1.05,9.0,1.25,3.75,1.73,1.99,2.75,1.4,4.75,1.15,1.62,2.2
1416034,Australia A-League,2021/2022,2021-11-26 05:45:00,2,Western United,Perth Glory FC,1,0,2.4,3.35,2.7,1.03,13.0,1.22,4.2,1.78,1.98,2.85,1.42,5.0,1.16,1.62,2.2
1416062,Australia A-League,2021/2022,2021-11-27 03:05:00,2,Wellington Phoenix,Central Coast Mariners,2,1,2.07,3.4,3.1,1.03,13.0,1.22,4.0,1.65,2.1,2.9,1.42,4.87,1.13,1.62,2.25
1416036,Australia A-League,2021/2022,2021-11-27 05:45:00,2,Adelaide United,Melbourne City FC,2,2,3.25,3.4,2.1,1.04,12.0,1.25,3.75,1.72,2.07,3.0,1.4,5.5,1.14,1.66,2.2
1416037,Australia A-League,2021/2022,2021-11-27 05:45:00,2,Sydney FC,Macarthur,0,1,2.05,3.45,3.3,1.04,13.0,1.25,3.75,1.85,1.95,3.1,1.38,5.5,1.14,1.7,2.1
1416038,Australia A-League,2021/2022,2021-11-28 02:05:00,2,Melbourne Victory FC,Brisbane Roar,3,0,2.4,3.2,2.65,1.04,13.0,1.25,3.75,1.8,1.95,2.9,1.39,5.25,1.15,1.67,2.1
1416039,Australia A-League,2021/2022,2021-11-28 04:15:00,2,Western Sydney Wanderers,Newcastle Jets FC,2,2,2.2,3.3,2.87,1.04,13.0,1.25,3.8,1.73,2.05,2.9,1.39,5.25,1.15,1.67,2.1
1416040,Australia A-League,2021/2022,2021-12-03 05:45:00,3,Wellington Phoenix,Western Sydney Wanderers,0,2,2.35,3.55,2.75,1.02,17.0,1.16,5.0,1.63,2.2,2.4,1.6,4.0,1.22,1.47,2.65
1416041,Australia A-League,2021/2022,2021-12-04 03:05:00,3,Brisbane Roar,Adelaide United,0,0,2.24,3.42,3.11,1.04,12.0,1.22,4.0,1.72,2.05,2.9,1.42,5.0,1.16,1.6,2.25
1416042,Australia A-League,2021/2022,2021-12-04 05:45:00,3,Melbourne City FC,Western United,0,1,1.45,4.6,6.54,1.02,17.0,1.18,4.75,1.55,2.36,2.3,1.54,4.2,1.22,1.7,2.15
1416043,Australia A-League,2021/2022,2021-12-04 05:45:00,3,Sydney FC,Newcastle Jets FC,2,2,1.65,4.1,4.76,1.03,13.0,1.22,4.2,1.6,2.25,2.85,1.42,5.0,1.16,1.68,2.15
1416044,Australia A-League,2021/2022,2021-12-05 02:05:00,3,Macarthur,Central Coast Mariners,1,0,2.72,3.54,2.45,1.04,12.0,1.28,3.75,1.78,2.02,3.1,1.36,6.0,1.12,1.66,2.15
1416045,Australia A-League,2021/2022,2021-12-05 04:45:00,3,Melbourne Victory FC,Perth Glory FC,0,3,2.05,3.5,3.6,1.04,12.0,1.28,3.6,1.85,2.0,3.25,1.33,6.0,1.12,1.7,2.1
1416046,Australia A-League,2021/2022,2021-12-08 05:45:00,4,Melbourne City FC,Perth Glory FC,1,0,1.46,4.1,5.75,1.02,15.0,1.2,4.5,1.6,2.33,2.3,1.54,4.75,1.18,1.7,2.1
1416047,Australia A-League,2021/2022,2021-12-10 05:45:00,4,Newcastle Jets FC,Wellington Phoenix,4,0,2.58,3.4,2.64,1.03,14.0,1.25,3.85,1.69,2.09,2.75,1.42,4.9,1.17,1.57,2.25
1416048,Australia A-League,2021/2022,2021-12-11 03:05:00,4,Western United,Brisbane Roar,1,0,2.4,3.1,2.5,0.0,0.0,0.0,0.0,1.74,1.92,0.0,0.0,0.0,0.0,1.62,2.2
1416049,Australia A-League,2021/2022,2021-12-11 05:45:00,4,Adelaide United,Melbourne Victory FC,1,2,2.16,3.6,3.15,1.04,13.0,1.25,3.75,1.74,2.06,2.85,1.4,5.25,1.16,1.62,2.2
1416050,Australia A-League,2021/2022,2021-12-11 05:45:00,4,Western Sydney Wanderers,Macarthur,0,2,2.45,3.54,2.72,1.03,14.0,1.25,3.85,1.8,1.99,2.8,1.41,4.95,1.16,1.62,2.2
1416051,Australia A-League,2021/2022,2021-12-12 04:20:00,4,Central Coast Mariners,Sydney FC,2,0,2.9,3.15,2.1,1.04,13.0,1.26,3.65,1.74,1.92,2.85,1.39,5.25,1.15,1.67,2.1
1416052,Australia A-League,2021/2022,2021-12-17 05:45:00,5,Western United,Adelaide United,1,0,2.15,3.5,3.2,1.03,10.25,1.29,3.79,1.8,1.9,3.18,1.38,6.22,1.12,1.67,2.1
1416053,Australia A-League,2021/2022,2021-12-18 03:05:00,5,Central Coast Mariners,Western Sydney Wanderers,2,0,2.75,3.5,2.4,1.03,13.0,1.25,3.75,1.8,2.0,3.1,1.38,5.5,1.14,1.62,2.2
1416054,Australia A-League,2021/2022,2021-12-18 05:45:00,5,Melbourne City FC,Melbourne Victory FC,2,2,1.5,4.6,5.75,1.02,17.0,1.18,5.0,1.53,2.38,2.3,1.57,4.2,1.22,1.67,2.1
1416056,Australia A-League,2021/2022,2021-12-19 02:05:00,5,Macarthur,Newcastle Jets FC,2,1,2.08,3.55,3.0,1.04,12.0,1.28,3.6,1.85,1.95,3.2,1.35,6.0,1.12,1.67,2.1
1416057,Australia A-League,2021/2022,2021-12-19 04:45:00,5,Sydney FC,Wellington Phoenix,2,1,2.0,3.4,3.3,1.03,13.0,1.25,3.75,1.7,2.05,3.0,1.38,5.5,1.14,1.73,2.0
