Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1276191,Austria Bundesliga,2021/2022,2021-07-23 15:30:00,1,Sturm Graz,Salzburg,1,3,5.0,4.33,1.47,1.04,14.0,1.19,4.6,1.5,2.4,2.2,1.6,3.8,1.26,1.62,2.2
1276192,Austria Bundesliga,2021/2022,2021-07-24 12:00:00,1,Rapid Wien,Hartberg,0,2,1.44,4.2,6.5,1.04,15.0,1.2,4.4,1.6,2.2,2.55,1.47,3.95,1.25,1.8,1.95
1276193,Austria Bundesliga,2021/2022,2021-07-24 12:00:00,1,Rheindorf Altach,LASK Linz,0,1,5.0,3.8,1.57,1.05,11.0,1.25,3.85,1.66,2.09,2.75,1.42,4.75,1.18,1.83,1.91
1276194,Austria Bundesliga,2021/2022,2021-07-24 12:00:00,1,Wattens,Admira,1,1,1.73,3.8,4.33,1.03,9.0,1.25,3.6,1.8,2.0,2.9,1.36,5.0,1.14,1.75,2.0
1276195,Austria Bundesliga,2021/2022,2021-07-25 12:00:00,1,Ried,Austria Wien,2,1,2.87,3.3,2.15,1.06,10.0,1.28,3.6,1.61,2.15,2.65,1.45,4.75,1.18,1.65,2.15
1276196,Austria Bundesliga,2021/2022,2021-07-25 12:00:00,1,Austria Klagenfurt,Wolfsberger AC,1,1,4.0,3.4,1.75,1.09,8.25,1.35,3.1,1.7,2.0,2.95,1.36,5.75,1.14,1.77,2.0
1276197,Austria Bundesliga,2021/2022,2021-07-31 12:00:00,2,LASK Linz,Rapid Wien,1,1,2.17,3.34,2.71,1.05,13.0,1.22,4.15,2.2,1.67,2.55,1.52,4.3,1.21,1.59,2.25
1276199,Austria Bundesliga,2021/2022,2021-07-31 12:00:00,2,Admira,Austria Klagenfurt,4,0,1.91,3.45,3.17,1.08,8.25,1.34,3.2,2.0,1.83,3.0,1.38,5.75,1.15,1.8,2.0
1276201,Austria Bundesliga,2021/2022,2021-07-31 12:00:00,2,Hartberg,Rheindorf Altach,1,2,1.91,3.45,3.17,1.07,9.25,1.29,3.5,1.83,1.94,3.1,1.38,5.0,1.17,1.69,2.1
1276203,Austria Bundesliga,2021/2022,2021-08-01 12:00:00,2,Austria Wien,Wattens,1,1,1.95,3.6,3.6,1.06,11.0,1.25,3.9,1.67,2.1,2.8,1.44,4.4,1.21,1.59,2.3
1276205,Austria Bundesliga,2021/2022,2021-08-01 12:00:00,2,Wolfsberger AC,Sturm Graz,1,4,3.1,3.5,2.15,1.05,11.0,1.25,3.9,1.67,2.1,2.6,1.47,4.45,1.2,1.61,2.25
