Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1293003,Belgium Pro League,2021/2022,2021-07-23 15:45:00,1,Standard Liège,KRC Genk,1,1,2.8,3.3,2.25,1.05,13.0,1.22,4.2,1.73,2.0,3.1,1.36,4.0,1.24,1.54,2.35
1293004,Belgium Pro League,2021/2022,2021-07-24 11:15:00,1,OH Leuven,Zulte-Waregem,1,1,2.05,4.0,3.15,1.03,16.0,1.17,4.9,1.49,2.55,2.2,1.67,3.45,1.29,1.47,2.6
1293005,Belgium Pro League,2021/2022,2021-07-24 13:30:00,1,KV Kortrijk,RFC Seraing,2,0,1.83,3.6,4.25,1.08,9.0,1.33,3.25,1.91,1.87,3.1,1.35,5.75,1.14,1.83,1.91
1293007,Belgium Pro League,2021/2022,2021-07-24 15:45:00,1,KV Oostende,Sporting Charleroi,0,3,2.2,3.3,3.0,1.08,8.75,1.32,3.3,1.75,1.95,3.1,1.36,5.5,1.15,1.71,2.05
1293008,Belgium Pro League,2021/2022,2021-07-25 08:30:00,1,KV Mechelen,Royal Antwerp FC,3,2,2.15,3.6,3.25,1.05,11.0,1.25,3.95,1.67,2.15,2.55,1.49,4.35,1.21,1.57,2.3
1293009,Belgium Pro League,2021/2022,2021-07-25 11:00:00,1,Club Brugge,AS Eupen,2,2,1.18,6.0,15.0,1.03,16.0,1.18,4.75,1.45,2.55,2.2,1.6,3.9,1.25,2.05,1.74
1293010,Belgium Pro League,2021/2022,2021-07-25 13:30:00,1,RSC Anderlecht,Union Saint-Gilloise,1,3,1.91,3.5,4.1,1.08,8.75,1.33,3.25,1.91,1.87,3.1,1.35,5.75,1.14,1.8,1.95
1293011,Belgium Pro League,2021/2022,2021-07-25 16:00:00,1,Sint-Truiden,KAA Gent,2,1,3.69,3.6,1.72,1.07,9.75,1.29,3.5,1.68,2.05,3.0,1.38,5.25,1.17,1.8,1.95
1293006,Belgium Pro League,2021/2022,2021-07-27 15:00:00,1,Beerschot-Wilrijk,Cercle Brugge,0,1,2.45,3.3,2.9,1.09,7.75,1.36,3.05,2.0,1.8,3.25,1.32,6.0,1.13,1.8,1.95
1293012,Belgium Pro League,2021/2022,2021-07-30 15:45:00,2,KRC Genk,KV Oostende,3,4,1.66,4.0,4.4,1.04,13.0,1.2,4.5,1.71,2.17,2.65,1.47,3.75,1.26,1.61,2.25
