Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5414383,Brazil Serie B,2023,2023-04-14 19:00:00,1,Guarani,Avaí,4,1,2.31,2.98,2.85,1.1,7.0,1.48,2.48,2.28,1.56,4.88,1.14,8.85,1.03,2.2,1.6
5414386,Brazil Serie B,2023,2023-04-14 21:30:00,1,Ituano,Ceará,2,0,2.48,3.0,3.0,1.08,7.9,1.45,2.55,2.35,1.54,4.6,1.17,9.75,1.05,2.1,1.65
5414384,Brazil Serie B,2023,2023-04-15 16:00:00,1,Vila Nova,Novorizontino,2,1,2.32,2.95,3.15,1.1,6.5,1.54,2.33,2.5,1.43,4.75,1.17,11.0,1.04,2.15,1.66
5414387,Brazil Serie B,2023,2023-04-15 17:00:00,1,Mirassol,Chapecoense,1,0,2.18,2.95,3.45,1.11,6.0,1.47,2.5,2.4,1.44,4.5,1.17,9.0,1.05,2.1,1.67
5414389,Brazil Serie B,2023,2023-04-15 17:00:00,1,Sampaio Corrêa,Atlético GO,3,3,2.43,3.05,2.9,1.09,6.5,1.47,2.5,2.45,1.53,4.75,1.16,10.0,1.05,2.1,1.63
5414390,Brazil Serie B,2023,2023-04-15 18:15:00,1,Juventude,Botafogo SP,1,2,2.02,3.2,3.6,1.09,6.0,1.5,2.37,2.45,1.5,4.33,1.18,9.75,1.05,2.15,1.61
5414385,Brazil Serie B,2023,2023-04-16 11:00:00,1,Criciúma,Tombense,2,0,1.83,3.25,3.75,1.08,8.25,1.44,2.4,2.45,1.5,4.42,1.17,8.1,1.05,2.25,1.6
5414391,Brazil Serie B,2023,2023-04-16 15:30:00,1,Londrina,ABC,1,0,2.45,2.85,2.93,1.09,7.35,1.51,2.4,2.5,1.43,4.75,1.15,8.65,1.04,2.2,1.6
5414388,Brazil Serie B,2023,2023-04-16 18:00:00,1,Vitória,Ponte Preta,3,0,2.25,3.1,3.2,1.09,6.5,1.5,2.42,2.45,1.45,4.75,1.16,10.0,1.05,2.05,1.72
5414394,Brazil Serie B,2023,2023-04-21 16:30:00,2,Atlético GO,CRB,2,1,1.83,3.4,4.2,1.1,6.0,1.45,2.65,2.2,1.6,4.75,1.18,8.5,1.05,2.25,1.57
5414396,Brazil Serie B,2023,2023-04-21 19:00:00,2,Botafogo SP,Sampaio Corrêa,1,0,2.2,3.0,3.4,1.09,7.0,1.47,2.5,2.35,1.53,4.75,1.16,9.2,1.02,2.1,1.65
5414393,Brazil Serie B,2023,2023-04-21 21:30:00,2,Ponte Preta,Criciúma,1,2,2.35,2.9,3.1,1.09,7.0,1.53,2.45,2.35,1.53,4.75,1.17,10.0,1.04,2.1,1.68
5414401,Brazil Serie B,2023,2023-04-22 11:00:00,2,Tombense,Ituano,3,0,2.7,2.87,2.6,1.1,7.0,1.47,2.5,2.37,1.44,4.5,1.18,9.0,1.05,2.05,1.66
5414395,Brazil Serie B,2023,2023-04-22 16:00:00,2,Avaí,Mirassol,1,0,2.1,2.9,3.5,1.07,7.75,1.47,2.5,2.4,1.44,4.75,1.18,10.0,1.05,2.2,1.62
5414397,Brazil Serie B,2023,2023-04-22 17:00:00,2,Novorizontino,Juventude,1,0,2.35,2.87,3.0,1.09,7.0,1.47,2.5,2.4,1.44,4.75,1.16,9.1,1.02,2.1,1.65
5414399,Brazil Serie B,2023,2023-04-22 18:15:00,2,Ceará,Guarani,0,3,2.02,3.2,3.2,1.05,7.1,1.42,2.7,2.4,1.5,4.5,1.2,8.4,1.03,2.15,1.62
5414400,Brazil Serie B,2023,2023-04-23 15:30:00,2,Chapecoense,Londrina,3,0,1.92,3.05,4.15,1.09,7.0,1.48,2.45,2.5,1.47,4.75,1.16,9.0,1.05,2.25,1.6
5414402,Brazil Serie B,2023,2023-04-23 18:00:00,2,ABC,Vitória,0,3,2.05,2.9,3.6,1.1,6.0,1.45,2.6,2.45,1.5,4.75,1.18,9.0,1.05,2.1,1.63
5414408,Brazil Serie B,2023,2023-04-28 19:00:00,3,Vitória,Londrina,2,0,2.27,2.92,2.88,1.1,6.5,1.49,2.46,2.2,1.53,4.75,1.16,10.0,1.05,2.1,1.63
5414405,Brazil Serie B,2023,2023-04-28 19:00:00,3,Criciúma,Avaí,1,0,1.81,3.02,4.06,1.1,6.25,1.5,2.37,2.38,1.52,4.8,1.16,10.5,1.04,2.25,1.57
5414403,Brazil Serie B,2023,2023-04-28 21:30:00,3,Guarani,Ituano,1,0,2.13,2.94,3.12,1.09,6.75,1.44,2.55,2.35,1.5,4.4,1.18,9.25,1.05,2.1,1.67
