Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2433331,Bulgaria First League,2022/2023,2022-07-08 12:30:00,1,Botev Plovdiv,Hebar 1918,0,1,1.23,5.5,9.0,1.03,12.5,1.21,3.9,1.68,2.08,2.65,1.42,4.6,1.16,2.47,1.51
2433332,Bulgaria First League,2022/2023,2022-07-08 15:00:00,1,Septemvri Sofia,Ludogorets,0,3,10.0,5.5,1.2,1.03,14.0,1.19,4.6,1.65,2.15,2.75,1.42,4.9,1.15,2.5,1.5
2433333,Bulgaria First League,2022/2023,2022-07-09 12:30:00,1,Lokomotiv Plovdiv,OFK Pirin,2,1,1.55,4.0,5.5,1.04,10.0,1.3,3.14,1.9,1.85,3.34,1.27,6.25,1.09,1.94,1.79
2433334,Bulgaria First League,2022/2023,2022-07-09 15:00:00,1,CSKA 1948 Sofia,Levski Sofia,1,0,3.3,3.1,2.0,1.04,10.25,1.31,3.08,1.95,1.75,3.4,1.26,6.75,1.08,1.85,1.87
2433328,Bulgaria First League,2022/2023,2022-07-10 12:30:00,1,Lokomotiv Sofia 1929,Cherno More,0,1,3.9,3.15,1.9,1.04,9.1,1.39,2.72,2.27,1.56,4.15,1.18,8.6,1.05,1.99,1.78
2433329,Bulgaria First League,2022/2023,2022-07-10 15:00:00,1,CSKA Sofia,Arda,3,0,1.48,4.2,6.2,1.02,11.0,1.24,3.95,1.79,1.96,3.15,1.35,5.75,1.12,1.95,1.79
2433335,Bulgaria First League,2022/2023,2022-07-11 12:30:00,1,Spartak Varna,Slavia Sofia,0,1,3.1,3.0,2.3,1.08,7.0,1.4,2.75,2.18,1.64,4.0,1.22,7.5,1.07,1.91,1.8
2433330,Bulgaria First League,2022/2023,2022-07-11 14:45:00,1,Beroe,Botev Vratsa,2,1,1.85,3.5,4.0,1.05,9.0,1.36,3.09,2.05,1.72,3.79,1.25,7.5,1.06,1.95,1.8
2433341,Bulgaria First League,2022/2023,2022-07-15 12:30:00,2,Botev Vratsa,Botev Plovdiv,3,2,3.4,3.1,2.0,1.02,8.5,1.32,3.04,2.05,1.67,3.56,1.24,6.75,1.05,1.85,1.91
2433339,Bulgaria First League,2022/2023,2022-07-15 15:00:00,2,Ludogorets,Lokomotiv Plovdiv,2,0,1.36,4.33,7.5,1.04,10.0,1.2,3.94,1.67,2.1,2.68,1.4,4.5,1.17,1.96,1.8
2433343,Bulgaria First League,2022/2023,2022-07-16 12:30:00,2,Lokomotiv Sofia 1929,CSKA Sofia,1,1,3.6,3.4,1.91,1.03,10.0,1.34,3.15,2.03,1.83,3.69,1.26,7.5,1.07,1.86,1.9
2433337,Bulgaria First League,2022/2023,2022-07-16 15:00:00,2,Levski Sofia,Spartak Varna,5,0,1.2,6.0,11.0,1.04,16.0,1.18,4.5,1.6,2.2,2.6,1.46,4.7,1.17,2.23,1.62
2433336,Bulgaria First League,2022/2023,2022-07-17 12:30:00,2,Cherno More,Slavia Sofia,1,0,1.7,3.25,4.75,1.03,9.7,1.39,2.94,2.15,1.61,4.03,1.23,7.9,1.06,2.0,1.77
2433338,Bulgaria First League,2022/2023,2022-07-17 15:00:00,2,OFK Pirin,CSKA 1948 Sofia,1,1,5.0,3.6,1.57,1.01,12.5,1.27,3.63,1.8,1.91,3.14,1.34,5.92,1.12,1.86,1.9
2433340,Bulgaria First League,2022/2023,2022-07-18 12:30:00,2,Hebar 1918,Septemvri Sofia,1,3,2.0,3.3,3.4,1.07,7.25,1.36,2.8,2.01,1.63,3.6,1.23,7.25,1.07,1.89,1.87
2433342,Bulgaria First League,2022/2023,2022-07-18 14:45:00,2,Arda,Beroe,1,0,2.6,3.0,2.63,1.05,8.5,1.36,2.95,2.08,1.61,4.0,1.22,8.0,1.06,1.85,1.9
2433350,Bulgaria First League,2022/2023,2022-07-22 12:30:00,3,Spartak Varna,OFK Pirin,1,1,1.97,3.2,3.4,1.04,9.5,1.3,3.0,2.02,1.72,3.45,1.25,7.0,1.08,1.82,1.94
2433349,Bulgaria First League,2022/2023,2022-07-22 15:00:00,3,CSKA 1948 Sofia,Ludogorets,2,2,3.2,3.35,1.96,1.01,9.9,1.25,3.48,1.88,1.94,2.98,1.33,5.6,1.1,1.71,2.08
2433345,Bulgaria First League,2022/2023,2022-07-23 12:30:00,3,Beroe,Lokomotiv Sofia 1929,1,1,1.7,3.4,4.59,1.06,8.0,1.38,2.85,2.07,1.67,4.5,1.18,9.0,1.04,2.0,1.77
2433346,Bulgaria First League,2022/2023,2022-07-23 15:00:00,3,Botev Plovdiv,Arda,0,2,1.8,3.4,3.99,1.04,9.5,1.3,3.3,1.9,1.8,3.75,1.25,7.5,1.07,1.82,1.94
2433348,Bulgaria First League,2022/2023,2022-07-24 14:30:00,3,Lokomotiv Plovdiv,Hebar 1918,2,1,1.34,4.55,7.3,1.06,8.0,1.33,3.25,1.85,1.99,3.5,1.29,6.5,1.1,2.35,1.56
2433347,Bulgaria First League,2022/2023,2022-07-25 12:15:00,3,Septemvri Sofia,Botev Vratsa,1,1,2.05,3.25,3.4,1.05,8.5,1.28,3.2,2.04,1.78,3.1,1.3,5.75,1.1,1.73,2.06
2433344,Bulgaria First League,2022/2023,2022-07-25 14:30:00,3,CSKA Sofia,Cherno More,1,0,2.1,3.1,3.45,1.1,6.5,1.4,2.8,2.23,1.58,4.0,1.22,7.5,1.07,1.95,1.8
