Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5275373,Canada Canadian Premier League,2023,2023-04-15 14:00:00,1,Atlético Ottawa,HFX Wanderers FC,1,1,1.75,3.52,4.5,0.0,0.0,0.0,0.0,2.07,1.74,0.0,0.0,0.0,0.0,2.1,1.67
5275374,Canada Canadian Premier League,2023,2023-04-15 17:00:00,1,Forge FC,Cavalry FC,2,2,1.75,3.35,3.95,1.03,8.0,1.33,2.91,2.08,1.68,3.65,1.25,7.5,1.05,2.1,1.67
5275372,Canada Canadian Premier League,2023,2023-04-15 20:00:00,1,Pacific FC,Vancouver FC,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5275375,Canada Canadian Premier League,2023,2023-04-16 15:00:00,1,York9 FC,Valour FC,0,2,2.18,2.98,3.03,1.05,9.75,1.31,3.1,2.0,1.72,3.45,1.25,7.0,1.09,1.91,1.8
5275376,Canada Canadian Premier League,2023,2023-04-22 14:00:00,2,York9 FC,Vancouver FC,1,2,1.8,3.46,4.26,0.0,0.0,0.0,0.0,2.04,1.7,0.0,0.0,0.0,0.0,0.0,0.0
5275377,Canada Canadian Premier League,2023,2023-04-22 17:00:00,2,Forge FC,HFX Wanderers FC,1,1,1.51,4.1,6.0,1.06,12.0,1.27,3.32,1.87,1.84,3.0,1.33,6.75,1.09,1.98,1.71
5275378,Canada Canadian Premier League,2023,2023-04-22 20:00:00,2,Valour FC,Atlético Ottawa,1,1,2.55,3.1,2.8,1.07,7.75,1.33,3.0,2.08,1.67,3.6,1.25,7.25,1.08,1.8,1.9
5275379,Canada Canadian Premier League,2023,2023-04-23 17:00:00,2,Pacific FC,Cavalry FC,1,1,2.3,3.05,3.16,1.08,7.5,1.36,2.9,2.13,1.7,3.6,1.25,7.25,1.08,1.83,1.85
5275380,Canada Canadian Premier League,2023,2023-04-29 15:00:00,3,HFX Wanderers FC,Vancouver FC,1,1,2.28,3.03,3.1,1.06,8.5,1.33,3.0,2.12,1.64,3.4,1.27,6.75,1.09,2.1,1.67
5275381,Canada Canadian Premier League,2023,2023-04-29 18:00:00,3,Atlético Ottawa,York9 FC,0,1,1.85,3.3,3.75,0.0,0.0,0.0,0.0,2.06,1.7,0.0,0.0,0.0,0.0,2.1,1.67
5275382,Canada Canadian Premier League,2023,2023-04-30 18:00:00,3,Cavalry FC,Valour FC,1,1,2.02,3.2,3.25,1.05,8.0,1.3,3.2,1.89,1.69,3.3,1.28,6.0,1.1,1.91,1.8
5275383,Canada Canadian Premier League,2023,2023-04-30 21:00:00,3,Pacific FC,Forge FC,0,1,2.72,3.0,2.38,1.07,8.75,1.38,2.81,1.91,1.67,3.88,1.22,7.2,1.06,2.1,1.67
5275384,Canada Canadian Premier League,2023,2023-05-05 20:30:00,4,York9 FC,Forge FC,0,1,3.05,3.15,1.99,1.06,8.0,1.33,3.02,2.07,1.74,3.4,1.27,7.5,1.08,2.0,1.73
5275385,Canada Canadian Premier League,2023,2023-05-06 17:00:00,4,Valour FC,HFX Wanderers FC,0,0,1.95,3.25,3.65,1.05,8.75,1.26,3.2,1.98,1.81,3.4,1.27,6.75,1.06,1.91,1.8
5275386,Canada Canadian Premier League,2023,2023-05-06 20:00:00,4,Atlético Ottawa,Pacific FC,1,4,2.4,3.0,2.8,1.04,7.7,1.35,2.84,2.11,1.65,3.74,1.21,7.4,1.04,1.83,1.83
5275387,Canada Canadian Premier League,2023,2023-05-07 20:00:00,4,Vancouver FC,Cavalry FC,1,1,2.1,2.9,3.4,1.1,6.25,1.5,2.5,2.5,1.47,4.6,1.17,9.75,1.05,2.38,1.53
5275388,Canada Canadian Premier League,2023,2023-05-13 17:00:00,5,Forge FC,Valour FC,3,2,1.56,3.59,4.07,1.03,10.5,1.27,3.4,1.95,1.85,3.1,1.32,6.75,1.09,2.0,1.73
5275389,Canada Canadian Premier League,2023,2023-05-13 20:00:00,5,Cavalry FC,HFX Wanderers FC,2,2,1.68,3.29,3.99,1.06,10.25,1.31,3.13,1.98,1.74,3.4,1.27,6.45,1.08,2.1,1.67
