Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1591545,Chile Primera B,2022,2022-02-15 18:00:00,1,Fernández Vial,Rangers,0,1,2.48,2.95,3.1,1.07,8.0,4.35,1.18,2.04,1.81,3.4,1.26,6.75,1.1,1.74,1.95
1591546,Chile Primera B,2022,2022-02-15 20:30:00,1,Deportes Santa Cruz,Deportes Temuco,1,1,2.75,2.81,2.9,1.11,6.0,1.49,2.45,4.16,1.19,4.4,1.18,9.0,1.05,2.05,1.68
1591547,Chile Primera B,2022,2022-02-16 18:00:00,1,Magallanes,Puerto Montt,2,0,2.3,3.0,2.9,1.03,8.9,1.37,2.85,2.2,1.65,3.92,1.21,6.45,1.07,1.88,1.86
1591549,Chile Primera B,2022,2022-02-16 20:30:00,1,Cobreloa,San Luis,2,1,1.75,3.3,4.0,1.04,8.4,1.33,3.03,2.1,1.7,5.18,1.13,7.6,1.05,1.86,1.8
1591550,Chile Primera B,2022,2022-02-17 18:00:00,1,Melipilla,Univ. Concepción,0,2,1.98,3.02,3.65,1.07,7.7,1.4,2.72,2.26,1.64,4.14,1.19,7.15,1.06,1.95,1.78
1591552,Chile Primera B,2022,2022-02-21 20:30:00,2,Deportes Temuco,Santiago Wanderers,1,0,2.0,3.25,3.4,1.07,8.15,1.35,2.96,2.1,1.66,3.63,1.24,6.8,1.07,1.88,1.82
1591553,Chile Primera B,2022,2022-02-22 18:00:00,2,Santiago Morning,Deportes Santa Cruz,2,1,2.05,3.2,3.3,1.07,7.6,1.38,2.8,2.2,1.6,3.88,1.22,2.04,1.75,1.95,1.78
1591554,Chile Primera B,2022,2022-02-22 20:30:00,2,San Luis,Magallanes,0,2,2.5,2.9,2.7,1.1,6.25,1.39,2.75,2.32,1.54,3.98,1.21,7.65,1.05,1.87,1.89
1591555,Chile Primera B,2022,2022-02-23 18:00:00,2,Recoleta,Fernández Vial,0,0,5.59,1.53,4.06,1.95,1.84,1.33,3.04,2.1,1.64,3.54,1.25,6.6,1.08,1.87,1.85
1591557,Chile Primera B,2022,2022-02-23 20:30:00,2,Rangers,Melipilla,1,0,2.0,3.2,3.75,1.08,7.5,1.4,2.7,2.21,1.59,3.9,1.22,7.75,1.07,1.95,1.76
1591558,Chile Primera B,2022,2022-02-24 20:30:00,2,Univ. Concepción,Cobreloa,0,2,2.15,3.1,3.4,1.08,7.15,1.43,2.65,2.3,1.57,4.2,1.2,7.65,1.05,2.0,1.73
1591560,Chile Primera B,2022,2022-02-27 20:30:00,3,Deportes Iquique,Deportes Temuco,1,0,2.66,2.19,4.1,1.04,8.4,1.4,2.73,2.29,1.65,4.14,1.19,7.6,1.05,1.89,1.86
1591561,Chile Primera B,2022,2022-03-01 18:00:00,3,Deportes Santa Cruz,Magallanes,1,2,2.99,2.98,2.27,1.07,8.2,1.35,2.97,2.09,1.66,3.62,1.24,6.75,1.07,1.82,1.88
1591562,Chile Primera B,2022,2022-03-01 20:30:00,3,Santiago Wanderers,Santiago Morning,2,2,2.2,3.0,3.25,1.06,8.3,1.34,3.0,2.07,1.67,3.57,1.25,6.65,1.08,1.85,1.88
1591563,Chile Primera B,2022,2022-03-02 18:00:00,3,Melipilla,Puerto Montt,1,1,2.25,3.2,3.1,1.06,8.55,1.33,3.05,2.04,1.69,3.5,1.26,6.55,1.08,1.8,1.9
1591565,Chile Primera B,2022,2022-03-02 20:30:00,3,Unión San Felipe,Rangers,1,0,2.8,3.1,2.5,1.08,7.05,1.41,2.69,2.29,1.55,4.12,1.19,7.7,1.05,1.95,1.78
1591566,Chile Primera B,2022,2022-03-03 18:00:00,3,Barnechea,San Luis,3,1,2.35,2.95,2.95,1.11,5.9,1.51,2.39,2.25,1.57,4.85,1.14,8.85,1.03,2.1,1.65
1591567,Chile Primera B,2022,2022-03-03 20:30:00,3,Univ. Concepción,Recoleta,0,0,1.75,3.15,4.8,1.08,7.45,1.4,2.73,1.87,1.88,4.0,1.2,7.45,1.06,2.15,1.67
1591568,Chile Primera B,2022,2022-03-07 18:30:00,4,Fernández Vial,Deportes Santa Cruz,1,0,2.5,3.05,2.65,1.05,9.0,1.34,2.99,1.9,1.8,3.56,1.25,7.0,1.09,1.86,1.88
1591569,Chile Primera B,2022,2022-03-08 18:00:00,4,Santiago Morning,Unión San Felipe,1,1,2.0,3.0,3.5,1.07,7.9,1.36,2.88,2.15,1.61,3.82,1.22,7.05,1.07,1.92,1.82
1591571,Chile Primera B,2022,2022-03-08 20:30:00,4,Rangers,Cobreloa,1,2,2.2,2.9,3.1,1.08,7.15,1.41,2.69,2.2,1.6,4.25,1.18,7.65,1.05,2.0,1.76
