Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5002204,Chile Primera División,2023,2023-01-20 18:00:00,1,Magallanes,O'Higgins,0,1,2.7,3.05,2.6,1.06,8.25,1.34,2.95,2.2,1.63,3.6,1.25,7.0,1.08,1.8,1.91
5002205,Chile Primera División,2023,2023-01-20 20:30:00,1,Unión Española,Ñublense,0,1,2.62,3.1,2.4,1.04,12.0,1.3,3.5,1.85,1.85,3.3,1.33,6.5,1.11,1.73,2.0
5002203,Chile Primera División,2023,2023-01-21 18:00:00,1,Palestino,Audax Italiano,1,1,2.2,3.5,3.1,1.04,11.0,1.28,3.75,1.83,1.95,3.1,1.36,6.0,1.12,1.67,2.1
5002202,Chile Primera División,2023,2023-01-21 20:30:00,1,Cobresal,Unión La Calera,3,1,1.9,3.5,4.0,1.05,11.0,1.3,3.4,1.95,1.83,3.5,1.3,6.5,1.1,1.8,1.91
5002200,Chile Primera División,2023,2023-01-22 12:00:00,1,Everton,Universidad Católica,0,3,2.76,3.41,2.65,1.06,10.0,1.35,3.2,1.97,1.81,3.75,1.25,7.5,1.08,1.8,1.91
5002199,Chile Primera División,2023,2023-01-22 18:30:00,1,Copiapó,Colo-Colo,2,5,5.0,3.73,1.56,1.01,9.7,1.26,3.54,1.8,1.94,3.04,1.34,5.5,1.1,1.8,1.91
5002201,Chile Primera División,2023,2023-01-22 21:00:00,1,Curicó Unido,Coquimbo Unido,1,0,1.58,3.78,4.68,1.05,10.0,1.33,3.25,2.0,1.75,3.6,1.28,7.0,1.09,1.83,1.83
5002206,Chile Primera División,2023,2023-01-23 19:00:00,1,Universidad Chile,Huachipato,1,3,2.1,3.1,3.2,1.06,10.0,1.33,3.25,1.95,1.75,3.6,1.28,7.0,1.09,1.79,2.03
5002213,Chile Primera División,2023,2023-01-27 18:30:00,2,Ñublense,Magallanes,3,2,1.67,3.5,4.47,1.06,8.0,1.3,3.4,1.87,1.87,3.25,1.33,5.5,1.12,1.85,1.85
5002210,Chile Primera División,2023,2023-01-27 21:00:00,2,Unión La Calera,Everton,3,2,2.1,3.25,3.05,1.07,9.0,1.38,3.0,2.13,1.66,4.0,1.25,8.0,1.07,1.85,1.83
5002212,Chile Primera División,2023,2023-01-28 12:00:00,2,Coquimbo Unido,Palestino,1,1,2.59,3.48,2.58,1.07,8.5,1.42,2.9,2.23,1.61,4.33,1.22,8.5,1.06,1.9,1.83
5002211,Chile Primera División,2023,2023-01-28 18:00:00,2,Universidad Chile,Unión Española,1,0,2.15,3.1,3.0,1.02,8.8,1.25,3.5,1.91,1.8,2.9,1.35,5.2,1.12,1.73,2.06
5002214,Chile Primera División,2023,2023-01-28 20:30:00,2,Universidad Católica,Curicó Unido,3,1,1.67,3.4,4.4,1.05,9.75,1.26,3.5,1.8,1.91,2.9,1.35,5.5,1.13,1.8,1.91
5002209,Chile Primera División,2023,2023-01-29 12:00:00,2,Huachipato,Cobresal,2,1,2.38,3.4,2.59,1.06,8.25,1.33,3.1,1.95,1.85,3.4,1.27,6.75,1.09,1.85,1.93
5002207,Chile Primera División,2023,2023-01-29 18:00:00,2,O'Higgins,Colo-Colo,5,1,3.25,3.3,2.05,1.06,9.5,1.38,3.0,1.88,1.76,4.0,1.22,8.0,1.07,1.9,1.78
5002208,Chile Primera División,2023,2023-01-29 20:30:00,2,Audax Italiano,Copiapó,3,0,1.58,3.7,5.1,1.05,9.75,1.28,3.3,1.82,1.82,3.1,1.32,6.0,1.11,1.86,1.91
5002216,Chile Primera División,2023,2023-02-03 18:30:00,3,Coquimbo Unido,Universidad Católica,2,1,3.13,3.1,2.09,1.02,8.6,1.3,3.14,1.86,1.74,3.32,1.27,6.4,1.07,1.78,1.9
5002220,Chile Primera División,2023,2023-02-03 21:00:00,3,Curicó Unido,Audax Italiano,2,1,1.75,3.41,3.9,1.05,10.0,1.33,3.3,1.92,1.77,3.5,1.3,6.5,1.1,1.78,2.0
5002218,Chile Primera División,2023,2023-02-04 18:00:00,3,Magallanes,Unión La Calera,1,1,2.7,3.58,2.6,1.06,8.0,1.3,3.4,1.82,1.96,3.25,1.33,6.0,1.11,1.7,2.05
5002219,Chile Primera División,2023,2023-02-04 20:30:00,3,Unión Española,Everton,1,1,2.97,3.3,2.54,1.07,7.5,1.36,3.0,2.08,1.8,3.5,1.29,6.5,1.1,1.8,1.91
5002215,Chile Primera División,2023,2023-02-05 18:00:00,3,Palestino,Universidad Chile,2,0,2.0,3.35,3.43,1.03,10.5,1.29,3.3,1.85,1.85,3.0,1.33,5.5,1.11,1.73,2.0
5002217,Chile Primera División,2023,2023-02-05 20:30:00,3,Cobresal,Copiapó,1,0,1.8,3.6,3.75,1.0,10.25,1.22,3.72,1.78,2.0,2.83,1.36,5.15,1.11,1.73,2.0
5002222,Chile Primera División,2023,2023-02-06 20:00:00,3,O'Higgins,Huachipato,0,1,2.0,3.13,3.32,1.05,8.0,1.3,3.2,1.92,1.77,3.3,1.29,6.0,1.09,1.8,1.91
5002226,Chile Primera División,2023,2023-02-09 21:00:00,4,Audax Italiano,Unión Española,1,1,2.07,3.47,3.44,1.06,8.0,1.33,3.25,1.86,1.92,3.4,1.3,6.0,1.11,1.8,1.91
