Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1902576,Chile Segunda División,2022,2022-04-02 21:00:00,1,San Marcos,San Antonio Unido,2,0,1.75,3.4,4.0,0.0,0.0,0.0,0.0,1.95,1.85,0.0,0.0,0.0,0.0,1.91,1.8
1902581,Chile Segunda División,2022,2022-04-03 13:00:00,1,Deportes Valdivia,Iberia,1,2,1.8,3.2,1.91,0.0,0.0,1.33,3.0,2.0,1.8,3.4,1.29,0.0,0.0,1.75,1.95
1902579,Chile Segunda División,2022,2022-04-03 16:00:00,1,Deportes Limache,Lautaro de Buin ,2,3,1.5,3.3,2.4,1.06,8.75,1.29,3.3,1.95,1.85,3.1,1.33,5.75,1.12,1.73,1.98
1902578,Chile Segunda División,2022,2022-04-03 17:00:00,1,General Velásquez,Real San Joaquín,0,1,1.48,3.1,2.5,1.06,8.5,1.3,3.25,2.0,1.8,3.2,1.31,6.0,1.11,1.77,1.95
1902580,Chile Segunda División,2022,2022-04-03 17:00:00,1,Concepción,Independiente,2,0,1.85,3.2,1.85,1.05,9.5,1.27,3.5,1.93,1.88,2.95,1.35,5.5,1.13,1.86,1.9
1902577,Chile Segunda División,2022,2022-04-04 19:00:00,1,Rodelindo Román,Trasandino,1,1,2.2,3.6,2.63,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0
1902586,Chile Segunda División,2022,2022-04-08 20:00:00,2,Trasandino,Concepción,2,3,1.95,3.2,1.76,1.03,8.5,1.33,3.0,2.08,1.68,3.6,1.25,7.0,1.05,1.84,1.88
1902582,Chile Segunda División,2022,2022-04-09 17:00:00,2,Real San Joaquín,San Marcos,0,2,2.5,3.4,1.48,1.06,8.5,1.36,2.95,2.08,1.68,3.7,1.24,7.5,1.08,1.95,1.75
1902585,Chile Segunda División,2022,2022-04-09 19:00:00,2,San Antonio Unido,General Velásquez,2,1,1.57,3.3,2.3,1.03,13.0,1.27,3.5,1.85,1.95,2.0,1.7,5.75,1.12,1.7,2.05
1902583,Chile Segunda División,2022,2022-04-10 16:30:00,2,Iberia,Deportes Limache,1,1,1.61,3.3,2.17,1.06,8.0,1.29,3.5,1.85,1.95,3.0,1.36,5.5,1.12,1.65,2.12
1902584,Chile Segunda División,2022,2022-04-10 17:00:00,2,Independiente,Rodelindo Román,0,1,1.49,3.3,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,2.18
1902587,Chile Segunda División,2022,2022-04-11 17:00:00,2,Lautaro de Buin ,Deportes Valdivia,1,2,2.0,3.25,3.25,0.0,0.0,0.0,0.0,1.72,2.02,0.0,0.0,0.0,0.0,0.0,0.0
1902590,Chile Segunda División,2022,2022-04-16 19:00:00,3,Deportes Limache,Rodelindo Román,1,5,2.0,3.1,3.3,1.02,8.0,1.35,3.0,1.98,1.78,3.5,1.26,7.0,1.08,1.85,1.85
1902591,Chile Segunda División,2022,2022-04-16 22:00:00,3,San Marcos,Lautaro de Buin ,3,0,1.65,3.6,4.33,0.0,0.0,0.0,0.0,1.85,1.95,0.0,0.0,0.0,0.0,0.0,0.0
1902589,Chile Segunda División,2022,2022-04-17 13:00:00,3,Deportes Valdivia,Trasandino,0,0,1.33,4.0,3.25,1.04,10.0,1.25,3.6,1.75,2.05,2.75,1.4,5.0,1.14,1.73,2.05
1902588,Chile Segunda División,2022,2022-04-17 16:00:00,3,Real San Joaquín,San Antonio Unido,2,2,1.97,3.48,3.5,1.05,9.0,1.26,3.45,1.9,1.9,3.15,1.3,6.25,1.11,1.71,2.03
1902592,Chile Segunda División,2022,2022-04-17 16:30:00,3,General Velásquez,Independiente,3,2,2.02,3.6,3.06,1.03,9.0,1.29,3.4,1.85,1.95,3.0,1.33,5.75,1.12,1.73,2.06
1902593,Chile Segunda División,2022,2022-04-17 16:30:00,3,Iberia,Concepción,1,1,1.69,3.74,4.08,1.03,10.0,1.25,3.5,1.8,2.0,3.2,1.3,5.0,1.1,1.91,1.85
1902598,Chile Segunda División,2022,2022-04-23 17:00:00,4,San Antonio Unido,Iberia,1,0,2.39,3.29,2.54,1.05,9.0,1.25,3.6,1.75,1.95,2.9,1.36,5.5,1.13,1.65,2.18
1902597,Chile Segunda División,2022,2022-04-23 17:00:00,4,Lautaro de Buin ,General Velásquez,1,3,2.29,3.28,2.68,1.06,8.0,1.27,3.5,1.8,1.89,3.0,1.35,6.0,1.11,1.68,2.05
1902594,Chile Segunda División,2022,2022-04-24 16:00:00,4,Independiente,San Marcos,2,1,3.3,3.3,1.9,1.05,9.0,1.29,3.5,1.77,1.97,3.0,1.36,5.5,1.13,1.73,2.05
1902596,Chile Segunda División,2022,2022-04-24 16:30:00,4,Concepción,Real San Joaquín,2,0,1.9,3.3,3.3,1.04,10.25,1.29,3.2,1.97,1.76,3.35,1.27,6.75,1.09,1.82,1.88
1902599,Chile Segunda División,2022,2022-04-25 18:00:00,4,Rodelindo Román,Deportes Valdivia,3,0,2.23,3.15,2.75,1.02,8.0,1.28,3.3,1.96,1.77,3.2,1.3,6.5,1.1,1.85,1.85
1902595,Chile Segunda División,2022,2022-04-25 20:00:00,4,Trasandino,Deportes Limache,1,1,1.66,3.4,2.08,1.04,10.0,1.21,3.9,1.85,1.95,2.75,1.4,5.0,1.13,1.58,2.25
1902600,Chile Segunda División,2022,2022-05-07 16:45:00,5,San Antonio Unido,Trasandino,1,1,2.02,3.34,3.48,1.05,9.0,1.28,3.4,1.84,1.84,3.1,1.33,5.5,1.12,1.73,1.98
1902605,Chile Segunda División,2022,2022-05-07 19:00:00,5,Deportes Limache,Deportes Valdivia,1,2,2.07,3.3,3.17,1.06,8.0,1.27,3.5,1.85,1.95,3.0,1.35,5.5,1.12,1.7,2.05
1902601,Chile Segunda División,2022,2022-05-07 22:00:00,5,San Marcos,Rodelindo Román,2,1,1.95,3.25,3.4,0.0,0.0,0.0,0.0,1.95,1.85,0.0,0.0,0.0,0.0,0.0,0.0
1902603,Chile Segunda División,2022,2022-05-08 13:00:00,5,Real San Joaquín,Independiente,2,1,2.63,3.25,2.38,1.04,10.0,1.28,3.4,1.9,1.9,3.1,1.33,0.0,0.0,1.71,2.0
1902604,Chile Segunda División,2022,2022-05-08 16:00:00,5,General Velásquez,Concepción,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902602,Chile Segunda División,2022,2022-05-08 16:30:00,5,Iberia,Lautaro de Buin ,1,0,1.88,3.35,3.35,1.05,9.0,1.26,3.6,1.85,1.95,2.9,1.37,0.0,0.0,1.7,2.05
1902606,Chile Segunda División,2022,2022-05-13 20:00:00,6,Trasandino,San Marcos,0,1,2.45,3.3,1.49,1.08,7.0,1.35,2.95,2.05,1.7,3.6,1.25,7.0,1.08,1.83,1.89
1902611,Chile Segunda División,2022,2022-05-14 18:00:00,6,Rodelindo Román,Iberia,0,0,2.38,3.1,2.7,1.02,8.0,1.29,3.45,1.9,1.8,3.2,1.29,0.0,1.09,1.73,2.0
1902607,Chile Segunda División,2022,2022-05-14 19:00:00,6,Concepción,San Antonio Unido,2,1,2.04,3.1,3.1,1.08,7.0,1.33,3.1,1.97,1.76,3.4,1.28,7.0,1.08,1.82,1.88
1902610,Chile Segunda División,2022,2022-05-15 13:00:00,6,Deportes Valdivia,Independiente,0,1,1.73,3.6,3.05,1.06,8.0,1.3,3.4,1.85,1.95,3.1,1.36,5.5,1.13,1.8,1.96
