Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1534299,Colombia Categoria Primera A,2022,2022-01-20 20:00:00,1,Rionegro Águilas,Atlético Bucaramanga,1,1,2.21,3.17,2.93,1.09,7.0,1.4,2.7,2.26,1.59,3.8,1.22,8.0,1.06,1.92,1.84
1534295,Colombia Categoria Primera A,2022,2022-01-20 22:05:00,1,América de Cali,Envigado,1,0,1.71,3.33,4.43,1.07,8.0,1.35,2.9,2.08,1.7,3.6,1.25,7.0,1.08,2.1,1.68
1534296,Colombia Categoria Primera A,2022,2022-01-21 20:00:00,1,Santa Fe,La Equidad,1,1,2.05,3.18,3.79,1.11,6.0,1.53,2.37,2.45,1.5,4.0,1.2,9.5,1.05,2.1,1.7
1534293,Colombia Categoria Primera A,2022,2022-01-21 22:05:00,1,Deportivo Pasto,Millonarios,0,1,4.23,3.47,1.85,1.09,6.75,1.41,2.65,2.2,1.6,4.1,1.2,8.25,1.06,1.98,1.79
1534290,Colombia Categoria Primera A,2022,2022-01-22 18:05:00,1,Cortuluá,Atlético Nacional,1,1,5.5,3.3,1.65,1.09,6.75,1.37,2.85,2.15,1.61,3.6,1.25,7.0,1.08,1.95,1.81
1534291,Colombia Categoria Primera A,2022,2022-01-22 20:10:00,1,Once Caldas,Unión Magdalena,1,1,1.8,3.2,4.4,1.1,6.25,1.47,2.45,2.36,1.52,4.5,1.17,9.5,1.05,2.3,1.58
1534297,Colombia Categoria Primera A,2022,2022-01-22 22:15:00,1,Junior,Patriotas Boyacá,3,1,1.4,4.0,8.0,1.05,10.0,1.29,3.3,1.89,1.89,3.2,1.3,6.5,1.09,2.75,1.43
1534298,Colombia Categoria Primera A,2022,2022-01-23 18:05:00,1,Independiente Medellín,Deportes Tolima,1,0,3.02,3.0,2.35,1.1,6.25,1.53,2.37,2.45,1.49,4.6,1.17,9.75,1.05,2.25,1.61
1534292,Colombia Categoria Primera A,2022,2022-01-23 20:10:00,1,Jaguares de Córdoba,Deportivo Cali,2,1,3.05,3.05,2.3,1.09,6.5,1.42,2.6,2.16,1.62,4.1,1.2,8.5,1.06,2.1,1.7
1534294,Colombia Categoria Primera A,2022,2022-01-23 22:15:00,1,Alianza Petrolera,Deportivo Pereira,2,1,2.05,3.2,3.45,1.08,7.0,1.41,2.7,2.16,1.62,4.0,1.21,8.25,1.06,2.02,1.75
