Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1534918,Colombia Categoria Primera B,2022,2022-01-22 16:00:00,1,Fortaleza CEIF,Atlético Huila,3,1,2.3,3.0,2.9,1.07,7.95,1.4,2.68,2.19,1.6,4.1,1.19,7.0,1.07,1.9,1.8
1534917,Colombia Categoria Primera B,2022,2022-01-22 17:00:00,1,Atlético,Universitario Popayán,1,0,2.55,3.04,2.87,0.0,0.0,0.0,0.0,2.32,1.54,0.0,0.0,0.0,0.0,0.0,0.0
1534923,Colombia Categoria Primera B,2022,2022-01-23 16:00:00,1,Tigres,Real Cartagena,1,2,2.7,3.0,2.46,1.08,6.1,1.5,2.43,2.33,1.53,5.2,1.12,7.5,1.06,2.15,1.63
1534922,Colombia Categoria Primera B,2022,2022-01-23 17:00:00,1,Valledupar,Real Santander,1,0,1.92,3.2,3.61,1.05,8.25,1.3,3.14,2.09,1.66,3.26,1.28,6.75,1.08,1.75,1.95
1534919,Colombia Categoria Primera B,2022,2022-01-24 17:00:00,1,Llaneros,Orsomarso,0,1,1.76,3.07,3.75,1.04,9.25,1.29,3.24,1.95,1.75,3.26,1.28,6.0,1.1,1.9,1.8
1534920,Colombia Categoria Primera B,2022,2022-01-24 21:40:00,1,Deportes Quindío,Bogotá,1,2,1.75,3.05,3.85,1.04,9.25,1.32,3.04,2.0,1.73,3.48,1.25,6.0,1.09,1.95,1.78
1534930,Colombia Categoria Primera B,2022,2022-01-29 17:00:00,2,Atlético,Valledupar,0,0,1.95,3.2,3.5,1.08,7.0,1.4,2.75,2.3,1.53,4.0,1.22,7.5,1.07,2.0,1.77
1534924,Colombia Categoria Primera B,2022,2022-01-29 21:00:00,2,Atlético Huila,Barranquilla,0,0,1.4,4.5,5.5,1.07,7.5,1.31,3.2,1.9,1.9,3.25,1.3,6.5,1.1,2.48,1.51
1534925,Colombia Categoria Primera B,2022,2022-01-30 13:00:00,2,Leones,Universitario Popayán,2,1,1.36,4.68,8.68,1.03,10.0,1.31,2.9,2.02,1.79,3.25,1.25,6.25,1.09,2.1,1.57
1534929,Colombia Categoria Primera B,2022,2022-01-30 17:00:00,2,Real Santander,Tigres,0,0,1.83,3.3,3.9,1.05,8.5,1.32,2.8,2.1,1.67,3.45,1.23,6.75,1.07,2.05,1.6
