Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2375946,Croatia Prva HNL,2022/2023,2022-07-15 15:00:00,1,Dinamo Zagreb,Lokomotiva Zagreb,3,2,1.07,5.0,7.5,1.03,17.0,1.2,4.48,1.67,2.15,2.63,1.49,4.7,1.19,2.1,1.67
2375947,Croatia Prva HNL,2022/2023,2022-07-16 14:00:00,1,Osijek,Gorica,2,1,1.18,4.0,4.5,1.03,13.0,1.25,3.6,1.85,1.95,3.2,1.33,6.0,1.12,1.91,1.8
2375948,Croatia Prva HNL,2022/2023,2022-07-16 16:00:00,1,Šibenik,Rijeka,0,1,3.4,3.6,1.28,1.03,15.0,1.18,4.25,1.6,2.3,2.42,1.59,3.92,1.21,1.62,2.2
2375945,Croatia Prva HNL,2022/2023,2022-07-17 14:00:00,1,Varaždin,Slaven Koprivnica,0,1,1.75,3.25,1.95,1.05,10.25,1.31,3.2,2.05,1.75,3.5,1.27,7.0,1.1,1.73,2.0
2375944,Croatia Prva HNL,2022/2023,2022-07-17 16:00:00,1,Istra 1961,Hajduk Split,0,2,6.2,3.8,1.5,1.03,14.0,1.25,3.75,1.82,1.96,3.0,1.36,5.5,1.14,2.0,1.73
2375953,Croatia Prva HNL,2022/2023,2022-07-22 15:00:00,2,Istra 1961,Varaždin,1,2,2.2,3.5,3.1,1.06,8.25,1.32,2.95,2.05,1.75,3.4,1.25,6.5,1.08,1.83,1.83
2375950,Croatia Prva HNL,2022/2023,2022-07-23 13:55:00,2,Gorica,Šibenik,0,0,1.62,3.8,5.25,1.03,14.0,1.21,4.25,1.73,2.08,2.88,1.38,5.5,1.14,1.73,2.0
2375952,Croatia Prva HNL,2022/2023,2022-07-23 16:00:00,2,Slaven Koprivnica,Dinamo Zagreb,1,5,7.5,4.0,1.45,1.04,11.5,1.26,3.75,1.95,1.85,3.3,1.3,6.5,1.11,2.2,1.62
2375951,Croatia Prva HNL,2022/2023,2022-07-24 16:00:00,2,Lokomotiva Zagreb,Osijek,2,1,3.0,3.3,2.38,1.03,8.3,1.33,3.1,2.0,1.8,3.75,1.25,7.0,1.06,1.73,2.0
2375957,Croatia Prva HNL,2022/2023,2022-07-29 13:55:00,3,Šibenik,Lokomotiva Zagreb,2,1,3.75,3.4,1.91,1.01,10.25,1.24,3.64,1.85,1.95,2.89,1.36,5.35,1.11,1.73,2.0
2375954,Croatia Prva HNL,2022/2023,2022-07-29 16:00:00,3,Dinamo Zagreb,Istra 1961,4,1,1.17,6.0,15.0,1.02,12.5,1.13,5.0,1.48,2.6,2.22,1.59,3.64,1.24,2.2,1.62
2375956,Croatia Prva HNL,2022/2023,2022-07-30 16:00:00,3,Varaždin,Hajduk Split,0,2,6.5,4.5,1.4,1.04,10.5,1.22,3.7,1.75,2.05,2.65,1.39,4.75,1.15,2.0,1.73
