Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2595137,Czech Republic First League,2022/2023,2022-07-30 11:00:00,1,Zlín,Mladá Boleslav,0,0,2.81,3.28,2.5,1.06,8.0,1.28,3.5,1.96,1.83,3.3,1.3,6.0,1.11,1.75,2.0
2595138,Czech Republic First League,2022/2023,2022-07-30 11:00:00,1,Zbrojovka Brno,Slovácko,2,2,3.51,3.38,2.08,1.06,8.0,1.28,3.5,1.94,1.84,3.3,1.3,6.0,1.11,1.8,1.95
2595140,Czech Republic First League,2022/2023,2022-07-30 11:00:00,1,Baník Ostrava,Sigma Olomouc,0,3,1.87,3.56,4.02,1.06,8.0,1.28,3.5,1.88,1.91,3.3,1.3,6.0,1.11,1.8,1.95
2595133,Czech Republic First League,2022/2023,2022-07-30 14:00:00,1,Teplice,Viktoria Plzeň,2,2,6.2,4.42,1.47,1.04,10.0,1.2,4.2,1.67,2.1,2.7,1.42,4.5,1.17,1.91,1.91
2595134,Czech Republic First League,2022/2023,2022-07-31 11:00:00,1,Pardubice,České Budějovice,0,2,2.43,3.25,2.76,1.06,8.0,1.28,3.5,1.89,1.75,3.3,1.3,6.0,1.11,1.75,2.0
2595135,Czech Republic First League,2022/2023,2022-07-31 11:00:00,1,Hradec Králové,Slavia Praha,1,0,7.2,4.7,1.37,1.04,10.0,1.25,3.75,1.64,2.05,2.95,1.38,4.75,1.15,2.05,1.7
2595139,Czech Republic First League,2022/2023,2022-07-31 11:00:00,1,Jablonec,Bohemians 1905,0,3,1.89,3.68,4.0,1.07,7.5,1.33,3.2,1.93,1.83,3.6,1.25,6.0,1.11,1.8,1.95
2595136,Czech Republic First League,2022/2023,2022-07-31 14:00:00,1,Sparta Praha,Slovan Liberec,1,2,1.35,4.9,7.5,1.04,10.0,1.2,4.33,1.65,2.18,2.7,1.45,4.5,1.17,1.95,1.8
2595144,Czech Republic First League,2022/2023,2022-08-06 11:00:00,2,Viktoria Plzeň,Pardubice,2,1,1.23,5.6,10.25,1.03,11.0,1.17,4.5,1.55,2.3,2.38,1.53,4.0,1.22,2.0,1.72
2595143,Czech Republic First League,2022/2023,2022-08-06 11:00:00,2,Slovan Liberec,Teplice,5,1,1.66,3.62,4.73,1.07,7.5,1.36,3.0,1.98,1.74,3.5,1.29,6.5,1.1,1.95,1.8
2595145,Czech Republic First League,2022/2023,2022-08-06 11:00:00,2,Sigma Olomouc,Zbrojovka Brno,0,2,1.74,3.55,4.28,1.06,8.0,1.3,3.4,1.88,1.82,3.25,1.33,6.0,1.11,1.8,1.95
2595148,Czech Republic First League,2022/2023,2022-08-06 14:00:00,2,Bohemians 1905,Baník Ostrava,3,3,2.68,3.22,2.32,1.05,9.0,1.3,3.4,1.85,1.94,3.25,1.33,5.5,1.12,1.75,2.0
2595141,Czech Republic First League,2022/2023,2022-08-07 11:00:00,2,České Budějovice,Sparta Praha,0,2,4.0,3.75,1.83,1.04,10.0,1.22,4.0,1.73,2.1,2.62,1.44,4.5,1.17,1.75,2.0
2595146,Czech Republic First League,2022/2023,2022-08-07 11:00:00,2,Mladá Boleslav,Jablonec,2,2,1.73,3.75,4.6,1.06,8.0,1.3,3.4,1.9,1.87,3.25,1.33,6.0,1.11,1.8,1.95
2595142,Czech Republic First League,2022/2023,2022-08-07 11:00:00,2,Slovácko,Hradec Králové,1,0,1.8,3.5,4.5,1.05,9.0,1.29,3.5,2.05,1.75,3.0,1.36,5.5,1.12,1.91,1.91
2595147,Czech Republic First League,2022/2023,2022-08-07 14:00:00,2,Slavia Praha,Zlín,4,1,1.2,6.5,15.0,1.02,22.0,1.13,4.85,1.49,2.44,2.25,1.62,3.72,1.23,2.26,1.63
2595149,Czech Republic First League,2022/2023,2022-08-13 11:00:00,3,Baník Ostrava,Zlín,3,1,1.72,3.6,4.2,1.04,15.0,1.22,4.33,1.6,2.11,2.7,1.47,4.93,1.18,1.71,2.08
2595151,Czech Republic First League,2022/2023,2022-08-13 11:00:00,3,Teplice,Bohemians 1905,0,1,2.55,3.05,2.65,1.07,7.5,1.33,3.1,2.11,1.78,3.6,1.25,6.5,1.1,1.78,1.95
2595154,Czech Republic First League,2022/2023,2022-08-13 11:00:00,3,Zbrojovka Brno,Mladá Boleslav,3,1,2.78,3.2,2.33,1.05,9.0,1.25,3.6,1.93,1.95,3.1,1.35,5.5,1.12,1.68,2.05
2595153,Czech Republic First League,2022/2023,2022-08-13 14:00:00,3,Hradec Králové,Viktoria Plzeň,1,2,4.26,3.45,1.8,1.05,9.0,1.25,3.6,1.85,1.85,3.1,1.33,5.5,1.12,1.8,1.95
2595156,Czech Republic First League,2022/2023,2022-08-14 11:00:00,3,České Budějovice,Slovácko,2,2,2.73,3.45,2.26,1.05,9.0,1.29,3.5,1.94,1.94,3.0,1.36,5.5,1.12,1.68,2.05
2595150,Czech Republic First League,2022/2023,2022-08-14 11:00:00,3,Jablonec,Slavia Praha,2,3,4.6,3.75,1.62,1.06,8.0,1.33,3.25,1.99,1.89,3.4,1.3,6.0,1.11,1.93,1.77
