Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2367217,Denmark 1st Division,2022/2023,2022-07-22 13:30:00,1,Vendsyssel,Hillerød,5,1,1.75,3.7,4.75,1.04,12.0,1.26,3.75,1.85,1.95,3.35,1.3,6.75,1.1,1.8,1.91
2367218,Denmark 1st Division,2022/2023,2022-07-22 14:00:00,1,SønderjyskE,Fremad Amager,2,1,1.4,4.75,7.5,1.01,16.5,1.19,4.75,1.62,2.25,2.5,1.52,4.35,1.21,1.83,1.83
2367219,Denmark 1st Division,2022/2023,2022-07-23 10:00:00,1,Nykøbing,Fredericia,2,2,3.2,3.7,2.05,1.02,16.0,1.17,5.44,1.54,2.45,2.25,1.62,3.88,1.27,1.5,2.5
2374172,Denmark 1st Division,2022/2023,2022-07-23 13:30:00,1,FC Helsingør,Vejle,0,6,2.25,3.4,3.2,1.04,11.0,1.22,3.8,1.85,1.95,2.65,1.41,4.8,1.16,1.67,2.1
2367220,Denmark 1st Division,2022/2023,2022-07-24 08:00:00,1,Næstved,Hvidovre,2,2,2.75,3.3,2.38,1.03,12.5,1.27,3.8,1.83,1.95,3.0,1.39,5.5,1.15,1.62,2.2
2367221,Denmark 1st Division,2022/2023,2022-07-24 10:00:00,1,HB Køge,Hobro,0,0,2.01,2.95,3.0,1.05,9.9,1.35,3.2,2.05,1.7,3.8,1.27,7.5,1.09,1.73,2.0
2367222,Denmark 1st Division,2022/2023,2022-07-29 13:50:00,2,Hobro,FC Helsingør,1,0,3.1,3.5,2.25,1.01,10.5,1.23,3.9,1.75,2.05,2.81,1.4,5.05,1.13,1.62,2.2
2367223,Denmark 1st Division,2022/2023,2022-07-29 13:50:00,2,Fredericia,Næstved,0,1,1.62,4.33,4.5,1.0,11.5,1.2,4.24,1.5,2.5,2.65,1.45,4.64,1.15,1.53,2.38
2367224,Denmark 1st Division,2022/2023,2022-07-30 09:00:00,2,Hillerød,SønderjyskE,1,5,4.2,3.5,1.7,1.0,11.0,1.22,4.0,1.7,2.05,2.73,1.42,4.9,1.13,1.83,1.83
2367225,Denmark 1st Division,2022/2023,2022-07-30 10:00:00,2,Nykøbing,Hvidovre,0,2,2.8,3.25,2.2,1.0,11.5,1.2,4.3,1.73,2.0,2.6,1.46,4.5,1.16,1.57,2.25
2374173,Denmark 1st Division,2022/2023,2022-07-30 11:00:00,2,Fremad Amager,Vejle,1,2,4.2,3.5,1.7,1.01,10.0,1.2,4.24,1.7,2.05,2.51,1.49,4.3,1.17,1.73,2.0
2367226,Denmark 1st Division,2022/2023,2022-07-31 10:00:00,2,HB Køge,Vendsyssel,1,2,2.7,3.3,2.4,1.02,9.3,1.23,3.9,1.89,1.91,2.73,1.42,4.9,1.13,1.62,2.2
2374179,Denmark 1st Division,2022/2023,2022-08-05 13:30:00,3,Hvidovre,Hillerød,3,1,1.29,5.25,11.0,1.03,11.0,1.17,4.5,1.57,2.35,2.26,1.57,4.33,1.2,1.91,1.8
2374174,Denmark 1st Division,2022/2023,2022-08-05 14:00:00,3,FC Helsingør,Fredericia,3,2,1.91,3.8,3.75,1.04,10.0,1.22,4.0,1.62,2.25,2.62,1.44,4.5,1.17,1.57,2.25
2374176,Denmark 1st Division,2022/2023,2022-08-06 08:00:00,3,SønderjyskE,HB Køge,3,1,1.46,4.72,6.99,1.05,12.5,1.2,4.04,1.67,2.14,2.65,1.42,4.7,1.14,1.83,1.83
2374175,Denmark 1st Division,2022/2023,2022-08-06 09:00:00,3,Vendsyssel,Fremad Amager,1,2,1.95,3.77,3.88,1.04,10.0,1.22,4.0,1.67,2.12,2.62,1.44,4.5,1.17,1.57,2.25
2374177,Denmark 1st Division,2022/2023,2022-08-07 08:00:00,3,Næstved,Hobro,2,0,2.0,3.3,3.3,1.04,10.5,1.29,3.6,1.88,1.87,3.2,1.35,6.0,1.13,1.67,2.1
2374178,Denmark 1st Division,2022/2023,2022-08-07 10:00:00,3,Vejle,Nykøbing,2,0,1.6,3.75,4.6,1.04,10.0,1.22,4.0,1.58,2.3,2.62,1.44,4.5,1.17,1.83,1.83
2374185,Denmark 1st Division,2022/2023,2022-08-11 13:00:00,4,Hillerød,HB Køge,0,2,5.75,4.2,1.57,1.04,10.0,1.22,4.0,1.62,2.25,2.62,1.44,4.5,1.17,1.67,2.1
2374183,Denmark 1st Division,2022/2023,2022-08-12 13:30:00,4,Hobro,SønderjyskE,0,3,5.0,3.8,1.65,1.0,10.5,1.22,3.82,1.85,1.95,2.76,1.39,5.0,1.12,1.83,1.83
2374182,Denmark 1st Division,2022/2023,2022-08-12 13:30:00,4,Fremad Amager,Næstved,0,0,2.75,3.6,2.45,1.04,12.0,1.19,4.14,1.67,2.15,2.62,1.43,4.6,1.14,1.53,2.38
2374180,Denmark 1st Division,2022/2023,2022-08-12 13:30:00,4,Fredericia,Vejle,0,1,3.75,3.8,1.91,1.04,13.0,1.18,4.3,1.65,2.2,2.52,1.46,4.4,1.16,1.57,2.25
2374181,Denmark 1st Division,2022/2023,2022-08-13 08:00:00,4,FC Helsingør,Hvidovre,0,3,2.13,3.35,2.83,1.03,15.0,1.22,3.8,1.6,2.1,2.62,1.42,4.8,1.17,1.62,2.2
2374184,Denmark 1st Division,2022/2023,2022-08-13 10:00:00,4,Nykøbing,Vendsyssel,1,3,2.35,3.25,2.6,1.04,12.0,1.21,3.92,1.65,2.03,2.69,1.41,4.8,1.13,1.62,2.2
2374187,Denmark 1st Division,2022/2023,2022-08-16 13:30:00,5,SønderjyskE,FC Helsingør,0,4,1.57,4.33,5.25,1.03,11.0,1.16,4.32,1.57,2.35,2.56,1.53,4.3,1.18,1.62,2.2
2374188,Denmark 1st Division,2022/2023,2022-08-16 13:30:00,5,Hvidovre,Fremad Amager,5,1,1.55,4.2,6.0,1.04,10.0,1.22,4.0,1.67,2.15,2.62,1.44,4.5,1.17,1.73,2.0
2374186,Denmark 1st Division,2022/2023,2022-08-16 14:00:00,5,HB Køge,Nykøbing,4,0,1.6,4.33,5.0,1.05,9.0,1.25,3.75,1.62,2.25,2.75,1.4,5.0,1.14,1.67,2.1
2374189,Denmark 1st Division,2022/2023,2022-08-16 14:00:00,5,Vendsyssel,Hobro,1,0,2.15,3.4,3.3,1.04,10.0,1.25,3.74,1.85,1.95,2.75,1.4,5.0,1.14,1.73,2.0
2374196,Denmark 1st Division,2022/2023,2022-08-17 13:00:00,5,Hillerød,Fredericia,2,1,5.25,4.0,1.62,1.03,11.0,1.2,4.33,1.53,2.4,2.5,1.5,4.33,1.2,1.57,2.25
