Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1452378,Egypt Egyptian Premier League,2021/2022,2021-10-25 10:00:00,1,National Bank of Egypt,El Geish,3,0,2.95,2.8,2.5,1.11,7.5,1.45,2.8,2.35,1.6,4.15,1.25,8.5,1.09,1.9,1.95
1452379,Egypt Egyptian Premier League,2021/2022,2021-10-25 12:30:00,1,Smouha SC,Al Ittihad,4,4,2.5,2.9,2.85,1.1,8.25,1.43,2.85,2.25,1.64,3.95,1.25,8.0,1.1,1.95,1.9
1452380,Egypt Egyptian Premier League,2021/2022,2021-10-25 15:00:00,1,Coca-Cola,Pharco,1,0,2.6,2.9,2.6,1.04,8.7,1.38,2.81,2.18,1.63,3.9,1.21,7.4,1.06,1.91,1.8
1452381,Egypt Egyptian Premier League,2021/2022,2021-10-26 10:00:00,1,Al Mokawloon,El Sharqia Dokhan,1,0,2.2,3.0,3.0,1.1,7.5,1.46,2.65,2.25,1.62,4.05,1.23,8.25,1.09,1.91,1.8
1452382,Egypt Egyptian Premier League,2021/2022,2021-10-26 12:30:00,1,El Gounah,Ceramica Cleopatra,1,1,3.1,2.8,2.5,1.09,8.25,1.38,2.9,2.15,1.65,3.75,1.25,7.75,1.1,1.83,1.9
1452383,Egypt Egyptian Premier League,2021/2022,2021-10-26 15:00:00,1,ENPPI,Zamalek,0,2,1.4,4.18,7.0,1.05,10.75,1.28,3.34,1.95,1.89,3.2,1.3,5.05,1.13,2.21,1.62
1452384,Egypt Egyptian Premier League,2021/2022,2021-10-27 12:30:00,1,Pyramids FC,Misr Lel Makasa,2,1,1.35,4.5,7.25,1.04,14.0,1.25,3.8,1.71,2.1,2.8,1.42,5.25,1.16,2.0,1.76
1452385,Egypt Egyptian Premier League,2021/2022,2021-10-27 15:00:00,1,Ismaily SC,Al Ahly,0,4,7.75,4.45,1.34,1.05,12.0,1.28,3.55,1.86,1.88,3.2,1.34,6.5,1.12,2.25,1.64
1452386,Egypt Egyptian Premier League,2021/2022,2021-10-28 12:30:00,1,Ghazl El Mehalla,Al Masry,1,1,20.07,1.06,11.55,1.05,7.75,1.35,3.0,3.16,1.33,3.75,1.25,7.0,1.07,1.92,1.84
1452387,Egypt Egyptian Premier League,2021/2022,2021-10-30 12:30:00,2,Al Ittihad,Coca-Cola,3,2,1.83,3.4,3.6,1.09,8.25,1.36,2.89,2.17,1.64,3.82,1.22,7.75,1.1,1.96,1.79
1452388,Egypt Egyptian Premier League,2021/2022,2021-10-30 15:00:00,2,ENPPI,Al Mokawloon,3,2,2.35,2.8,3.0,1.1,7.5,1.46,2.65,2.3,1.6,4.0,1.25,8.25,1.09,1.9,1.9
1452389,Egypt Egyptian Premier League,2021/2022,2021-10-31 10:00:00,2,Misr Lel Makasa,El Gounah,2,0,3.21,2.89,2.59,1.09,8.0,1.36,2.95,2.15,1.66,3.75,1.25,7.25,1.1,1.83,1.9
