Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2608130,England Championship,2022/2023,2022-07-29 16:00:00,1,Huddersfield Town,Burnley,0,1,2.5,3.25,2.8,1.07,9.5,1.38,3.1,1.89,1.75,4.0,1.26,8.0,1.08,1.83,1.83
2608137,England Championship,2022/2023,2022-07-30 11:00:00,1,Rotherham United,Swansea City,1,1,3.37,3.51,2.19,1.05,12.0,1.32,3.4,1.93,1.93,3.5,1.32,6.5,1.11,1.73,2.0
2608136,England Championship,2022/2023,2022-07-30 11:00:00,1,Millwall,Stoke City,2,0,2.07,3.46,3.72,1.07,10.0,1.4,3.0,2.03,1.83,4.0,1.25,8.0,1.08,1.91,1.8
2608135,England Championship,2022/2023,2022-07-30 11:00:00,1,Luton Town,Birmingham City,0,0,1.93,3.65,4.03,1.06,10.0,1.33,3.3,1.92,1.93,3.75,1.28,7.5,1.09,1.83,1.83
2608138,England Championship,2022/2023,2022-07-30 11:00:00,1,Wigan Athletic,Preston North End,0,0,2.34,3.18,3.37,1.08,9.0,1.4,3.0,2.03,1.83,4.0,1.26,8.0,1.08,1.83,1.83
2608133,England Championship,2022/2023,2022-07-30 11:00:00,1,Cardiff City,Norwich City,1,0,3.17,3.38,2.34,1.06,10.0,1.33,3.3,1.93,1.92,3.6,1.3,7.0,1.1,1.83,1.83
2608132,England Championship,2022/2023,2022-07-30 11:00:00,1,Blackpool,Reading,1,0,2.07,3.56,3.63,1.05,11.0,1.3,3.6,1.93,1.93,3.4,1.33,6.5,1.12,1.73,2.0
2608131,England Championship,2022/2023,2022-07-30 11:00:00,1,Blackburn Rovers,Queens Park Rangers,1,0,2.12,3.54,3.51,1.05,11.0,1.33,3.4,1.93,1.93,3.6,1.3,7.0,1.1,1.8,1.91
2608134,England Championship,2022/2023,2022-07-30 11:00:00,1,Hull City,Bristol City,2,1,1.97,3.55,3.96,1.06,10.0,1.33,3.4,1.99,1.87,3.6,1.3,7.0,1.1,1.8,1.91
2608139,England Championship,2022/2023,2022-07-30 13:30:00,1,Middlesbrough,West Bromwich Albion,1,1,2.28,3.48,3.2,1.05,11.0,1.32,3.4,1.92,1.93,3.5,1.32,6.5,1.11,1.8,1.91
2608140,England Championship,2022/2023,2022-07-31 08:00:00,1,Sunderland,Coventry City,1,1,2.6,3.35,2.7,1.06,11.0,1.34,3.37,1.98,1.78,3.58,1.31,7.24,1.11,1.8,1.91
2608141,England Championship,2022/2023,2022-08-01 16:00:00,1,Watford,Sheffield United,1,0,1.95,3.1,3.35,1.06,8.25,1.37,3.19,1.8,1.81,3.75,1.29,6.75,1.09,1.83,1.83
2608142,England Championship,2022/2023,2022-08-05 15:45:00,2,Birmingham City,Huddersfield Town,2,1,2.38,3.02,2.74,1.08,8.5,1.4,3.0,2.07,1.62,4.2,1.24,8.5,1.07,1.9,1.88
2608146,England Championship,2022/2023,2022-08-06 08:30:00,2,Norwich City,Wigan Athletic,1,1,1.7,3.67,5.0,1.05,11.0,1.3,3.6,1.93,1.78,3.4,1.33,6.5,1.12,1.92,1.87
2608152,England Championship,2022/2023,2022-08-06 11:00:00,2,Swansea City,Blackburn Rovers,0,3,2.3,3.3,3.1,1.07,10.0,1.4,3.0,1.95,1.77,4.0,1.25,8.5,1.07,1.9,1.9
