Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2580650,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,AFC Wimbledon,Gillingham,2,0,2.22,3.29,3.26,1.05,7.7,1.42,2.87,1.91,1.8,4.3,1.22,7.8,1.04,1.83,1.83
2580661,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Walsall,Hartlepool United,4,0,1.89,3.42,4.11,1.07,7.5,1.4,2.94,2.0,1.73,4.17,1.23,8.0,1.07,1.91,1.8
2580660,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Tranmere Rovers,Stevenage,1,2,1.91,3.43,4.03,1.05,7.5,1.43,2.84,2.3,1.53,4.41,1.21,8.1,1.04,2.0,1.73
2580659,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Sutton United,Newport County,1,1,2.2,3.44,3.17,1.06,8.5,1.31,3.3,1.96,1.83,3.38,1.3,6.56,1.1,1.8,1.91
2580657,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Salford City,Mansfield Town,2,0,2.24,3.1,3.44,1.07,7.75,1.36,3.16,2.0,1.73,3.84,1.26,7.5,1.07,1.83,1.83
2580656,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Rochdale,Crewe Alexandra,1,2,2.25,3.11,3.39,1.07,8.0,1.33,3.32,1.75,1.95,3.62,1.29,6.75,1.09,1.83,1.83
2580658,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Stockport County,Barrow,2,3,1.57,3.9,5.75,1.01,10.0,1.28,3.65,1.75,1.95,3.16,1.36,6.16,1.13,2.0,1.73
2580654,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Leyton Orient,Grimsby Town,2,0,1.93,3.42,3.93,1.07,8.0,1.34,3.29,1.85,1.85,3.72,1.28,7.25,1.08,1.83,1.83
2580653,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Harrogate Town,Swindon Town,3,0,2.59,3.53,2.56,1.03,11.5,1.21,4.45,1.89,1.89,2.61,1.49,4.79,1.19,1.53,2.38
2580652,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Carlisle United,Crawley Town,1,0,2.23,3.13,3.42,1.07,7.75,1.34,3.28,1.85,1.85,3.73,1.27,7.25,1.08,1.83,1.83
2580651,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Bradford City,Doncaster Rovers,0,0,2.15,3.33,3.37,1.06,8.75,1.33,3.35,1.85,1.85,3.57,1.29,6.5,1.1,1.83,1.83
2580655,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Northampton Town,Colchester United,3,2,1.86,3.45,4.23,1.07,7.75,1.37,3.12,1.95,1.75,3.87,1.26,7.5,1.07,2.0,1.73
2580669,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Hartlepool United,AFC Wimbledon,0,0,2.8,3.37,2.41,1.07,7.5,1.36,3.0,2.03,1.7,3.75,1.25,7.0,1.08,1.83,1.83
2580673,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Swindon Town,Salford City,0,0,2.11,3.4,3.32,1.06,8.0,1.33,3.25,1.98,1.74,3.4,1.3,6.0,1.11,1.73,2.0
2580672,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Stevenage,Stockport County,2,1,2.27,3.35,3.02,1.07,7.5,1.36,3.0,2.03,1.7,3.5,1.29,7.0,1.08,1.8,1.91
2580671,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Newport County,Walsall,0,1,2.27,3.25,3.12,1.08,7.0,1.4,2.75,2.18,1.61,4.0,1.22,7.5,1.07,2.0,1.73
2580670,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Mansfield Town,Tranmere Rovers,1,0,2.27,3.25,3.12,1.08,7.0,1.4,2.75,2.18,1.61,4.0,1.22,7.5,1.07,2.0,1.73
2580668,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Grimsby Town,Northampton Town,1,1,2.93,3.3,2.34,1.08,7.0,1.36,3.0,2.12,1.64,3.75,1.25,7.0,1.08,1.83,1.83
2580664,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Crawley Town,Leyton Orient,0,1,2.5,3.4,2.66,1.06,8.0,1.36,3.0,1.98,1.74,3.5,1.29,6.5,1.1,1.8,1.91
2580666,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Doncaster Rovers,Sutton United,2,1,2.11,3.4,3.3,1.07,7.5,1.36,3.0,1.98,1.74,3.5,1.29,6.5,1.1,1.8,1.91
2580665,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Crewe Alexandra,Harrogate Town,3,0,2.03,3.35,3.57,1.08,7.0,1.36,3.0,2.08,1.67,3.75,1.25,7.0,1.08,1.83,1.83
2580663,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Colchester United,Carlisle United,1,1,2.07,3.3,3.52,1.08,7.0,1.4,2.75,2.14,1.63,4.0,1.22,7.5,1.07,1.83,1.83
2580662,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Barrow,Bradford City,3,2,2.54,3.28,2.7,1.08,7.0,1.4,2.75,2.14,1.63,3.75,1.25,7.5,1.07,1.83,1.83
2580667,England EFL League Two,2022/2023,2022-08-06 11:00:00,2,Gillingham,Rochdale,1,0,1.94,3.53,3.68,1.05,11.0,1.33,3.3,1.88,1.83,3.6,1.28,7.0,1.09,1.83,1.83
2580681,England EFL League Two,2022/2023,2022-08-13 11:00:00,3,Salford City,Crewe Alexandra,3,0,1.81,3.5,3.8,1.06,7.75,1.33,2.95,2.0,1.7,3.4,1.25,6.5,1.08,1.91,1.8
2580685,England EFL League Two,2022/2023,2022-08-13 11:00:00,3,Walsall,Stevenage,1,1,2.44,3.1,2.71,1.08,8.5,1.42,2.9,2.14,1.61,4.33,1.22,8.5,1.06,1.83,1.83
