Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1592090,Finland Veikkausliiga,2022,2022-04-02 09:00:00,1,HJK,Honka,1,0,1.5,3.8,6.0,1.03,13.0,1.25,3.6,1.81,1.89,2.9,1.35,5.75,1.12,1.95,1.8
1592091,Finland Veikkausliiga,2022,2022-04-02 11:00:00,1,Haka,Ilves,2,1,2.62,3.16,2.84,1.06,9.25,1.35,2.95,2.05,1.69,3.75,1.23,7.75,1.07,1.91,1.91
1592092,Finland Veikkausliiga,2022,2022-04-02 11:00:00,1,KuPS,Inter Turku,2,1,1.91,3.2,4.0,1.05,9.75,1.31,3.1,2.05,1.75,3.6,1.25,7.25,1.09,1.91,1.91
1592093,Finland Veikkausliiga,2022,2022-04-02 11:00:00,1,SJK,HIFK,2,1,1.79,3.62,4.65,1.05,9.75,1.34,3.0,2.03,1.7,3.75,1.25,7.5,1.08,2.0,1.75
1592094,Finland Veikkausliiga,2022,2022-04-02 11:00:00,1,VPS,Oulu,2,2,2.72,3.1,2.5,1.05,9.5,1.35,2.95,2.07,1.67,3.75,1.23,7.75,1.07,1.91,1.91
1592095,Finland Veikkausliiga,2022,2022-04-02 12:30:00,1,Mariehamn,Lahti,0,0,2.59,3.44,2.68,1.04,11.0,1.25,3.55,1.83,1.87,3.05,1.32,6.0,1.12,1.75,2.0
1592096,Finland Veikkausliiga,2022,2022-04-07 12:00:00,2,Honka,Haka,3,2,2.05,3.05,3.5,1.06,9.45,1.35,2.97,2.1,1.65,3.62,1.24,6.7,1.07,1.85,1.85
1592097,Finland Veikkausliiga,2022,2022-04-08 12:00:00,2,Lahti,VPS,0,5,2.5,3.2,2.85,1.08,7.0,1.4,2.75,2.25,1.64,3.75,1.25,7.5,1.07,2.0,1.73
1592098,Finland Veikkausliiga,2022,2022-04-08 12:00:00,2,SJK,HJK,0,1,4.2,3.3,1.8,1.08,7.0,1.4,2.75,2.3,1.62,3.75,1.25,7.0,1.08,1.91,1.8
1592100,Finland Veikkausliiga,2022,2022-04-09 09:00:00,2,Inter Turku,Oulu,2,1,1.65,4.04,5.2,1.05,9.0,1.3,3.4,1.82,1.98,3.0,1.36,5.5,1.12,1.91,1.85
1592099,Finland Veikkausliiga,2022,2022-04-09 12:00:00,2,HIFK,Mariehamn,1,1,2.35,2.95,3.1,1.04,7.9,1.38,2.94,2.18,1.68,3.98,1.23,7.5,1.05,1.85,1.85
1592101,Finland Veikkausliiga,2022,2022-04-09 13:00:00,2,Ilves,KuPS,1,2,4.72,3.4,1.84,1.1,6.5,1.44,2.62,2.3,1.57,4.0,1.22,8.0,1.06,2.0,1.73
1592102,Finland Veikkausliiga,2022,2022-04-15 12:00:00,3,KuPS,SJK,2,0,1.83,3.35,4.3,1.06,8.0,1.3,3.4,1.98,1.88,3.25,1.33,5.5,1.12,1.8,1.91
