Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1278824,Germany 2. Bundesliga,2021/2022,2021-07-23 15:30:00,1,Schalke 04,Hamburger SV,1,3,2.38,3.3,2.75,1.04,13.0,1.21,4.3,1.67,2.1,2.65,1.44,4.1,1.24,1.54,2.4
1278825,Germany 2. Bundesliga,2021/2022,2021-07-24 08:30:00,1,Darmstadt 98,Jahn Regensburg,0,2,1.67,4.0,3.4,1.02,13.0,1.15,4.35,1.45,2.35,2.15,1.54,3.35,1.24,1.49,2.3
1278826,Germany 2. Bundesliga,2021/2022,2021-07-24 08:30:00,1,Heidenheim,Paderborn,0,0,2.15,3.5,3.25,1.06,11.0,1.25,3.9,1.69,2.15,2.6,1.47,4.5,1.2,1.61,2.25
1278827,Germany 2. Bundesliga,2021/2022,2021-07-24 08:30:00,1,Dynamo Dresden,Ingolstadt,3,0,4.0,3.65,1.61,1.03,12.0,1.16,4.3,1.47,2.35,2.1,1.57,3.35,1.25,1.49,2.3
1278828,Germany 2. Bundesliga,2021/2022,2021-07-24 08:30:00,1,Hansa Rostock,Karlsruher SC,1,3,2.75,3.1,2.7,1.11,7.0,1.43,2.8,2.15,1.67,3.6,1.28,7.0,1.11,1.87,1.91
1278829,Germany 2. Bundesliga,2021/2022,2021-07-24 15:30:00,1,Werder Bremen,Hannover 96,1,1,1.95,3.4,3.3,1.05,11.0,1.25,3.95,1.61,2.15,2.6,1.45,4.4,1.21,1.61,2.25
1278830,Germany 2. Bundesliga,2021/2022,2021-07-25 08:30:00,1,St. Pauli,Holstein Kiel,3,0,2.65,3.3,2.65,1.08,9.0,1.31,3.35,1.87,1.91,2.95,1.38,5.5,1.15,1.71,2.1
1278831,Germany 2. Bundesliga,2021/2022,2021-07-25 08:30:00,1,Nürnberg,Erzgebirge Aue,0,0,1.59,3.85,6.0,1.08,8.75,1.33,3.2,1.91,1.87,3.15,1.34,6.0,1.14,1.95,1.8
1278832,Germany 2. Bundesliga,2021/2022,2021-07-25 08:30:00,1,Sandhausen,Fortuna Düsseldorf,0,2,3.3,3.25,2.25,1.1,7.5,1.38,2.95,2.05,1.74,3.4,1.3,6.5,1.12,1.83,1.91
1278834,Germany 2. Bundesliga,2021/2022,2021-07-30 13:30:00,2,Paderborn,Nürnberg,2,2,2.55,3.45,2.65,1.07,9.0,1.31,3.35,1.87,1.91,3.0,1.38,5.5,1.15,1.71,2.05
1278833,Germany 2. Bundesliga,2021/2022,2021-07-30 13:30:00,2,Karlsruher SC,Darmstadt 98,3,0,1.34,5.0,8.5,1.06,10.5,1.29,3.5,1.8,2.0,2.95,1.38,5.75,1.15,2.15,1.67
