Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2709937,Germany Bundesliga,2022/2023,2022-08-05 15:30:00,1,Eintracht Frankfurt,Bayern München,1,6,6.48,5.13,1.39,1.01,19.5,1.11,6.25,1.34,2.84,1.95,1.8,3.14,1.4,1.53,2.38
2709938,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Union Berlin,Hertha BSC,3,1,1.84,3.88,4.0,1.05,11.0,1.32,3.4,1.67,2.08,3.5,1.32,6.5,1.11,1.91,1.91
2709939,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Borussia M'gladbach,Hoffenheim,3,1,2.17,3.98,2.95,1.02,17.0,1.12,6.0,1.36,2.9,1.93,1.78,3.37,1.36,1.36,3.0
2709940,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Wolfsburg,Werder Bremen,2,2,1.92,3.63,3.93,1.04,11.0,1.23,3.8,1.84,1.86,2.9,1.45,5.0,1.16,1.67,2.1
2709941,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Bochum,Mainz 05,1,2,2.94,3.33,2.44,1.06,8.5,1.32,3.6,2.05,1.69,3.49,1.34,6.5,1.1,1.75,2.0
2709942,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Augsburg,Freiburg,0,4,2.86,3.45,2.43,1.06,9.25,1.3,3.77,1.84,1.86,3.28,1.37,5.75,1.12,1.75,2.0
2709943,Germany Bundesliga,2022/2023,2022-08-06 13:30:00,1,Borussia Dortmund,Bayer Leverkusen,1,0,2.07,4.1,3.19,1.02,17.0,1.12,6.0,1.37,2.94,2.05,1.75,3.31,1.37,1.36,3.0
2709944,Germany Bundesliga,2022/2023,2022-08-07 10:30:00,1,Stuttgart,RB Leipzig,1,1,4.33,3.7,1.75,1.03,13.0,1.25,4.0,1.74,2.08,1.94,1.86,5.5,1.15,1.7,2.05
2709945,Germany Bundesliga,2022/2023,2022-08-07 12:30:00,1,Köln,Schalke 04,3,1,1.73,4.2,4.33,1.02,19.0,1.18,5.0,1.55,2.45,2.45,1.55,4.2,1.24,1.53,2.38
2709946,Germany Bundesliga,2022/2023,2022-08-12 15:30:00,2,Freiburg,Borussia Dortmund,1,3,4.57,3.58,1.66,1.03,17.0,1.18,5.0,1.45,2.55,2.2,1.6,4.2,1.24,1.5,2.5
