Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1339893,Greece Super League,2021/2022,2021-09-11 12:15:00,1,Panaitolikos,Asteras Tripolis,0,0,3.0,3.0,2.4,1.13,6.0,1.51,2.5,2.4,1.56,4.15,1.22,8.25,1.09,2.1,1.71
1339892,Greece Super League,2021/2022,2021-09-11 14:30:00,1,Panathinaikos,Apollon Smirnis,4,0,1.47,4.15,6.5,1.08,8.5,1.4,2.85,2.1,1.71,3.75,1.26,7.25,1.1,2.3,1.59
1339890,Greece Super League,2021/2022,2021-09-12 12:15:00,1,Volos NFC,Lamia,2,1,2.05,3.0,3.7,1.12,6.5,1.48,2.6,2.3,1.59,4.1,1.24,8.25,1.09,2.05,1.74
1339894,Greece Super League,2021/2022,2021-09-12 13:00:00,1,PAOK,PAS Giannina,0,1,1.22,6.0,13.0,1.06,10.25,1.35,3.1,1.95,1.83,3.4,1.3,6.75,1.11,3.05,1.36
1339888,Greece Super League,2021/2022,2021-09-12 14:30:00,1,AEK Athens,Ionikos,3,0,1.17,7.0,16.0,1.06,11.0,1.3,3.4,1.87,1.91,3.15,1.34,6.75,1.11,3.4,1.3
1339891,Greece Super League,2021/2022,2021-09-12 14:30:00,1,Olympiakos Piraeus,Atromitos,0,0,1.19,6.75,14.0,1.05,12.0,1.28,3.6,1.8,2.0,3.0,1.37,6.0,1.13,2.95,1.38
1339889,Greece Super League,2021/2022,2021-09-13 13:30:00,1,Aris,OFI,0,0,1.45,4.05,7.0,1.1,7.25,1.45,2.7,2.2,1.65,4.05,1.24,8.25,1.09,2.55,1.49
1339899,Greece Super League,2021/2022,2021-09-17 13:00:00,2,Ionikos,Aris,1,0,4.45,3.4,1.77,1.11,6.75,1.48,2.6,2.3,1.59,4.1,1.24,8.0,1.09,2.25,1.62
1339895,Greece Super League,2021/2022,2021-09-18 14:30:00,2,PAS Giannina,Panathinaikos,1,0,2.85,3.2,2.4,1.12,6.25,1.36,2.95,2.15,1.65,3.9,1.25,7.75,1.09,2.05,1.74
1339896,Greece Super League,2021/2022,2021-09-19 10:00:00,2,Apollon Smirnis,Volos NFC,1,3,2.35,2.85,3.3,1.13,6.0,1.5,2.5,2.35,1.57,4.1,1.24,8.25,1.09,2.05,1.74
