Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
3175376,Hungary NB I,2022/2023,2022-07-29 15:00:00,1,Honvéd W,Zalaegerszegi TE,0,1,1.83,3.6,3.65,0,0,0,0,1.7,2.0,0.0,0.0,0,0,0,0
3175377,Hungary NB I,2022/2023,2022-07-30 12:45:00,1,Kecskeméti TE,Vasas,0,0,2.95,3.2,2.12,0,0,0,0,1.9,1.8,0.0,0.0,0,0,0,0
3175384,Hungary NB I,2022/2023,2022-07-30 15:00:00,1,Újpest,Mezőkövesd-Zsóry,1,1,2.0,3.45,3.4,0,0,0,0,1.65,2.11,0.0,0.0,0,0,0,0
3175465,Hungary NB I,2022/2023,2022-07-31 10:45:00,1,Várda SE,Debrecen,2,2,2.19,3.45,3.0,0,0,0,0,1.72,1.92,0.0,0.0,0,0,0,0
3175472,Hungary NB I,2022/2023,2022-07-31 13:00:00,1,Paksi SE,Videoton,2,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3175479,Hungary NB I,2022/2023,2022-07-31 15:30:00,1,Ferencváros,Puskás,1,0,1.67,3.75,4.75,0,0,0,0,1.78,2.0,0.0,0.0,0,0,0,0
3175488,Hungary NB I,2022/2023,2022-08-05 15:00:00,2,Vasas,Paksi SE,2,2,2.4,3.4,2.64,0,0,0,0,1.68,2.06,0.0,0.0,0,0,0,0
3175504,Hungary NB I,2022/2023,2022-08-06 15:00:00,2,Debrecen,Kecskeméti TE,1,1,1.82,3.5,3.9,0,0,0,0,1.75,1.95,0.0,0.0,0,0,0,0
3175508,Hungary NB I,2022/2023,2022-08-07 10:30:00,2,Várda SE,Mezőkövesd-Zsóry,4,2,1.85,3.5,3.9,0,0,0,0,1.87,1.9,0.0,0.0,0,0,0,0
3175515,Hungary NB I,2022/2023,2022-08-07 12:45:00,2,Puskás,Újpest,2,0,1.92,3.58,3.76,0,0,0,0,1.92,1.92,0.0,0.0,0,0,0,0
3175522,Hungary NB I,2022/2023,2022-08-07 15:00:00,2,Videoton,Honvéd W,4,0,1.75,3.6,3.7,0,0,0,0,1.7,2.0,0.0,0.0,0,0,0,0
3175531,Hungary NB I,2022/2023,2022-08-12 15:00:00,3,Debrecen,Vasas,1,1,2.44,2.94,2.44,0,0,0,0,1.77,1.92,0.0,0.0,0,0,0,0
3175538,Hungary NB I,2022/2023,2022-08-13 13:00:00,3,Kecskeméti TE,Mezőkövesd-Zsóry,1,0,2.83,3.25,2.33,0,0,0,0,1.9,1.8,0.0,0.0,0,0,0,0
3175544,Hungary NB I,2022/2023,2022-08-13 15:15:00,3,Újpest,Zalaegerszegi TE,1,1,2.05,3.45,3.2,0,0,0,0,1.71,2.02,0.0,0.0,0,0,0,0
3175543,Hungary NB I,2022/2023,2022-08-14 13:00:00,3,Várda SE,Puskás,1,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3175546,Hungary NB I,2022/2023,2022-08-14 15:00:00,3,Honvéd W,Paksi SE,3,3,2.5,3.35,2.36,0,0,0,0,1.5,2.4,0.0,0.0,0,0,0,0
3175545,Hungary NB I,2022/2023,2022-08-14 15:00:00,3,Ferencváros,Videoton,4,0,1.71,3.4,4.1,0,0,0,0,1.65,2.1,0.0,0.0,0,0,0,0
3175551,Hungary NB I,2022/2023,2022-08-19 15:45:00,4,Puskás,Kecskeméti TE,1,1,1.5,3.85,5.2,0,0,0,0,1.95,1.87,0.0,0.0,0,0,0,0
3175550,Hungary NB I,2022/2023,2022-08-21 12:55:00,4,Zalaegerszegi TE,Várda SE,1,3,2.55,3.1,2.55,0,0,0,0,2.03,1.83,0.0,0.0,0,0,0,0
3175552,Hungary NB I,2022/2023,2022-08-21 15:00:00,4,Vasas,Honvéd W,1,2,2.3,3.3,2.7,0,0,0,0,1.82,1.98,0.0,0.0,0,0,0,0
3175547,Hungary NB I,2022/2023,2022-08-22 15:00:00,4,Mezőkövesd-Zsóry,Debrecen,4,2,1.89,3.87,3.85,0,0,0,0,1.7,2.0,0.0,0.0,0,0,0,0
3175557,Hungary NB I,2022/2023,2022-08-26 15:00:00,5,Újpest,Paksi SE,2,3,2.35,3.1,2.69,0,0,0,0,1.42,2.54,2.2,1.65,0,0,0,0
3175553,Hungary NB I,2022/2023,2022-08-27 10:30:00,5,Mezőkövesd-Zsóry,Vasas,1,1,2.87,3.28,2.4,0,0,0,0,1.9,1.81,0.0,0.0,0,0,0,0
3175555,Hungary NB I,2022/2023,2022-08-27 12:30:00,5,Kecskeméti TE,Zalaegerszegi TE,3,1,2.66,3.25,2.29,0,0,0,0,1.96,1.88,0.0,0.0,0,0,0,0
3175554,Hungary NB I,2022/2023,2022-08-27 14:45:00,5,Debrecen,Puskás,1,1,3.1,3.15,2.1,0,0,0,0,1.92,1.9,0.0,0.0,0,0,0,0
3175556,Hungary NB I,2022/2023,2022-08-28 09:30:00,5,Várda SE,Videoton,3,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3175558,Hungary NB I,2022/2023,2022-08-28 12:30:00,5,Ferencváros,Honvéd W,3,1,1.4,4.5,6.0,0,0,0,0,1.57,2.25,0.0,0.0,0,0,0,0
3175563,Hungary NB I,2022/2023,2022-08-30 12:45:00,6,Puskás,Mezőkövesd-Zsóry,1,0,1.55,4.0,5.25,0,0,0,0,1.77,2.05,0.0,0.0,0,0,0,0
3175562,Hungary NB I,2022/2023,2022-08-30 15:00:00,6,Zalaegerszegi TE,Debrecen,4,2,1.9,3.7,3.4,0,0,0,0,1.75,2.08,0.0,0.0,0,0,0,0
3175560,Hungary NB I,2022/2023,2022-08-31 12:00:00,6,Paksi SE,Várda SE,1,3,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3175561,Hungary NB I,2022/2023,2022-08-31 14:30:00,6,Videoton,Kecskeméti TE,2,1,1.4,4.25,5.9,0,0,0,0,1.93,1.78,0.0,0.0,0,0,0,0
3175564,Hungary NB I,2022/2023,2022-08-31 15:30:00,6,Vasas,Ferencváros,0,1,4.8,3.9,1.52,0,0,0,0,1.75,1.97,0.0,0.0,0,0,0,0
3175559,Hungary NB I,2022/2023,2022-09-01 14:00:00,6,Honvéd W,Újpest,0,0,2.3,3.3,2.7,0,0,0,0,1.85,1.95,0.0,0.0,0,0,0,0
3175565,Hungary NB I,2022/2023,2022-09-02 15:00:00,7,Mezőkövesd-Zsóry,Zalaegerszegi TE,0,5,2.5,3.35,2.55,0,0,0,0,1.71,2.02,0.0,0.0,0,0,0,0
3175567,Hungary NB I,2022/2023,2022-09-03 09:00:00,7,Kecskeméti TE,Paksi SE,3,1,2.83,3.12,2.24,0,0,0,0,1.8,1.89,0.0,0.0,0,0,0,0
3175570,Hungary NB I,2022/2023,2022-09-03 11:15:00,7,Vasas,Puskás,1,1,3.22,3.22,2.0,0,0,0,0,1.75,1.95,0.0,0.0,0,0,0,0
3175566,Hungary NB I,2022/2023,2022-09-03 13:15:00,7,Debrecen,Videoton,1,0,3.55,3.65,1.9,0,0,0,0,1.75,1.95,0.0,0.0,0,0,0,0
3175568,Hungary NB I,2022/2023,2022-09-04 09:45:00,7,Várda SE,Honvéd W,0,1,1.67,3.5,4.21,0,0,0,0,1.75,2.08,0.0,0.0,0,0,0,0
3175569,Hungary NB I,2022/2023,2022-09-04 12:30:00,7,Újpest,Ferencváros,0,6,4.6,3.7,1.6,0,0,0,0,1.61,2.15,0.0,0.0,0,0,0,0
3175574,Hungary NB I,2022/2023,2022-09-10 10:30:00,8,Paksi SE,Debrecen,1,0,1.63,3.95,3.95,0,0,0,0,1.5,2.4,2.2,1.61,0,0,0,0
3175573,Hungary NB I,2022/2023,2022-09-10 12:45:00,8,Honvéd W,Kecskeméti TE,0,0,2.33,3.3,2.56,0,0,0,0,1.97,1.83,0.0,0.0,0,0,0,0
3175575,Hungary NB I,2022/2023,2022-09-10 15:00:00,8,Videoton,Mezőkövesd-Zsóry,2,1,1.59,4.04,5.0,0,0,0,0,1.74,2.09,0.0,0.0,0,0,0,0
3175576,Hungary NB I,2022/2023,2022-09-11 10:00:00,8,Zalaegerszegi TE,Puskás,1,2,3.24,3.54,2.06,0,0,0,0,1.78,2.04,0.0,0.0,0,0,0,0
3175572,Hungary NB I,2022/2023,2022-09-11 12:30:00,8,Ferencváros,Várda SE,3,0,1.66,3.94,4.56,0,0,0,0,1.71,2.14,0.0,0.0,0,0,0,0
3175571,Hungary NB I,2022/2023,2022-09-11 15:00:00,8,Újpest,Vasas,2,1,2.36,3.34,2.83,0,0,0,0,1.93,1.87,0.0,0.0,0,0,0,0
3175577,Hungary NB I,2022/2023,2022-09-30 15:00:00,9,Mezőkövesd-Zsóry,Paksi SE,1,2,2.4,3.3,2.6,0,0,0,0,1.5,2.4,2.33,1.6,0,0,0,0
3175799,Hungary NB I,2022/2023,2022-10-01 09:30:00,9,Újpest,Várda SE,4,0,3.1,3.4,2.05,0,0,0,0,1.85,1.95,0.0,0.0,0,0,0,0
3175578,Hungary NB I,2022/2023,2022-10-01 12:00:00,9,Debrecen,Honvéd W,4,3,2.2,3.3,2.8,0,0,0,0,1.86,1.96,0.0,0.0,0,0,0,0
3175582,Hungary NB I,2022/2023,2022-10-01 14:30:00,9,Vasas,Zalaegerszegi TE,1,1,2.4,3.3,2.6,0,0,0,0,1.82,2.0,0.0,0.0,0,0,0,0
3175579,Hungary NB I,2022/2023,2022-10-02 11:30:00,9,Kecskeméti TE,Ferencváros,2,0,7.5,4.0,1.4,0,0,0,0,1.73,2.0,0.0,0.0,0,0,0,0
3175581,Hungary NB I,2022/2023,2022-10-02 13:45:00,9,Puskás,Videoton,1,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3175588,Hungary NB I,2022/2023,2022-10-07 13:00:00,10,Videoton,Zalaegerszegi TE,1,1,1.73,3.5,4.2,0,0,0,0,1.6,2.19,0.0,0.0,0,0,0,0
3175584,Hungary NB I,2022/2023,2022-10-07 15:05:00,10,Újpest,Kecskeméti TE,1,2,1.8,3.65,3.95,0,0,0,0,1.75,1.9,0.0,0.0,0,0,0,0
3175583,Hungary NB I,2022/2023,2022-10-08 12:00:00,10,Várda SE,Vasas,2,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3175586,Hungary NB I,2022/2023,2022-10-08 14:30:00,10,Honvéd W,Mezőkövesd-Zsóry,2,2,1.84,3.4,3.55,0,0,0,0,1.8,2.0,0.0,0.0,0,0,0,0
3175587,Hungary NB I,2022/2023,2022-10-09 10:30:00,10,Paksi SE,Puskás,1,3,2.38,3.62,2.6,0,0,0,0,1.65,2.2,2.3,1.55,0,0,0,0
3175585,Hungary NB I,2022/2023,2022-10-09 13:00:00,10,Ferencváros,Debrecen,2,0,1.25,5.4,9.5,0,0,0,0,1.46,2.52,2.33,1.61,0,0,0,0
3175549,Hungary NB I,2022/2023,2022-10-10 14:00:00,4,Videoton,Újpest,0,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3175591,Hungary NB I,2022/2023,2022-10-14 15:00:00,11,Kecskeméti TE,Várda SE,3,3,3.0,3.3,2.25,0,0,0,0,1.8,1.95,0.0,0.0,0,0,0,0
3175592,Hungary NB I,2022/2023,2022-10-15 09:45:00,11,Zalaegerszegi TE,Paksi SE,3,0,2.22,3.5,2.92,0,0,0,0,1.69,1.97,2.3,1.57,0,0,0,0
3175593,Hungary NB I,2022/2023,2022-10-15 12:00:00,11,Puskás,Honvéd W,1,0,1.69,3.75,4.55,0,0,0,0,1.73,1.91,0.0,0.0,0,0,0,0
3175594,Hungary NB I,2022/2023,2022-10-15 14:30:00,11,Vasas,Videoton,2,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3175590,Hungary NB I,2022/2023,2022-10-16 08:45:00,11,Debrecen,Újpest,4,1,2.33,3.1,2.71,0,0,0,0,1.85,1.95,0.0,0.0,0,0,0,0
3175589,Hungary NB I,2022/2023,2022-10-16 12:45:00,11,Mezőkövesd-Zsóry,Ferencváros,2,1,5.25,4.1,1.55,0,0,0,0,1.67,2.15,0.0,0.0,0,0,0,0
3175595,Hungary NB I,2022/2023,2022-10-21 15:00:00,12,Vasas,Kecskeméti TE,1,2,2.14,3.35,2.8,0,0,0,0,1.92,1.88,0.0,0.0,0,0,0,0
3175599,Hungary NB I,2022/2023,2022-10-22 08:30:00,12,Zalaegerszegi TE,Honvéd W,0,2,1.96,3.58,3.48,0,0,0,0,1.7,2.0,0.0,0.0,0,0,0,0
3175600,Hungary NB I,2022/2023,2022-10-22 11:30:00,12,Videoton,Paksi SE,1,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3175598,Hungary NB I,2022/2023,2022-10-22 13:30:00,12,Puskás,Ferencváros,2,4,3.37,3.62,2.12,0,0,0,0,1.78,1.99,0.0,0.0,0,0,0,0
