Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1319351,Italy Serie A,2021/2022,2021-08-21 13:30:00,1,Hellas Verona,Sassuolo,2,3,2.6,3.45,2.8,1.08,10.5,1.3,3.7,1.87,2.0,2.95,1.43,5.25,1.18,1.71,2.25
1319352,Italy Serie A,2021/2022,2021-08-21 13:30:00,1,Inter Milan,Genoa,4,0,1.32,5.5,11.0,1.05,14.0,1.26,4.1,1.71,2.2,2.7,1.49,5.0,1.2,2.15,1.74
1319353,Italy Serie A,2021/2022,2021-08-21 15:45:00,1,Empoli,Lazio,1,3,4.75,3.95,1.77,1.07,12.0,1.26,4.05,1.74,2.15,2.7,1.5,4.75,1.21,1.74,2.15
1319354,Italy Serie A,2021/2022,2021-08-21 15:45:00,1,Torino,Atalanta,1,2,6.0,4.4,1.57,1.06,13.0,1.25,4.15,1.67,2.3,2.6,1.54,4.4,1.24,1.77,2.15
1319355,Italy Serie A,2021/2022,2021-08-22 13:30:00,1,Bologna,Salernitana,3,2,1.61,4.3,5.75,1.07,12.0,1.3,3.7,1.77,2.15,2.9,1.43,5.25,1.18,1.87,2.0
1319356,Italy Serie A,2021/2022,2021-08-22 13:30:00,1,Udinese,Juventus,2,2,8.0,4.65,1.44,1.07,11.0,1.3,3.65,1.8,2.1,3.0,1.43,5.75,1.17,2.1,1.8
1319357,Italy Serie A,2021/2022,2021-08-22 15:45:00,1,Napoli,Venezia,2,0,1.25,6.75,13.0,1.03,18.0,1.18,5.5,1.49,2.75,2.15,1.74,3.75,1.3,1.95,1.91
1319358,Italy Serie A,2021/2022,2021-08-22 15:45:00,1,Roma,Fiorentina,3,1,1.83,3.9,4.4,1.06,12.0,1.26,4.15,1.71,2.2,2.7,1.5,4.75,1.21,1.71,2.2
1319359,Italy Serie A,2021/2022,2021-08-23 13:30:00,1,Cagliari,Spezia,2,2,1.83,3.8,4.55,1.08,10.25,1.33,3.45,1.91,1.95,3.15,1.38,6.0,1.16,1.87,2.0
1319360,Italy Serie A,2021/2022,2021-08-23 15:45:00,1,Sampdoria,AC Milan,0,1,5.25,3.6,1.73,1.07,10.75,1.32,3.4,1.86,2.04,2.8,1.47,4.95,1.2,1.69,2.25
