Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2440703,Mexico Ascenso MX,2022/2023,2022-06-24 23:05:00,1,Mineros de Zacatecas,Celaya,1,0,2.08,3.25,3.1,1.06,9.5,1.31,2.97,2.05,1.75,3.4,1.26,8.0,1.08,1.79,1.94
2440704,Mexico Ascenso MX,2022/2023,2022-06-25 23:05:00,1,Leones Negros de la Universidad de Guadalajara,Zacatepec Siglo XXI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2440707,Mexico Ascenso MX,2022/2023,2022-06-26 19:00:00,1,Tepatitlán de Morelos,Dorados,2,0,2.47,3.25,2.52,1.08,7.0,1.4,2.75,2.25,1.6,4.0,1.22,7.5,1.07,1.91,1.85
2440705,Mexico Ascenso MX,2022/2023,2022-06-26 21:05:00,1,Venados,Correcaminos UAT,1,3,2.13,3.35,3.2,1.05,9.0,1.29,3.5,1.83,1.95,3.0,1.36,5.5,1.13,1.7,2.1
2440706,Mexico Ascenso MX,2022/2023,2022-06-26 23:05:00,1,Pumas Tabasco,Cancún,1,2,2.13,3.12,3.12,1.08,7.0,1.36,3.0,2.1,1.65,3.75,1.25,7.0,1.08,1.91,1.85
2440710,Mexico Ascenso MX,2022/2023,2022-06-29 19:00:00,1,Tapatío,Durango,3,1,1.85,3.32,3.72,1.07,7.5,1.36,3.0,2.05,1.7,3.5,1.29,7.0,1.08,1.85,1.91
2440708,Mexico Ascenso MX,2022/2023,2022-06-29 21:05:00,1,Tlaxcala,Cimarrones de Sonora,2,0,2.23,3.1,2.85,1.07,7.5,1.33,3.1,2.05,1.72,3.75,1.25,7.0,1.08,1.8,1.91
2440709,Mexico Ascenso MX,2022/2023,2022-06-29 23:05:00,1,Raya2,Morelia,1,0,3.0,3.0,2.25,0.0,0.0,0.0,0.0,2.08,1.73,0.0,0.0,0.0,0.0,1.91,1.8
2440711,Mexico Ascenso MX,2022/2023,2022-06-30 21:00:00,1,Atlante,CA La Paz,3,0,1.58,3.6,5.0,1.06,8.5,1.34,3.0,2.0,1.72,3.5,1.27,7.0,1.09,2.05,1.68
2440714,Mexico Ascenso MX,2022/2023,2022-07-05 19:00:00,2,Morelia,Tlaxcala,2,0,1.84,3.34,3.35,1.06,9.4,1.35,3.02,2.09,1.69,3.68,1.25,6.95,1.08,1.95,1.76
2440712,Mexico Ascenso MX,2022/2023,2022-07-05 21:05:00,2,Cancún,Raya2,0,1,2.14,3.35,3.15,1.07,8.25,1.4,2.8,2.4,1.53,4.2,1.2,8.75,1.06,2.05,1.68
2440713,Mexico Ascenso MX,2022/2023,2022-07-05 23:05:00,2,Dorados,Cimarrones de Sonora,1,2,2.25,3.35,2.96,1.04,8.6,1.35,2.88,2.1,1.7,3.74,1.22,7.4,1.06,1.85,1.91
2440717,Mexico Ascenso MX,2022/2023,2022-07-06 19:00:00,2,Durango,CA La Paz,0,0,1.86,3.2,4.46,1.02,10.5,1.25,3.46,1.95,1.85,2.94,1.34,5.9,1.1,1.76,1.95
2440715,Mexico Ascenso MX,2022/2023,2022-07-06 21:05:00,2,Mineros de Zacatecas,Tapatío,3,4,2.14,3.4,3.15,1.03,9.5,1.29,3.2,2.0,1.8,3.26,1.28,6.6,1.08,1.71,2.0
