Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2280693,Mexico Liga MX,2022/2023,2022-07-01 23:05:00,1,Mazatlán,Puebla,2,4,2.64,3.26,2.68,1.04,7.9,1.34,2.94,2.18,1.67,3.98,1.23,7.6,1.05,1.95,1.8
2280692,Mexico Liga MX,2022/2023,2022-07-02 19:00:00,1,Necaxa,Toluca,1,3,2.3,3.25,3.1,1.02,9.2,1.32,3.51,1.98,1.88,3.4,1.33,6.78,1.12,1.75,2.0
2280694,Mexico Liga MX,2022/2023,2022-07-02 19:00:00,1,Guadalajara,Juárez,0,0,1.73,3.5,5.0,1.05,7.6,1.41,2.82,2.15,1.57,4.2,1.21,8.0,1.04,2.1,1.67
2280695,Mexico Liga MX,2022/2023,2022-07-02 21:05:00,1,Tigres UANL,Cruz Azul,2,3,2.0,3.3,3.75,1.04,8.3,1.36,3.04,2.04,1.64,3.78,1.25,7.1,1.06,1.95,1.8
2280696,Mexico Liga MX,2022/2023,2022-07-02 23:05:00,1,América,Atlas,0,0,2.1,3.25,3.5,1.06,7.1,1.45,2.67,2.18,1.56,4.54,1.18,8.9,1.03,2.1,1.67
2280697,Mexico Liga MX,2022/2023,2022-07-03 14:00:00,1,Pumas UNAM,Tijuana,1,1,1.83,3.35,3.83,1.02,9.2,1.3,3.4,1.98,1.88,3.32,1.31,6.15,1.08,1.8,1.95
2280698,Mexico Liga MX,2022/2023,2022-07-03 19:00:00,1,Atlético San Luis,León,1,2,2.5,3.2,2.75,1.03,8.4,1.35,3.1,1.97,1.69,3.7,1.26,6.95,1.06,1.91,1.91
2280699,Mexico Liga MX,2022/2023,2022-07-03 21:05:00,1,Santos Laguna,Monterrey,4,3,2.7,3.25,2.5,1.04,8.1,1.36,3.02,2.04,1.64,3.78,1.25,7.3,1.05,1.91,1.91
2280700,Mexico Liga MX,2022/2023,2022-07-04 23:00:00,1,Pachuca,Querétaro,2,0,1.44,3.9,5.7,1.03,8.5,1.34,3.14,1.8,1.9,3.62,1.27,6.85,1.06,2.05,1.7
2280701,Mexico Liga MX,2022/2023,2022-07-08 21:00:00,2,Mazatlán,Tigres UANL,0,1,3.0,3.1,2.34,1.05,12.0,1.29,3.5,2.0,1.67,3.35,1.31,6.5,1.11,1.75,2.0
2280702,Mexico Liga MX,2022/2023,2022-07-08 23:05:00,2,Puebla,Santos Laguna,1,0,1.94,3.4,3.7,1.07,7.5,1.33,3.2,2.11,1.6,3.6,1.28,6.5,1.1,1.8,1.95
2280703,Mexico Liga MX,2022/2023,2022-07-08 23:05:00,2,Tijuana,Juárez,0,2,1.98,3.3,3.65,1.08,7.0,1.38,2.9,2.13,1.59,4.2,1.22,7.5,1.07,2.0,1.75
2280709,Mexico Liga MX,2022/2023,2022-07-09 21:00:00,2,León,Pumas UNAM,3,3,1.9,3.6,3.75,1.06,8.0,1.33,3.1,2.0,1.75,3.6,1.25,6.5,1.1,1.83,1.9
2280704,Mexico Liga MX,2022/2023,2022-07-09 21:05:00,2,Guadalajara,Atlético San Luis,0,1,1.91,3.0,3.8,1.08,7.0,1.4,2.8,2.25,1.57,4.2,1.22,8.0,1.06,2.0,1.75
2280705,Mexico Liga MX,2022/2023,2022-07-09 23:05:00,2,Cruz Azul,Pachuca,1,2,2.3,2.9,2.9,1.08,7.0,1.38,2.9,2.25,1.57,4.0,1.22,7.5,1.07,1.95,1.8
2280706,Mexico Liga MX,2022/2023,2022-07-09 23:05:00,2,Monterrey,América,3,2,2.25,3.0,3.0,1.08,7.0,1.38,2.9,2.2,1.61,4.0,1.22,7.5,1.07,1.95,1.8
2280707,Mexico Liga MX,2022/2023,2022-07-10 14:00:00,2,Toluca,Atlas,3,2,2.94,3.05,2.43,1.08,7.0,1.4,2.8,2.11,1.65,4.2,1.22,8.0,1.06,1.95,1.8
2280708,Mexico Liga MX,2022/2023,2022-07-10 19:00:00,2,Querétaro,Necaxa,1,2,2.2,3.12,2.97,1.08,7.0,1.38,2.9,2.15,1.62,4.0,1.22,7.5,1.07,1.95,1.8
2280710,Mexico Liga MX,2022/2023,2022-07-13 23:00:00,3,América,Toluca,1,0,1.55,4.05,5.3,1.07,7.5,1.28,3.4,1.91,1.95,3.3,1.3,6.5,1.1,2.1,1.66
2280711,Mexico Liga MX,2022/2023,2022-07-15 21:00:00,3,Puebla,León,1,1,2.75,3.25,2.5,1.06,8.0,1.3,3.3,2.1,1.68,3.4,1.28,6.5,1.1,1.8,1.9
2280712,Mexico Liga MX,2022/2023,2022-07-15 23:05:00,3,Juárez,Querétaro,1,1,2.0,3.4,3.6,1.08,7.0,1.42,2.75,2.2,1.62,4.5,1.2,7.5,1.07,1.95,1.8
2280713,Mexico Liga MX,2022/2023,2022-07-16 19:00:00,3,Atlas,Cruz Azul,3,2,2.2,3.0,3.25,1.1,6.5,1.44,2.65,2.15,1.58,4.5,1.18,8.0,1.06,2.0,1.75
2280714,Mexico Liga MX,2022/2023,2022-07-16 21:05:00,3,Santos Laguna,Guadalajara,1,1,2.45,3.0,2.8,1.08,7.0,1.36,2.95,2.08,1.62,4.0,1.22,7.0,1.08,1.9,1.8
2280715,Mexico Liga MX,2022/2023,2022-07-17 14:00:00,3,Pumas UNAM,Necaxa,1,0,2.03,3.2,3.1,1.07,7.5,1.36,3.0,1.88,1.82,3.75,1.25,7.0,1.08,1.88,1.82
2280716,Mexico Liga MX,2022/2023,2022-07-17 19:00:00,3,Atlético San Luis,Monterrey,0,1,2.85,3.15,2.21,1.07,7.5,1.33,3.1,2.16,1.76,3.75,1.25,7.0,1.08,1.83,1.9
2280717,Mexico Liga MX,2022/2023,2022-07-17 21:00:00,3,Tigres UANL,Tijuana,1,0,1.42,3.8,6.4,1.06,8.0,1.3,3.3,2.05,1.85,3.5,1.28,6.0,1.11,2.1,1.67
2280718,Mexico Liga MX,2022/2023,2022-07-18 21:00:00,3,Pachuca,Mazatlán,1,1,1.5,3.75,6.0,1.05,9.0,1.22,4.0,1.85,1.85,2.8,1.42,6.0,1.11,1.9,1.8
2280719,Mexico Liga MX,2022/2023,2022-07-20 23:05:00,4,Guadalajara,León,0,0,2.15,3.15,3.2,1.06,8.0,1.3,3.4,1.91,1.86,3.3,1.3,5.5,1.12,1.71,2.0
2280720,Mexico Liga MX,2022/2023,2022-07-21 23:00:00,4,Querétaro,Monterrey,0,3,3.42,3.32,1.86,1.07,7.5,1.36,3.0,2.1,1.68,3.75,1.25,6.5,1.1,1.87,1.83
2280721,Mexico Liga MX,2022/2023,2022-07-22 21:00:00,4,Mazatlán,Atlético San Luis,1,1,2.42,3.36,2.97,1.07,9.5,1.36,2.95,2.1,1.7,4.0,1.22,8.5,1.08,1.91,1.91
2280722,Mexico Liga MX,2022/2023,2022-07-22 23:05:00,4,Necaxa,Juárez,1,0,1.94,3.25,3.6,1.07,7.25,1.38,2.9,2.38,1.55,4.0,1.22,7.5,1.07,2.05,1.7
2280723,Mexico Liga MX,2022/2023,2022-07-23 19:00:00,4,Toluca,Santos Laguna,2,1,2.18,3.35,3.1,1.05,9.0,1.25,3.75,1.76,1.95,3.0,1.36,5.5,1.12,1.63,2.2
2280724,Mexico Liga MX,2022/2023,2022-07-23 21:05:00,4,Cruz Azul,Puebla,2,2,2.0,3.3,3.6,1.06,8.0,1.3,3.3,1.84,2.02,3.3,1.3,6.0,1.11,1.8,1.9
2280726,Mexico Liga MX,2022/2023,2022-07-23 22:00:00,4,Tijuana,América,2,0,3.5,3.3,2.04,1.07,7.5,1.33,3.2,2.03,1.87,3.6,1.28,7.0,1.08,1.88,1.82
2280725,Mexico Liga MX,2022/2023,2022-07-23 23:05:00,4,Tigres UANL,Atlas,2,0,1.97,3.3,3.7,1.08,7.0,1.36,2.95,2.15,1.61,4.0,1.22,7.0,1.08,1.95,1.77
2280727,Mexico Liga MX,2022/2023,2022-07-24 21:00:00,4,Pachuca,Pumas UNAM,0,0,1.7,3.58,4.1,1.06,8.0,1.28,3.4,1.82,1.88,3.3,1.3,6.0,1.11,1.91,1.91
2280728,Mexico Liga MX,2022/2023,2022-07-26 21:00:00,5,Atlas,Tijuana,1,2,1.73,3.7,5.25,1.08,7.0,1.36,2.95,2.12,1.67,4.0,1.22,7.0,1.08,2.1,1.67
2280729,Mexico Liga MX,2022/2023,2022-07-26 21:00:00,5,Monterrey,Puebla,1,0,1.53,4.5,6.5,1.07,7.5,1.33,3.1,2.0,1.76,3.75,1.25,7.0,1.08,2.0,1.75
2280730,Mexico Liga MX,2022/2023,2022-07-26 21:00:00,5,Juárez,Tigres UANL,0,1,3.9,3.55,2.0,1.08,7.0,1.36,2.95,2.12,1.68,3.75,1.25,7.0,1.08,1.95,1.8
2280731,Mexico Liga MX,2022/2023,2022-07-26 23:05:00,5,Atlético San Luis,Cruz Azul,0,0,2.46,3.1,2.85,1.1,6.5,1.4,2.8,2.11,1.65,4.2,1.22,8.0,1.06,1.95,1.8
2280732,Mexico Liga MX,2022/2023,2022-07-26 23:05:00,5,León,Toluca,0,1,1.9,3.5,3.73,1.04,10.0,1.22,4.0,1.65,2.11,2.75,1.42,4.5,1.17,1.7,2.05
2280734,Mexico Liga MX,2022/2023,2022-07-27 21:00:00,5,Necaxa,Pachuca,2,0,2.5,3.2,2.55,1.08,7.0,1.36,3.0,2.03,1.64,3.75,1.25,7.0,1.08,1.91,1.91
2280733,Mexico Liga MX,2022/2023,2022-07-27 21:00:00,5,Querétaro,Guadalajara,2,2,2.5,3.15,2.6,1.08,7.0,1.42,2.75,2.17,1.57,4.33,1.2,7.5,1.07,1.95,1.8
2280735,Mexico Liga MX,2022/2023,2022-07-27 23:05:00,5,Pumas UNAM,Mazatlán,1,1,1.66,3.55,4.7,1.03,8.4,1.3,3.4,2.08,1.8,3.26,1.32,5.95,1.09,1.91,1.91
2280736,Mexico Liga MX,2022/2023,2022-07-29 23:05:00,6,Juárez,Toluca,1,1,2.09,3.41,3.41,1.06,10.25,1.34,3.18,1.98,1.78,3.6,1.28,6.95,1.09,1.83,2.01
2280737,Mexico Liga MX,2022/2023,2022-07-30 19:00:00,6,Cruz Azul,Necaxa,1,0,2.01,3.3,4.37,1.08,8.6,1.4,2.88,2.3,1.53,4.08,1.23,8.05,1.07,1.96,1.88
2280738,Mexico Liga MX,2022/2023,2022-07-30 21:05:00,6,Tigres UANL,Querétaro,2,1,1.59,4.13,6.29,1.01,9.9,1.25,3.6,1.97,1.88,3.2,1.33,5.65,1.1,1.94,1.86
2280739,Mexico Liga MX,2022/2023,2022-07-30 23:05:00,6,Guadalajara,Pachuca,0,0,2.47,3.1,2.92,1.04,7.7,1.38,2.9,2.11,1.65,4.0,1.22,7.7,1.04,1.87,1.87
2280740,Mexico Liga MX,2022/2023,2022-07-30 23:05:00,6,Puebla,Atlético San Luis,0,0,1.98,3.33,3.78,1.02,9.3,1.3,3.3,1.88,1.83,3.4,1.3,6.1,1.08,1.78,2.0
2280741,Mexico Liga MX,2022/2023,2022-07-30 23:05:00,6,Tijuana,Mazatlán,2,0,2.04,3.23,3.68,1.03,8.4,1.33,3.1,1.93,1.78,3.75,1.25,6.95,1.06,1.83,1.9
2280742,Mexico Liga MX,2022/2023,2022-07-31 14:00:00,6,Pumas UNAM,Monterrey,1,1,2.8,3.3,2.38,1.02,9.8,1.28,3.5,1.92,1.73,3.3,1.3,5.65,1.1,1.7,2.1
2280743,Mexico Liga MX,2022/2023,2022-07-31 21:05:00,6,Santos Laguna,Atlas,1,0,2.07,3.25,3.5,1.07,7.5,1.33,3.1,2.03,1.7,3.75,1.25,7.0,1.08,1.83,1.9
2280744,Mexico Liga MX,2022/2023,2022-07-31 23:05:00,6,León,América,3,2,2.75,3.1,2.56,1.06,8.0,1.3,3.3,2.0,1.9,3.3,1.3,6.0,1.11,1.72,2.0
2280745,Mexico Liga MX,2022/2023,2022-08-02 22:00:00,16,Toluca,Puebla,1,1,2.4,3.5,3.0,1.04,14.0,1.22,4.18,1.72,2.05,2.7,1.45,4.92,1.17,1.56,2.27
2280746,Mexico Liga MX,2022/2023,2022-08-03 22:00:00,16,Juárez,Atlético San Luis,1,1,2.21,3.27,2.69,1.09,8.0,1.42,2.83,2.3,1.57,4.18,1.22,8.3,1.06,1.96,1.86
2280747,Mexico Liga MX,2022/2023,2022-08-04 23:00:00,7,Atlas,Querétaro,3,1,1.77,3.35,4.5,1.08,7.0,1.36,3.0,2.18,1.65,3.75,1.25,7.0,1.08,2.05,1.7
2280749,Mexico Liga MX,2022/2023,2022-08-05 23:05:00,7,Mazatlán,Guadalajara,2,1,2.76,3.1,2.53,1.09,7.0,1.47,2.6,2.14,1.63,5.2,1.15,12.0,1.04,2.1,1.67
2280750,Mexico Liga MX,2022/2023,2022-08-06 21:05:00,7,Monterrey,León,5,1,1.78,3.7,4.03,1.05,9.0,1.3,3.4,1.8,1.9,3.25,1.33,5.5,1.12,1.8,1.95
