Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2435193,Netherlands Eerste Divisie,2022/2023,2022-08-05 15:00:00,1,Den Bosch,Eindhoven,1,3,3.03,3.75,2.16,1.0,11.5,1.2,4.32,1.66,2.19,2.6,1.47,4.54,1.15,1.57,2.25
2435194,Netherlands Eerste Divisie,2022/2023,2022-08-05 15:00:00,1,Dordrecht,Roda JC,0,2,5.72,4.43,1.51,1.03,17.0,1.14,5.5,1.41,2.59,2.18,1.66,3.75,1.25,1.57,2.25
2435195,Netherlands Eerste Divisie,2022/2023,2022-08-05 15:00:00,1,Heracles,ADO Den Haag,4,0,1.91,3.75,3.57,1.01,11.5,1.22,4.1,1.66,2.19,2.7,1.44,4.74,1.14,1.67,2.1
2435196,Netherlands Eerste Divisie,2022/2023,2022-08-05 15:00:00,1,NAC Breda,Helmond Sport,1,0,1.43,4.67,6.49,1.0,12.5,1.18,4.54,1.62,2.26,2.52,1.5,4.3,1.17,1.83,1.83
2435197,Netherlands Eerste Divisie,2022/2023,2022-08-05 15:00:00,1,Oss,Utrecht II,3,0,2.03,3.65,3.3,1.04,12.5,1.17,4.8,1.63,2.24,2.41,1.54,4.04,1.19,1.53,2.38
2435198,Netherlands Eerste Divisie,2022/2023,2022-08-05 15:00:00,1,VVV,Almere City,3,0,2.78,3.5,2.36,1.03,13.5,1.17,4.84,1.63,2.24,2.39,1.55,4.04,1.19,1.5,2.5
2435199,Netherlands Eerste Divisie,2022/2023,2022-08-05 15:00:00,1,Willem II,PSV II,1,1,1.61,4.28,4.63,1.03,13.5,1.16,4.54,1.58,2.32,2.33,1.58,4.2,1.21,1.57,2.25
2435200,Netherlands Eerste Divisie,2022/2023,2022-08-07 07:15:00,1,PEC Zwolle,De Graafschap,2,1,2.04,3.55,3.37,1.03,15.0,1.22,4.0,1.69,2.14,2.95,1.4,5.5,1.15,1.62,2.2
2435201,Netherlands Eerste Divisie,2022/2023,2022-08-08 15:00:00,1,Ajax II,Telstar,1,1,1.67,4.12,4.35,1.02,12.0,1.15,5.5,1.43,2.53,2.17,1.67,3.75,1.25,1.53,2.38
2435202,Netherlands Eerste Divisie,2022/2023,2022-08-08 15:00:00,1,AZ II,MVV,3,1,1.94,3.77,3.47,1.02,12.0,1.17,4.5,1.47,2.41,2.28,1.61,3.75,1.25,1.5,2.5
2435208,Netherlands Eerste Divisie,2022/2023,2022-08-12 15:00:00,2,Telstar,PEC Zwolle,0,5,3.67,3.65,1.91,1.03,16.5,1.19,4.57,1.62,2.26,2.49,1.52,4.4,1.2,1.55,2.3
2435207,Netherlands Eerste Divisie,2022/2023,2022-08-12 15:00:00,2,Roda JC,Ajax II,1,0,1.62,4.45,4.38,1.02,13.0,1.12,5.5,1.44,2.62,2.0,1.73,3.25,1.33,1.45,2.69
2435206,Netherlands Eerste Divisie,2022/2023,2022-08-12 15:00:00,2,Helmond Sport,AZ II,1,3,2.6,3.75,2.45,1.02,17.0,1.2,4.33,1.66,2.2,2.75,1.45,4.75,1.18,1.55,2.35
2435203,Netherlands Eerste Divisie,2022/2023,2022-08-12 15:00:00,2,Almere City,Oss,3,0,1.45,4.7,5.9,1.02,12.0,1.17,4.5,1.53,2.38,2.25,1.6,3.75,1.25,1.66,2.16
2435204,Netherlands Eerste Divisie,2022/2023,2022-08-12 15:00:00,2,De Graafschap,VVV,1,2,1.47,4.75,6.0,1.02,19.0,1.18,4.75,1.6,2.35,2.55,1.52,4.33,1.2,1.72,2.05
2435205,Netherlands Eerste Divisie,2022/2023,2022-08-12 15:00:00,2,Eindhoven,Willem II,2,1,2.62,3.35,2.57,1.05,9.0,1.22,4.0,1.7,2.05,2.62,1.44,4.5,1.17,1.6,2.27
2435209,Netherlands Eerste Divisie,2022/2023,2022-08-14 07:15:00,2,ADO Den Haag,Den Bosch,0,2,1.55,4.58,4.95,1.02,12.0,1.15,4.75,1.53,2.38,2.28,1.61,3.75,1.25,1.67,2.1
2435210,Netherlands Eerste Divisie,2022/2023,2022-08-15 15:00:00,2,Utrecht II,Heracles,0,3,4.0,3.75,1.81,1.02,15.0,1.2,4.33,1.63,2.24,2.65,1.47,4.75,1.18,1.67,2.1
2435211,Netherlands Eerste Divisie,2022/2023,2022-08-15 15:00:00,2,PSV II,Dordrecht,1,0,1.45,4.69,6.18,1.02,12.0,1.16,5.0,1.5,2.5,2.25,1.62,3.75,1.25,1.62,2.2
