Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1267138,Netherlands Eredivisie,2021/2022,2021-08-13 15:00:00,1,Go Ahead Eagles,Heerenveen,0,1,2.6,3.35,2.6,1.08,8.75,1.33,3.2,1.91,1.87,3.05,1.36,5.75,1.14,1.77,2.05
1267139,Netherlands Eredivisie,2021/2022,2021-08-14 11:30:00,1,RKC Waalwijk,AZ,1,0,5.75,4.4,1.51,1.03,15.0,1.17,5.0,1.53,2.45,2.2,1.65,3.65,1.27,1.67,2.15
1267140,Netherlands Eredivisie,2021/2022,2021-08-14 13:45:00,1,Heracles,PSV,0,2,7.75,5.0,1.36,1.04,13.0,1.22,4.15,1.62,2.25,2.5,1.51,4.45,1.2,1.91,1.87
1267141,Netherlands Eredivisie,2021/2022,2021-08-14 15:00:00,1,Fortuna Sittard,Twente,2,1,2.9,3.5,2.3,1.06,10.0,1.29,3.5,1.8,2.0,2.85,1.41,4.95,1.17,1.71,2.1
1267142,Netherlands Eredivisie,2021/2022,2021-08-14 16:00:00,1,Ajax,NEC,5,0,1.07,14.0,34.0,1.01,34.0,1.08,9.0,1.25,3.9,1.57,2.35,2.3,1.59,2.35,1.57
1267143,Netherlands Eredivisie,2021/2022,2021-08-15 07:15:00,1,Cambuur,Groningen,1,2,2.76,3.35,2.24,1.07,10.0,1.28,3.6,1.7,2.0,2.8,1.42,5.0,1.17,1.69,2.15
1267144,Netherlands Eredivisie,2021/2022,2021-08-15 09:30:00,1,PEC Zwolle,Vitesse,0,1,3.3,3.45,2.1,1.06,10.25,1.25,3.65,1.74,2.05,2.7,1.44,4.65,1.19,1.67,2.15
1267145,Netherlands Eredivisie,2021/2022,2021-08-15 09:30:00,1,Utrecht,Sparta Rotterdam,4,0,1.61,3.8,5.75,1.07,9.25,1.29,3.45,1.83,1.95,2.95,1.38,5.5,1.15,1.91,1.87
1267146,Netherlands Eredivisie,2021/2022,2021-08-15 11:45:00,1,Willem II,Feyenoord,0,4,3.46,3.59,1.88,1.05,13.0,1.22,4.15,1.52,2.35,2.29,1.55,4.25,1.22,1.77,2.0
1267147,Netherlands Eredivisie,2021/2022,2021-08-20 15:00:00,2,NEC,PEC Zwolle,2,0,2.42,3.37,2.56,1.05,11.0,1.26,4.0,1.7,2.0,3.0,1.4,5.5,1.16,1.62,2.3
