Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2777427,Netherlands Tweede Divisie,2022/2023,2022-08-20 09:30:00,1,HHC,Noordwijk,1,0,1.8,3.6,3.6,0.0,0.0,0.0,0.0,1.57,2.35,2.38,1.53,0.0,0.0,0.0,0.0
2777428,Netherlands Tweede Divisie,2022/2023,2022-08-20 10:00:00,1,Rijnsburgse Boys,Scheveningen,0,0,1.6,3.8,4.33,1.01,17.0,1.17,4.5,1.65,2.2,2.4,1.5,4.3,1.18,1.63,2.22
2777429,Netherlands Tweede Divisie,2022/2023,2022-08-20 10:00:00,1,Kozakken Boys,Excelsior Maassluis,3,0,1.6,4.0,4.2,1.02,15.0,1.16,4.6,1.57,2.35,2.3,1.55,3.84,1.22,1.67,2.14
2777431,Netherlands Tweede Divisie,2022/2023,2022-08-20 10:00:00,1,IJsselmeervogels,OFC Oostzaan,3,2,1.44,4.5,5.0,0.0,0.0,0.0,0.0,1.75,2.05,0.0,0.0,0.0,0.0,0.0,0.0
2777430,Netherlands Tweede Divisie,2022/2023,2022-08-20 10:30:00,1,Katwijk,Volendam II,7,0,1.44,4.5,5.0,1.01,19.0,1.14,4.9,1.4,2.88,2.15,1.63,3.6,1.25,1.6,2.27
2777432,Netherlands Tweede Divisie,2022/2023,2022-08-20 10:30:00,1,Koninklijke HFC,Spakenburg,2,1,1.7,3.8,3.6,1.02,16.0,1.13,5.0,1.53,2.4,2.17,1.62,3.74,1.23,1.55,2.38
2777433,Netherlands Tweede Divisie,2022/2023,2022-08-20 10:30:00,1,TEC,Quick Boys,1,3,2.1,3.25,3.0,1.02,16.0,1.18,4.3,1.65,2.2,2.45,1.48,4.3,1.18,1.57,2.34
2777426,Netherlands Tweede Divisie,2022/2023,2022-08-20 12:00:00,1,Sparta Rotterdam II,Lisse,1,1,1.53,4.0,4.75,0.0,0.0,0.0,0.0,1.57,2.35,2.25,1.57,0.0,0.0,0.0,0.0
2777434,Netherlands Tweede Divisie,2022/2023,2022-08-20 13:00:00,1,De Treffers,AFC,2,1,2.8,3.2,2.25,0.0,0.0,1.18,4.2,1.67,2.15,2.5,1.47,4.5,1.17,1.56,2.36
2777440,Netherlands Tweede Divisie,2022/2023,2022-08-27 09:30:00,2,Excelsior Maassluis,De Treffers,0,2,2.25,3.25,2.75,1.01,11.0,1.15,4.45,1.62,2.25,2.4,1.5,4.1,1.18,1.45,2.5
2777438,Netherlands Tweede Divisie,2022/2023,2022-08-27 09:30:00,2,Quick Boys,Rijnsburgse Boys,4,0,2.88,3.75,2.0,0.0,0.0,1.12,4.9,1.53,2.4,2.25,1.57,3.75,1.21,1.44,2.55
2777435,Netherlands Tweede Divisie,2022/2023,2022-08-27 09:30:00,2,Lisse,Kozakken Boys,4,0,2.2,3.2,2.88,0.0,0.0,0.0,0.0,1.57,2.35,2.4,1.5,0.0,0.0,0.0,0.0
2777436,Netherlands Tweede Divisie,2022/2023,2022-08-27 09:30:00,2,Noordwijk,Katwijk,1,1,3.2,3.6,1.91,1.01,12.0,1.15,4.45,1.62,2.25,2.45,1.47,4.05,1.18,1.52,2.35
2777437,Netherlands Tweede Divisie,2022/2023,2022-08-27 09:30:00,2,Scheveningen,HHC,0,2,2.5,3.6,2.3,0.0,0.0,0.0,0.0,1.65,2.2,0.0,0.0,0.0,0.0,0.0,0.0
2777439,Netherlands Tweede Divisie,2022/2023,2022-08-27 10:00:00,2,Spakenburg,Sparta Rotterdam II,0,1,2.25,3.4,2.7,0.0,0.0,1.15,5.1,1.52,2.38,2.25,1.57,0.0,0.0,1.42,2.63
2777443,Netherlands Tweede Divisie,2022/2023,2022-08-27 10:00:00,2,OFC Oostzaan,TEC,2,2,2.38,3.6,2.4,0.0,0.0,0.0,0.0,1.53,2.4,2.28,1.57,0.0,0.0,0.0,0.0
2777441,Netherlands Tweede Divisie,2022/2023,2022-08-27 10:00:00,2,Volendam II,Koninklijke HFC,1,0,2.88,3.75,2.0,1.02,18.0,1.09,6.0,1.4,2.88,1.98,1.83,3.05,1.31,1.36,2.8
2777442,Netherlands Tweede Divisie,2022/2023,2022-08-27 10:00:00,2,AFC,IJsselmeervogels,3,0,1.73,3.6,3.8,1.01,15.0,1.13,4.8,1.53,2.4,2.25,1.57,3.75,1.21,1.52,2.3
2777446,Netherlands Tweede Divisie,2022/2023,2022-09-03 09:30:00,3,HHC,Quick Boys,4,0,1.5,4.25,5.0,0.0,0.0,0.0,0.0,1.5,2.5,2.28,1.57,0.0,0.0,0.0,0.0
2777445,Netherlands Tweede Divisie,2022/2023,2022-09-03 09:30:00,3,Lisse,Excelsior Maassluis,1,1,1.67,3.75,4.0,0.0,0.0,0.0,0.0,1.5,2.5,2.15,1.61,0.0,0.0,0.0,0.0
2777447,Netherlands Tweede Divisie,2022/2023,2022-09-03 10:00:00,3,Rijnsburgse Boys,OFC Oostzaan,3,0,1.91,3.5,3.25,0.0,0.0,0.0,0.0,1.53,2.4,2.2,1.6,0.0,0.0,0.0,0.0
2777448,Netherlands Tweede Divisie,2022/2023,2022-09-03 10:00:00,3,Kozakken Boys,Spakenburg,5,5,2.63,3.4,2.3,0.0,0.0,1.13,5.1,1.5,2.5,2.15,1.62,3.74,1.23,1.5,2.51
2777449,Netherlands Tweede Divisie,2022/2023,2022-09-03 10:00:00,3,IJsselmeervogels,De Treffers,1,3,2.4,3.2,2.6,1.03,9.0,1.22,3.9,1.8,2.0,2.75,1.4,5.2,1.13,1.64,2.2
2777450,Netherlands Tweede Divisie,2022/2023,2022-09-03 10:30:00,3,Katwijk,Scheveningen,1,0,1.5,4.0,5.0,0.0,0.0,1.15,4.8,1.53,2.4,2.25,1.57,3.9,1.2,1.67,2.14
2777451,Netherlands Tweede Divisie,2022/2023,2022-09-03 10:30:00,3,Koninklijke HFC,Noordwijk,0,1,2.1,3.25,3.0,1.03,9.0,1.2,4.04,1.73,2.08,2.6,1.43,4.9,1.14,1.61,2.25
2777444,Netherlands Tweede Divisie,2022/2023,2022-09-03 12:00:00,3,Sparta Rotterdam II,Volendam II,1,1,1.57,4.0,4.5,0.0,0.0,1.13,5.1,1.4,2.88,2.03,1.7,3.34,1.28,1.58,2.32
2777452,Netherlands Tweede Divisie,2022/2023,2022-09-04 09:30:00,3,TEC,AFC,2,2,3.75,3.75,1.73,0.0,0.0,1.12,5.3,1.4,2.88,2.05,1.67,3.75,1.24,1.41,2.7
2777475,Netherlands Tweede Divisie,2022/2023,2022-09-06 15:00:00,6,IJsselmeervogels,Rijnsburgse Boys,0,3,3.0,3.75,2.0,0.0,16.0,1.16,4.5,1.65,2.2,2.4,1.5,4.4,1.17,1.58,2.32
2777479,Netherlands Tweede Divisie,2022/2023,2022-09-06 15:00:00,6,Scheveningen,Kozakken Boys,2,1,2.6,3.6,2.2,1.02,14.0,1.21,3.8,1.7,2.1,2.59,1.4,4.54,1.15,1.53,2.44
2777478,Netherlands Tweede Divisie,2022/2023,2022-09-06 15:00:00,6,Quick Boys,Sparta Rotterdam II,3,0,2.5,3.25,2.5,1.02,16.0,1.16,4.6,1.53,2.4,2.39,1.5,4.2,1.19,1.52,2.47
2777477,Netherlands Tweede Divisie,2022/2023,2022-09-06 15:00:00,6,Noordwijk,Lisse,1,2,1.91,3.75,3.1,0.0,0.0,0.0,0.0,1.57,2.35,2.38,1.53,0.0,0.0,0.0,0.0
2777473,Netherlands Tweede Divisie,2022/2023,2022-09-07 15:00:00,6,Excelsior Maassluis,TEC,3,0,2.0,3.5,3.0,1.02,14.0,1.15,4.54,1.6,2.3,2.24,1.55,3.8,1.21,1.47,2.45
2777474,Netherlands Tweede Divisie,2022/2023,2022-09-07 15:00:00,6,OFC Oostzaan,Koninklijke HFC,2,1,2.7,3.75,2.1,0.0,0.0,0.0,0.0,1.57,2.35,2.3,1.57,0.0,0.0,0.0,0.0
2777476,Netherlands Tweede Divisie,2022/2023,2022-09-07 15:00:00,6,Volendam II,Spakenburg,1,3,2.7,3.75,2.1,1.01,19.0,1.14,5.1,1.5,2.5,2.38,1.52,3.6,1.25,1.34,2.95
2777471,Netherlands Tweede Divisie,2022/2023,2022-09-07 15:00:00,6,AFC,Katwijk,1,0,2.75,3.3,2.25,1.02,16.0,1.16,4.4,1.57,2.35,2.3,1.52,3.9,1.2,1.5,2.51
2777472,Netherlands Tweede Divisie,2022/2023,2022-09-07 15:00:00,6,De Treffers,HHC,5,2,2.75,3.25,2.25,0.0,0.0,0.0,0.0,1.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0
2777457,Netherlands Tweede Divisie,2022/2023,2022-09-10 09:00:00,4,Quick Boys,Katwijk,1,3,3.4,3.6,1.91,1.02,15.0,1.17,4.5,1.62,2.25,2.4,1.5,4.14,1.19,1.55,2.38
2777454,Netherlands Tweede Divisie,2022/2023,2022-09-10 09:30:00,4,Noordwijk,Sparta Rotterdam II,3,0,2.1,3.3,2.9,1.03,13.0,1.16,4.5,1.62,2.25,2.4,1.5,4.14,1.19,1.53,2.43
2777453,Netherlands Tweede Divisie,2022/2023,2022-09-10 09:30:00,4,Excelsior Maassluis,IJsselmeervogels,2,2,2.3,3.6,2.6,1.02,15.0,1.17,4.5,1.62,2.25,2.4,1.5,4.14,1.19,1.55,2.38
2777455,Netherlands Tweede Divisie,2022/2023,2022-09-10 09:30:00,4,Scheveningen,Koninklijke HFC,0,4,3.0,3.25,2.2,1.03,14.0,1.2,3.9,1.73,2.08,2.75,1.4,5.1,1.13,1.6,2.27
2777459,Netherlands Tweede Divisie,2022/2023,2022-09-10 10:00:00,4,Volendam II,Kozakken Boys,0,1,3.25,3.6,1.91,1.01,17.0,1.15,4.7,1.5,2.5,2.12,1.64,3.5,1.25,1.5,2.51
2777460,Netherlands Tweede Divisie,2022/2023,2022-09-10 10:00:00,4,AFC,Rijnsburgse Boys,2,0,2.05,3.5,3.1,1.02,14.0,1.15,4.7,1.57,2.35,2.3,1.55,4.04,1.2,1.5,2.51
2777458,Netherlands Tweede Divisie,2022/2023,2022-09-10 10:00:00,4,Spakenburg,Lisse,3,1,1.95,3.75,3.2,0.0,0.0,0.0,0.0,1.6,2.3,2.3,1.55,0.0,0.0,0.0,0.0
2777456,Netherlands Tweede Divisie,2022/2023,2022-09-10 10:20:00,4,OFC Oostzaan,HHC,1,5,2.9,3.6,2.1,0.0,0.0,0.0,0.0,1.6,2.3,2.2,1.6,0.0,0.0,0.0,0.0
2777461,Netherlands Tweede Divisie,2022/2023,2022-09-11 09:30:00,4,De Treffers,TEC,2,1,1.8,3.6,3.6,1.03,10.0,1.16,4.8,1.57,2.35,2.5,1.47,4.15,1.19,1.5,2.4
2777487,Netherlands Tweede Divisie,2022/2023,2022-09-17 09:00:00,7,Katwijk,De Treffers,0,0,1.6,4.0,4.0,1.02,15.0,1.16,4.5,1.5,2.5,2.3,1.55,3.9,1.2,1.58,2.32
2777481,Netherlands Tweede Divisie,2022/2023,2022-09-17 09:30:00,7,Lisse,Scheveningen,1,1,2.0,3.6,3.0,0.0,0.0,0.0,0.0,1.67,2.15,0.0,0.0,0.0,0.0,0.0,0.0
2777482,Netherlands Tweede Divisie,2022/2023,2022-09-17 09:30:00,7,HHC,IJsselmeervogels,2,0,1.67,4.0,3.8,0.0,0.0,0.0,0.0,1.53,2.4,2.25,1.57,0.0,0.0,0.0,0.0
2777485,Netherlands Tweede Divisie,2022/2023,2022-09-17 10:00:00,7,Volendam II,Excelsior Maassluis,2,2,2.8,4.0,1.95,1.01,19.0,1.18,4.3,1.48,2.6,2.13,1.64,3.54,1.25,1.52,2.46
2777484,Netherlands Tweede Divisie,2022/2023,2022-09-17 10:00:00,7,Kozakken Boys,Quick Boys,0,1,1.83,3.6,3.4,1.02,15.0,1.16,4.5,1.5,2.5,2.35,1.53,4.14,1.19,1.55,2.38
2777483,Netherlands Tweede Divisie,2022/2023,2022-09-17 10:00:00,7,Spakenburg,Noordwijk,1,0,2.0,3.5,3.0,1.02,14.0,1.2,4.0,1.57,2.35,2.3,1.55,3.94,1.2,1.54,2.41
2777488,Netherlands Tweede Divisie,2022/2023,2022-09-17 10:30:00,7,Koninklijke HFC,AFC,0,0,2.3,3.75,2.45,1.02,15.0,1.15,4.7,1.6,2.3,2.35,1.53,4.3,1.18,1.53,2.43
2777486,Netherlands Tweede Divisie,2022/2023,2022-09-17 10:30:00,7,Rijnsburgse Boys,TEC,0,1,1.57,4.0,4.33,1.02,17.0,1.14,4.9,1.5,2.5,2.15,1.62,3.6,1.25,1.6,2.27
2777480,Netherlands Tweede Divisie,2022/2023,2022-09-17 12:00:00,7,Sparta Rotterdam II,OFC Oostzaan,6,0,1.62,4.0,4.0,0.0,0.0,0.0,0.0,1.57,2.35,2.3,1.57,0.0,0.0,0.0,0.0
2777491,Netherlands Tweede Divisie,2022/2023,2022-09-24 09:30:00,8,Scheveningen,Spakenburg,1,1,2.2,3.6,2.63,1.01,12.0,1.16,4.5,1.6,2.3,2.4,1.5,4.14,1.19,1.55,2.38
2777490,Netherlands Tweede Divisie,2022/2023,2022-09-24 09:30:00,8,Noordwijk,Volendam II,3,2,1.67,4.0,3.8,1.01,12.0,1.14,4.9,1.48,2.6,2.1,1.65,3.44,1.27,1.6,2.27
2777489,Netherlands Tweede Divisie,2022/2023,2022-09-24 09:30:00,8,Excelsior Maassluis,Rijnsburgse Boys,3,1,2.5,3.75,2.25,1.02,15.0,1.15,4.8,1.57,2.35,2.3,1.55,4.2,1.18,1.5,2.51
2777497,Netherlands Tweede Divisie,2022/2023,2022-09-24 10:00:00,8,AFC,Sparta Rotterdam II,2,1,1.83,3.8,3.3,1.01,12.0,1.16,4.5,1.53,2.4,2.35,1.53,4.2,1.18,1.53,2.43
2777492,Netherlands Tweede Divisie,2022/2023,2022-09-24 10:00:00,8,OFC Oostzaan,Kozakken Boys,2,4,2.88,3.8,2.0,1.02,15.0,1.19,4.14,1.5,2.5,2.3,1.55,3.94,1.2,1.57,2.34
2777494,Netherlands Tweede Divisie,2022/2023,2022-09-24 10:00:00,8,IJsselmeervogels,Katwijk,0,0,3.75,3.75,1.73,1.01,11.0,1.16,4.5,1.6,2.3,2.35,1.52,4.14,1.19,1.56,2.36
2777493,Netherlands Tweede Divisie,2022/2023,2022-09-24 10:00:00,8,Quick Boys,Lisse,3,1,2.0,3.8,2.88,0.0,0.0,0.0,0.0,1.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0
2777495,Netherlands Tweede Divisie,2022/2023,2022-09-24 10:30:00,8,TEC,HHC,0,2,3.1,3.75,1.91,0.0,0.0,0.0,0.0,1.57,2.35,0.0,0.0,0.0,0.0,0.0,0.0
2777496,Netherlands Tweede Divisie,2022/2023,2022-09-24 13:00:00,8,De Treffers,Koninklijke HFC,2,3,2.3,3.6,2.5,1.02,15.0,1.19,4.25,1.73,2.08,2.6,1.43,4.55,1.17,1.57,2.34
2777504,Netherlands Tweede Divisie,2022/2023,2022-10-01 09:30:00,9,Lisse,OFC Oostzaan,2,1,1.5,4.2,4.75,0.0,0.0,0.0,0.0,1.48,2.6,2.1,1.66,0.0,0.0,0.0,0.0
2777500,Netherlands Tweede Divisie,2022/2023,2022-10-01 09:30:00,9,HHC,Rijnsburgse Boys,1,6,1.6,4.0,4.2,0.0,0.0,0.0,0.0,1.53,2.4,2.33,1.54,0.0,0.0,0.0,0.0
2777499,Netherlands Tweede Divisie,2022/2023,2022-10-01 09:30:00,9,Noordwijk,Excelsior Maassluis,1,1,1.62,4.2,4.0,1.02,16.0,1.17,4.4,1.6,2.3,2.47,1.48,4.4,1.17,1.62,2.23
2777503,Netherlands Tweede Divisie,2022/2023,2022-10-01 10:00:00,9,Volendam II,Scheveningen,0,1,2.7,3.5,2.2,1.02,16.0,1.17,4.4,1.6,2.3,2.47,1.48,4.4,1.17,1.51,2.48
2777502,Netherlands Tweede Divisie,2022/2023,2022-10-01 10:00:00,9,Kozakken Boys,AFC,1,0,2.3,3.6,2.5,1.02,14.0,1.16,4.6,1.57,2.35,2.4,1.51,4.2,1.19,1.5,2.51
