Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
4869371,Norway Eliteserien,2023,2023-04-10 09:30:00,1,Rosenborg,Viking,1,0,1.9,3.35,3.3,1.04,13.0,1.21,3.82,1.72,2.0,2.13,1.71,4.85,1.13,1.67,2.1
4869372,Norway Eliteserien,2023,2023-04-10 12:00:00,1,Aalesund,Vålerenga,0,1,2.7,3.5,2.35,1.01,13.0,1.23,3.75,1.71,2.04,2.7,1.4,4.8,1.15,1.62,2.2
4869373,Norway Eliteserien,2023,2023-04-10 12:00:00,1,HamKam,Sandefjord,2,0,1.8,3.65,3.95,1.05,8.0,1.3,3.6,1.86,1.87,2.85,1.37,5.0,1.13,1.75,2.0
4869375,Norway Eliteserien,2023,2023-04-10 12:00:00,1,Sarpsborg 08,FK Bodo - Glimt,0,2,3.5,3.85,1.85,1.02,13.5,1.16,4.75,1.57,2.28,2.25,1.65,3.8,1.23,1.53,2.38
4869376,Norway Eliteserien,2023,2023-04-10 12:00:00,1,Stabæk,Odd,0,0,2.5,3.5,2.5,1.04,12.0,1.28,3.75,1.86,1.86,3.2,1.36,6.0,1.13,1.67,2.1
4869377,Norway Eliteserien,2023,2023-04-10 12:00:00,1,Tromsø,Molde,1,0,3.15,3.65,2.05,1.03,15.0,1.15,4.3,1.62,2.18,2.3,1.54,4.35,1.15,1.62,2.2
4869378,Norway Eliteserien,2023,2023-04-10 14:15:00,1,Brann,Haugesund,3,0,1.75,3.75,4.15,1.03,12.0,1.18,4.33,1.68,2.08,2.33,1.53,4.6,1.2,1.8,1.95
4869379,Norway Eliteserien,2023,2023-04-15 13:00:00,2,Viking,Lillestrøm,2,0,2.45,3.6,2.85,1.02,9.5,1.22,3.7,1.85,1.96,2.8,1.37,5.0,1.13,1.63,2.2
4869380,Norway Eliteserien,2023,2023-04-16 12:00:00,2,FK Bodo - Glimt,Stabæk,4,0,1.28,5.7,8.1,1.01,26.0,1.12,6.5,1.35,2.94,2.05,1.61,3.4,1.33,1.8,1.91
4869381,Norway Eliteserien,2023,2023-04-16 12:00:00,2,Haugesund,HamKam,3,2,2.03,3.5,3.3,1.06,8.0,1.3,3.2,1.98,1.9,3.2,1.3,5.75,1.1,1.78,1.99
4869382,Norway Eliteserien,2023,2023-04-16 12:00:00,2,Molde,Rosenborg,1,1,1.85,3.5,3.95,1.03,11.0,1.18,4.33,1.6,2.1,2.38,1.51,4.0,1.2,1.65,2.1
4869383,Norway Eliteserien,2023,2023-04-16 12:00:00,2,Odd,Brann,2,0,4.3,3.7,1.73,1.03,15.0,1.22,4.33,1.61,2.05,2.75,1.45,5.0,1.18,1.67,2.1
4869384,Norway Eliteserien,2023,2023-04-16 12:00:00,2,Sandefjord,Tromsø,0,0,3.25,3.5,2.05,1.04,12.0,1.28,3.75,1.88,2.0,3.2,1.36,6.0,1.13,1.68,2.15
4869385,Norway Eliteserien,2023,2023-04-16 12:00:00,2,Strømsgodset,Aalesund,1,0,2.03,3.5,3.35,1.05,12.5,1.25,3.6,1.88,2.0,2.9,1.36,5.25,1.13,1.65,2.1
4869386,Norway Eliteserien,2023,2023-04-16 14:15:00,2,Vålerenga,Sarpsborg 08,0,2,2.0,3.5,3.2,1.03,12.0,1.19,4.2,1.53,2.25,2.45,1.47,4.33,1.19,1.55,2.25
4869374,Norway Eliteserien,2023,2023-04-19 13:30:00,1,Lillestrøm,Strømsgodset,4,3,1.57,4.3,4.64,1.03,17.0,1.2,4.5,1.58,2.23,2.4,1.57,4.75,1.19,1.7,2.05
4869387,Norway Eliteserien,2023,2023-04-22 13:00:00,3,Brann,Vålerenga,3,1,1.53,4.3,5.75,1.03,11.0,1.22,4.0,1.62,2.15,2.27,1.56,4.33,1.2,1.68,2.0
4869388,Norway Eliteserien,2023,2023-04-23 12:00:00,3,Aalesund,FK Bodo - Glimt,0,3,4.2,3.71,1.53,1.02,12.0,1.18,4.33,1.58,2.38,2.5,1.46,4.33,1.18,1.8,1.99
4869389,Norway Eliteserien,2023,2023-04-23 12:00:00,3,HamKam,Strømsgodset,2,0,1.99,3.12,2.97,1.02,9.5,1.22,3.7,1.77,2.06,2.8,1.37,4.7,1.15,1.65,2.21
4869390,Norway Eliteserien,2023,2023-04-23 12:00:00,3,Rosenborg,Sandefjord,1,1,1.3,4.34,6.31,1.02,12.0,1.15,4.75,1.65,2.25,2.38,1.58,3.8,1.22,1.83,1.95
4869391,Norway Eliteserien,2023,2023-04-23 12:00:00,3,Sarpsborg 08,Odd,0,0,1.79,3.29,3.37,1.03,11.0,1.2,4.33,1.62,2.3,2.38,1.53,4.0,1.22,1.5,2.4
