Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5052964,Peru Primera División,2023,2023-02-03 17:30:00,3,Real Garcilaso,Sport Huancayo,0,3,2.12,3.04,3.14,0.0,0.0,0.0,0.0,1.86,1.86,0.0,0.0,0.0,0.0,1.73,2.0
5052968,Peru Primera División,2023,2023-02-04 15:00:00,3,Atlético Grau,Melgar,3,0,3.6,3.1,2.0,1.04,12.0,1.28,3.6,1.81,2.01,3.1,1.36,6.0,1.12,1.7,2.1
5052965,Peru Primera División,2023,2023-02-04 17:30:00,3,UTC Cajamarca,Cienciano,3,0,2.36,3.14,2.87,1.04,11.0,1.22,4.2,1.85,1.96,2.75,1.42,4.75,1.16,1.6,2.15
5052969,Peru Primera División,2023,2023-02-04 17:30:00,3,Universitario,Academia Cantolao,4,0,1.43,4.47,7.11,1.03,13.0,1.25,3.75,1.77,1.97,3.1,1.38,5.5,1.14,1.93,1.77
5052966,Peru Primera División,2023,2023-02-04 21:30:00,3,Deportivo Garcilaso,Deportivo Binacional,3,0,2.06,3.25,3.2,1.04,12.0,1.3,3.5,1.91,1.91,3.3,1.33,6.5,1.11,1.75,2.05
5052972,Peru Primera División,2023,2023-02-05 12:00:00,3,Sporting Cristal,Alianza Lima,3,0,2.37,3.1,2.65,1.05,11.0,1.33,3.3,1.91,1.8,3.6,1.3,6.5,1.1,1.78,2.0
5052971,Peru Primera División,2023,2023-02-06 15:00:00,3,Sport Boys,Unión Comercio,2,1,1.94,3.2,3.49,1.05,10.0,1.3,3.5,1.86,1.86,3.3,1.33,6.0,1.12,1.75,2.05
5052967,Peru Primera División,2023,2023-02-06 17:30:00,3,César Vallejo,Alianza Atlético,2,2,1.69,3.54,4.13,1.03,13.0,1.22,4.2,1.7,2.05,2.8,1.44,5.0,1.16,1.68,2.15
5052970,Peru Primera División,2023,2023-02-07 15:00:00,3,Deportivo Municipal,Carlos Manucci,0,3,2.3,3.2,2.9,1.05,10.0,1.36,3.2,2.05,1.75,3.75,1.25,7.5,1.08,1.87,1.9
5052980,Peru Primera División,2023,2023-02-10 21:00:00,4,Cienciano,Real Garcilaso,2,0,1.74,3.39,4.07,0.0,0.0,0.0,0.0,1.6,2.2,0.0,0.0,0.0,0.0,1.73,2.0
