Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2313383,Poland Ekstraklasa,2022/2023,2022-07-15 13:00:00,1,Raków Częstochowa,Warta Poznań,1,0,1.44,3.8,6.5,1.06,8.0,1.3,3.3,1.91,1.8,3.5,1.28,6.0,1.11,2.1,1.67
2313377,Poland Ekstraklasa,2022/2023,2022-07-15 15:30:00,1,Zagłębie Lubin,Śląsk Wrocław,0,0,2.35,3.1,2.7,1.06,8.0,1.28,3.5,1.83,1.87,3.2,1.33,5.5,1.12,1.7,2.05
2313379,Poland Ekstraklasa,2022/2023,2022-07-16 10:00:00,1,Lech Poznań,Stal Mielec,0,2,1.3,5.2,8.4,1.04,10.0,1.2,4.33,1.62,2.16,2.65,1.45,4.5,1.17,2.1,1.67
2313376,Poland Ekstraklasa,2022/2023,2022-07-16 12:30:00,1,Jagiellonia Białystok,Piast Gliwice,2,0,2.75,3.3,2.5,1.06,8.0,1.33,3.2,2.0,1.85,3.6,1.28,6.0,1.11,1.75,2.0
2313378,Poland Ekstraklasa,2022/2023,2022-07-16 15:00:00,1,Korona Kielce,Legia Warszawa,1,1,3.5,3.3,2.1,1.06,8.0,1.33,3.2,1.9,1.95,3.6,1.28,6.0,1.11,1.8,1.95
2313382,Poland Ekstraklasa,2022/2023,2022-07-17 07:30:00,1,Radomiak Radom,Miedź Legnica,1,1,2.23,3.2,3.2,1.06,8.0,1.33,3.2,2.05,1.77,3.6,1.28,6.5,1.1,1.91,1.91
2313384,Poland Ekstraklasa,2022/2023,2022-07-17 10:00:00,1,Wisła Płock,Lechia Gdańsk,3,0,2.85,3.2,2.43,1.06,8.0,1.3,3.3,1.9,1.9,3.4,1.3,6.0,1.11,1.7,2.05
2313381,Poland Ekstraklasa,2022/2023,2022-07-17 12:30:00,1,Pogoń Szczecin,Widzew Łódź,2,1,1.59,3.98,5.47,1.05,9.0,1.25,3.6,1.87,1.93,3.2,1.33,5.5,1.12,1.95,1.8
2313380,Poland Ekstraklasa,2022/2023,2022-07-18 14:00:00,1,Górnik Zabrze,Cracovia Kraków,0,2,2.3,3.3,3.0,1.07,7.5,1.33,3.2,1.98,1.88,3.5,1.28,6.5,1.1,1.8,1.95
2313392,Poland Ekstraklasa,2022/2023,2022-07-22 13:00:00,2,Warta Poznań,Wisła Płock,0,4,2.16,3.25,3.3,1.08,8.65,1.41,2.95,2.06,1.8,4.13,1.24,8.4,1.07,1.9,1.8
2313387,Poland Ekstraklasa,2022/2023,2022-07-22 15:30:00,2,Jagiellonia Białystok,Widzew Łódź,0,2,2.04,3.65,3.15,1.05,8.75,1.28,3.2,1.96,1.9,3.1,1.3,5.75,1.1,1.77,1.95
2313385,Poland Ekstraklasa,2022/2023,2022-07-23 12:30:00,2,Cracovia Kraków,Korona Kielce,2,0,1.65,3.85,4.9,1.06,11.25,1.32,3.43,1.88,1.82,3.43,1.32,6.65,1.11,1.93,1.78
2313389,Poland Ekstraklasa,2022/2023,2022-07-23 15:00:00,2,Legia Warszawa,Zagłębie Lubin,2,0,1.8,3.65,4.16,1.05,9.0,1.3,3.4,1.84,1.86,3.25,1.33,5.5,1.12,1.8,1.91
2313393,Poland Ekstraklasa,2022/2023,2022-07-24 12:30:00,2,Śląsk Wrocław,Pogoń Szczecin,2,1,3.2,3.45,2.11,1.06,8.0,1.33,3.25,2.04,1.86,3.4,1.3,6.5,1.1,1.8,1.91
2313391,Poland Ekstraklasa,2022/2023,2022-07-25 14:00:00,2,Stal Mielec,Radomiak Radom,1,1,2.55,3.2,2.75,1.06,8.0,1.33,3.2,2.07,1.83,3.6,1.28,6.0,1.11,1.75,2.0
2313395,Poland Ekstraklasa,2022/2023,2022-07-29 13:00:00,3,Piast Gliwice,Zagłębie Lubin,0,1,1.91,3.5,3.8,1.06,8.0,1.33,3.2,1.87,1.81,3.5,1.28,6.0,1.11,1.75,2.0
