Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1301348,Portugal Liga NOS,2021/2022,2021-08-06 16:15:00,1,Sporting CP,FC Vizela,3,0,1.24,6.25,12.0,1.04,14.0,1.24,4.05,1.62,2.25,2.55,1.49,4.55,1.19,2.25,1.62
1301356,Portugal Liga NOS,2021/2022,2021-08-07 08:45:00,1,FC Arouca,GD Estoril Praia,0,2,2.25,3.1,3.35,1.13,6.0,1.51,2.45,2.45,1.54,4.35,1.21,8.75,1.08,2.15,1.67
1301352,Portugal Liga NOS,2021/2022,2021-08-07 14:00:00,1,Moreirense FC,Benfica,1,2,7.0,4.75,1.4,1.06,11.0,1.27,3.65,1.71,2.1,2.8,1.43,5.0,1.17,2.05,1.77
1301355,Portugal Liga NOS,2021/2022,2021-08-07 16:30:00,1,CS Marítimo,Sporting Braga,0,2,4.6,3.35,1.8,1.11,7.0,1.43,2.75,2.2,1.65,3.85,1.25,7.75,1.09,2.1,1.71
1301351,Portugal Liga NOS,2021/2022,2021-08-08 11:30:00,1,Vitória Guimarães,Portimonense,0,1,2.02,3.2,3.85,1.11,7.0,1.42,2.8,2.15,1.62,3.9,1.25,7.5,1.1,2.1,1.71
1301354,Portugal Liga NOS,2021/2022,2021-08-08 11:30:00,1,CD Tondela,Santa Clara,3,0,3.05,3.1,2.38,1.11,6.75,1.38,2.95,2.1,1.65,3.65,1.27,7.0,1.11,1.95,1.83
1301349,Portugal Liga NOS,2021/2022,2021-08-08 14:00:00,1,Porto,Belenenses,2,0,1.16,8.25,16.0,1.03,17.0,1.18,4.85,1.51,2.45,2.3,1.59,4.05,1.24,2.4,1.56
1301350,Portugal Liga NOS,2021/2022,2021-08-08 16:30:00,1,Paços de Ferreira,Famalicão,2,0,2.6,3.0,2.85,1.15,5.5,1.57,2.35,2.55,1.5,4.6,1.19,10.0,1.06,2.25,1.61
1301353,Portugal Liga NOS,2021/2022,2021-08-09 16:15:00,1,Gil Vicente,Boavista FC,3,0,1.87,3.1,4.7,1.14,5.75,1.54,2.4,2.5,1.51,4.4,1.2,8.75,1.08,2.2,1.65
1301364,Portugal Liga NOS,2021/2022,2021-08-13 16:15:00,2,GD Estoril Praia,Vitória Guimarães,0,0,2.9,3.0,2.55,1.11,6.75,1.43,2.75,2.15,1.67,3.95,1.25,7.0,1.11,1.91,1.87
1301365,Portugal Liga NOS,2021/2022,2021-08-14 11:30:00,2,FC Vizela,CD Tondela,2,1,2.35,3.2,3.0,1.09,8.25,1.47,2.65,2.4,1.5,3.15,1.34,6.0,1.14,1.8,2.0
1301357,Portugal Liga NOS,2021/2022,2021-08-14 14:00:00,2,Benfica,FC Arouca,2,0,1.21,6.5,14.0,1.04,13.0,1.22,4.15,1.62,2.25,2.55,1.49,4.55,1.2,2.35,1.57
1301358,Portugal Liga NOS,2021/2022,2021-08-14 16:30:00,2,Sporting Braga,Sporting CP,1,2,2.95,3.05,2.45,1.11,7.0,1.42,2.8,2.1,1.69,3.55,1.29,6.75,1.11,1.87,1.91
1301363,Portugal Liga NOS,2021/2022,2021-08-15 11:30:00,2,Portimonense,Gil Vicente,0,1,2.31,3.07,2.93,1.14,5.75,1.47,2.6,2.39,1.51,4.4,1.21,9.0,1.08,2.1,1.71
1301360,Portugal Liga NOS,2021/2022,2021-08-15 14:00:00,2,Famalicão,Porto,1,2,7.5,4.75,1.39,1.05,11.0,1.26,3.8,1.67,2.15,2.7,1.44,4.8,1.18,1.95,1.8
1301359,Portugal Liga NOS,2021/2022,2021-08-15 16:30:00,2,Santa Clara,Moreirense FC,2,2,2.15,3.25,3.4,1.1,7.0,1.43,2.75,2.2,1.67,3.75,1.26,7.25,1.1,2.0,1.8
1301362,Portugal Liga NOS,2021/2022,2021-08-16 15:00:00,2,Boavista FC,Paços de Ferreira,3,0,2.82,3.05,2.52,1.13,6.0,1.47,2.65,2.45,1.48,4.25,1.22,8.5,1.08,2.15,1.69
1301361,Portugal Liga NOS,2021/2022,2021-08-16 17:15:00,2,Belenenses,CS Marítimo,1,2,2.8,2.85,2.75,1.17,5.25,1.65,2.2,2.75,1.43,5.25,1.16,11.0,1.06,2.35,1.57
