Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2812230,Portugal LigaPro,2022/2023,2022-08-06 07:00:00,1,Farense,Torreense,2,1,1.8,3.13,3.51,1.03,8.2,1.34,3.1,2.1,1.73,3.62,1.26,6.85,1.06,1.91,1.8
2812223,Portugal LigaPro,2022/2023,2022-08-06 10:00:00,1,UD Oliveirense,CD Mafra,3,1,3.05,3.17,2.15,1.06,9.5,1.36,2.95,2.13,1.66,3.9,1.23,8.25,1.08,1.91,1.8
2812229,Portugal LigaPro,2022/2023,2022-08-06 10:00:00,1,CD Nacional,CD Tondela,0,1,2.48,3.39,2.98,1.03,8.4,1.33,3.14,1.99,1.79,3.54,1.27,6.6,1.06,1.83,1.83
2812227,Portugal LigaPro,2022/2023,2022-08-06 11:30:00,1,CD Trofense,Belenenses,3,2,2.5,3.2,2.45,0.0,0.0,0.0,0.0,2.1,1.7,0.0,0.0,0.0,0.0,1.83,1.83
2812228,Portugal LigaPro,2022/2023,2022-08-06 14:00:00,1,Benfica II,Academico Viseu,1,1,2.1,3.35,3.07,1.05,9.25,1.3,3.3,1.85,1.85,3.4,1.3,5.75,1.11,1.73,2.0
2812224,Portugal LigaPro,2022/2023,2022-08-07 07:00:00,1,CD Feirense,Estrela Amadora,1,1,1.85,3.3,3.8,1.04,7.5,1.38,2.8,2.18,1.64,3.92,1.21,7.7,1.04,1.91,1.8
2812231,Portugal LigaPro,2022/2023,2022-08-07 11:30:00,1,Moreirense FC,Vilafranquense,1,0,1.6,3.8,5.25,1.05,9.25,1.28,3.5,1.93,1.83,3.3,1.3,6.0,1.11,1.83,1.83
2812225,Portugal LigaPro,2022/2023,2022-08-07 14:00:00,1,Porto II,Sporting Covilhã,0,1,1.95,3.3,3.9,1.03,8.6,1.31,3.14,2.0,1.78,3.4,1.27,6.5,1.06,1.83,1.83
2812226,Portugal LigaPro,2022/2023,2022-08-08 14:00:00,1,FC Penafiel,Leixões,0,0,2.24,3.09,3.39,1.04,7.6,1.37,2.84,2.32,1.57,3.92,1.21,7.5,1.04,2.0,1.73
2812232,Portugal LigaPro,2022/2023,2022-08-12 14:00:00,2,CD Tondela,Benfica II,1,1,2.33,2.94,2.56,1.07,7.5,1.36,3.0,1.9,1.8,3.5,1.29,7.0,1.08,1.81,1.95
2812236,Portugal LigaPro,2022/2023,2022-08-13 07:00:00,2,Sporting Covilhã,CD Feirense,0,2,2.58,3.05,2.6,1.07,7.0,1.38,2.7,2.05,1.64,3.8,1.21,7.75,1.06,1.9,1.8
2812233,Portugal LigaPro,2022/2023,2022-08-13 11:30:00,2,Torreense,CD Nacional,0,2,2.57,3.1,2.58,1.08,7.0,1.36,3.0,2.03,1.7,3.5,1.29,7.0,1.08,1.84,1.92
2812239,Portugal LigaPro,2022/2023,2022-08-13 11:30:00,2,Estrela Amadora,Farense,1,1,2.8,3.25,2.3,1.07,7.5,1.36,3.0,1.98,1.74,3.5,1.29,7.0,1.08,1.8,1.91
2812235,Portugal LigaPro,2022/2023,2022-08-14 07:00:00,2,Academico Viseu,Moreirense FC,1,3,2.95,3.2,2.25,1.06,8.0,1.3,3.3,2.0,1.7,3.3,1.3,5.5,1.12,1.72,2.05
2812234,Portugal LigaPro,2022/2023,2022-08-14 11:30:00,2,Vilafranquense,UD Oliveirense,2,1,1.87,3.2,3.8,1.05,10.75,1.33,3.1,1.9,1.8,3.75,1.25,7.25,1.1,1.8,1.91
2812240,Portugal LigaPro,2022/2023,2022-08-14 11:30:00,2,Belenenses,Porto II,2,3,2.24,3.26,3.25,0.0,0.0,0.0,0.0,1.94,1.85,0.0,0.0,0.0,0.0,1.73,2.0
2812238,Portugal LigaPro,2022/2023,2022-08-15 14:00:00,2,CD Mafra,FC Penafiel,3,0,2.7,2.9,2.45,1.08,7.0,1.4,2.75,2.2,1.6,3.75,1.25,7.0,1.08,1.91,1.8
2812237,Portugal LigaPro,2022/2023,2022-08-15 16:30:00,2,Leixões,CD Trofense,1,0,2.15,3.0,3.1,1.08,7.0,1.36,3.0,2.05,1.67,3.5,1.29,7.0,1.08,1.8,1.91
2812247,Portugal LigaPro,2022/2023,2022-08-17 07:00:00,3,Benfica II,Estrela Amadora,1,2,1.9,3.5,3.65,1.06,8.0,1.29,3.5,1.94,1.94,3.0,1.36,5.5,1.12,1.85,1.85
2812242,Portugal LigaPro,2022/2023,2022-08-19 14:00:00,3,CD Tondela,Sporting Covilhã,1,1,1.55,3.8,5.2,1.07,7.5,1.3,3.3,2.06,1.82,3.5,1.28,6.5,1.1,2.05,1.72
2812248,Portugal LigaPro,2022/2023,2022-08-20 07:00:00,3,Farense,Academico Viseu,2,2,1.71,3.45,4.5,1.07,7.5,1.33,3.1,2.05,1.73,3.75,1.25,6.5,1.1,1.95,1.8
2812249,Portugal LigaPro,2022/2023,2022-08-20 11:30:00,3,Moreirense FC,Torreense,3,0,1.64,3.6,4.7,1.07,7.5,1.33,3.1,2.08,1.7,3.75,1.25,6.5,1.1,2.0,1.73
2812245,Portugal LigaPro,2022/2023,2022-08-20 14:00:00,3,CD Trofense,Vilafranquense,1,3,1.97,3.1,3.7,1.07,7.5,1.33,3.25,2.07,1.71,3.4,1.3,6.5,1.1,1.86,1.9
2812246,Portugal LigaPro,2022/2023,2022-08-21 07:00:00,3,CD Feirense,Leixões,1,1,2.05,3.1,3.3,1.08,7.0,1.4,2.8,2.22,1.61,4.2,1.2,7.5,1.07,1.98,1.75
2812241,Portugal LigaPro,2022/2023,2022-08-21 10:00:00,3,CD Nacional,CD Mafra,0,2,2.05,3.25,3.25,1.07,7.5,1.33,3.2,2.03,1.83,3.6,1.28,7.0,1.08,1.83,1.87
2812243,Portugal LigaPro,2022/2023,2022-08-21 11:30:00,3,Porto II,UD Oliveirense,2,0,1.66,3.5,4.5,1.05,9.75,1.28,3.67,1.84,1.86,3.12,1.36,6.16,1.13,1.83,1.83
2812244,Portugal LigaPro,2022/2023,2022-08-22 14:00:00,3,FC Penafiel,Belenenses,3,3,1.95,3.38,3.95,0.0,0.0,0.0,0.0,2.1,1.65,0.0,0.0,0.0,0.0,1.91,1.8
2812250,Portugal LigaPro,2022/2023,2022-08-26 14:00:00,4,Vilafranquense,CD Feirense,1,0,2.66,3.1,2.5,1.08,7.0,1.36,3.0,2.25,1.62,3.75,1.25,7.5,1.07,1.85,1.85
2812253,Portugal LigaPro,2022/2023,2022-08-27 07:00:00,4,Academico Viseu,CD Tondela,2,2,3.1,3.2,2.1,1.05,9.5,1.35,2.95,2.09,1.69,3.75,1.23,7.75,1.08,1.83,1.83
2812258,Portugal LigaPro,2022/2023,2022-08-27 10:00:00,4,Belenenses,Moreirense FC,2,3,3.85,3.45,2.01,1.08,7.0,1.4,2.7,2.15,1.61,4.0,1.21,8.25,1.06,2.0,1.73
2812257,Portugal LigaPro,2022/2023,2022-08-27 11:30:00,4,Sporting Covilhã,FC Penafiel,0,2,2.9,3.1,2.65,1.06,6.75,1.44,2.57,2.4,1.5,4.55,1.16,8.8,1.02,2.04,1.78
2812255,Portugal LigaPro,2022/2023,2022-08-28 07:00:00,4,Leixões,CD Nacional,3,0,2.4,3.05,2.8,1.08,7.0,1.36,3.0,2.13,1.67,3.75,1.25,7.0,1.08,1.85,1.85
2812251,Portugal LigaPro,2022/2023,2022-08-28 10:00:00,4,Torreense,Benfica II,0,0,2.4,3.1,2.8,1.08,7.0,1.36,3.0,2.1,1.69,3.75,1.25,7.0,1.08,1.85,1.85
2812256,Portugal LigaPro,2022/2023,2022-08-28 11:30:00,4,Estrela Amadora,Porto II,1,1,2.68,3.2,2.42,1.06,8.0,1.33,3.25,2.0,1.73,3.4,1.3,6.5,1.1,1.8,1.91
2812254,Portugal LigaPro,2022/2023,2022-08-28 14:00:00,4,UD Oliveirense,CD Trofense,1,1,2.55,3.0,2.7,1.05,11.0,1.33,3.1,1.95,1.75,3.6,1.25,7.0,1.11,1.73,2.0
2812405,Portugal LigaPro,2022/2023,2022-08-29 14:00:00,4,CD Mafra,Farense,0,3,2.45,3.1,2.75,1.08,7.0,1.38,2.9,2.15,1.61,4.0,1.22,7.5,1.07,1.87,1.87
2812261,Portugal LigaPro,2022/2023,2022-09-03 07:00:00,5,Academico Viseu,Torreense,1,2,2.0,3.2,3.4,1.07,7.5,1.36,2.95,2.2,1.63,4.0,1.22,7.0,1.08,1.87,1.87
2812265,Portugal LigaPro,2022/2023,2022-09-03 07:00:00,5,Benfica II,Leixões,2,1,2.06,3.4,2.95,1.03,13.0,1.25,3.6,1.83,1.97,3.1,1.35,5.75,1.12,1.68,2.1
2812267,Portugal LigaPro,2022/2023,2022-09-03 10:00:00,5,Moreirense FC,UD Oliveirense,4,1,1.42,4.12,5.89,1.03,14.0,1.22,4.0,1.79,1.97,2.95,1.38,5.75,1.13,1.91,1.8
2812263,Portugal LigaPro,2022/2023,2022-09-03 11:30:00,5,Porto II,Vilafranquense,0,1,1.78,3.45,3.7,1.06,8.0,1.29,3.5,1.88,1.92,3.0,1.36,5.5,1.12,1.78,1.93
2812266,Portugal LigaPro,2022/2023,2022-09-04 07:00:00,5,FC Penafiel,CD Trofense,3,0,1.83,3.33,3.72,1.08,7.0,1.4,2.75,2.04,1.73,4.0,1.22,7.5,1.07,2.0,1.73
2812264,Portugal LigaPro,2022/2023,2022-09-04 10:00:00,5,CD Feirense,CD Mafra,0,0,2.3,2.89,2.99,1.08,7.0,1.36,3.0,2.2,1.64,3.75,1.25,7.0,1.08,1.85,1.85
2812260,Portugal LigaPro,2022/2023,2022-09-04 11:30:00,5,Farense,Sporting Covilhã,2,2,1.56,3.61,5.07,1.07,7.5,1.4,2.75,2.07,1.72,3.75,1.25,7.0,1.08,2.05,1.7
2812262,Portugal LigaPro,2022/2023,2022-09-04 11:30:00,5,CD Nacional,Belenenses,1,3,1.77,3.35,3.95,1.06,10.0,1.36,3.0,2.08,1.71,3.75,1.25,8.0,1.09,1.91,1.8
2812259,Portugal LigaPro,2022/2023,2022-09-05 14:00:00,5,CD Tondela,Estrela Amadora,1,1,2.14,3.24,3.26,1.08,7.0,1.36,3.0,2.2,1.6,3.75,1.25,7.0,1.08,1.91,1.8
2812272,Portugal LigaPro,2022/2023,2022-09-09 14:00:00,6,UD Oliveirense,FC Penafiel,1,1,2.53,3.31,2.98,0.0,0.0,0.0,0.0,2.1,1.7,0.0,0.0,0.0,0.0,1.83,1.83
2812269,Portugal LigaPro,2022/2023,2022-09-10 07:00:00,6,Vilafranquense,Benfica II,3,2,2.15,2.95,2.81,1.06,8.0,1.33,3.25,1.96,1.92,3.4,1.3,6.0,1.11,1.73,2.0
2812273,Portugal LigaPro,2022/2023,2022-09-10 11:30:00,6,CD Mafra,Porto II,0,1,2.31,3.3,2.6,1.06,8.0,1.3,3.3,1.97,1.83,3.5,1.28,6.0,1.11,1.73,2.0
2812275,Portugal LigaPro,2022/2023,2022-09-11 07:00:00,6,Sporting Covilhã,CD Nacional,1,2,2.5,3.18,2.69,1.08,7.0,1.4,2.75,2.19,1.7,4.0,1.22,7.5,1.07,1.91,1.8
2812276,Portugal LigaPro,2022/2023,2022-09-11 07:00:00,6,Belenenses,CD Feirense,1,1,2.45,3.18,2.75,1.08,7.25,1.4,3.03,2.07,1.78,4.07,1.25,6.27,1.11,1.8,1.91
2812270,Portugal LigaPro,2022/2023,2022-09-11 10:00:00,6,Leixões,Farense,0,1,3.07,3.28,2.23,1.07,7.5,1.36,3.0,2.09,1.77,3.75,1.25,7.0,1.08,1.8,1.91
2812268,Portugal LigaPro,2022/2023,2022-09-11 11:30:00,6,Torreense,CD Tondela,0,3,2.62,3.08,2.62,1.07,7.5,1.36,3.0,2.05,1.67,3.5,1.29,7.0,1.08,1.82,1.94
2812271,Portugal LigaPro,2022/2023,2022-09-11 14:00:00,6,CD Trofense,Moreirense FC,0,3,3.4,3.46,2.01,1.06,8.0,1.3,3.4,1.88,1.95,3.25,1.33,5.5,1.12,1.73,2.0
2812274,Portugal LigaPro,2022/2023,2022-09-12 14:00:00,6,Estrela Amadora,Academico Viseu,2,1,2.2,3.2,3.0,1.07,7.5,1.36,2.95,2.07,1.67,4.0,1.22,7.0,1.08,1.83,1.83
2812278,Portugal LigaPro,2022/2023,2022-09-16 14:00:00,7,CD Tondela,Belenenses,3,1,1.95,3.2,3.85,1.03,8.2,1.33,3.05,2.05,1.73,3.64,1.24,6.9,1.06,1.91,1.8
2812279,Portugal LigaPro,2022/2023,2022-09-17 07:00:00,7,Academico Viseu,CD Mafra,2,0,2.61,3.3,2.31,1.07,7.5,1.36,3.0,2.01,1.79,3.75,1.25,7.0,1.08,1.85,1.85
2812277,Portugal LigaPro,2022/2023,2022-09-17 10:00:00,7,FC Penafiel,Moreirense FC,1,1,2.95,3.3,2.09,1.08,7.0,1.36,3.0,1.97,1.83,3.75,1.25,7.0,1.08,1.85,1.85
2812284,Portugal LigaPro,2022/2023,2022-09-17 11:30:00,7,Porto II,Torreense,2,0,1.51,3.75,5.1,1.06,8.0,1.33,3.25,2.01,1.79,3.4,1.3,6.0,1.11,2.0,1.73
2812282,Portugal LigaPro,2022/2023,2022-09-18 07:00:00,7,Benfica II,Sporting Covilhã,4,0,1.8,3.2,3.9,1.05,9.0,1.29,3.5,1.9,1.8,3.0,1.36,5.5,1.12,1.73,2.0
2812281,Portugal LigaPro,2022/2023,2022-09-18 07:00:00,7,Farense,Vilafranquense,2,1,1.8,3.2,4.0,1.07,7.5,1.36,3.0,2.1,1.65,3.5,1.29,6.5,1.1,1.91,1.8
2812283,Portugal LigaPro,2022/2023,2022-09-18 10:00:00,7,CD Nacional,CD Trofense,0,1,1.91,3.43,3.33,1.05,9.0,1.3,3.3,1.94,1.81,3.5,1.28,5.5,1.12,1.79,1.98
2812280,Portugal LigaPro,2022/2023,2022-09-18 11:30:00,7,Estrela Amadora,Leixões,2,2,2.35,3.14,2.7,1.04,7.5,1.33,3.04,2.07,1.72,3.48,1.26,6.65,1.06,1.82,1.94
2812285,Portugal LigaPro,2022/2023,2022-09-19 14:00:00,7,CD Feirense,UD Oliveirense,3,2,1.83,3.35,4.1,0.0,0.0,0.0,0.0,2.06,1.79,0.0,0.0,0.0,0.0,2.0,1.73
2812291,Portugal LigaPro,2022/2023,2022-10-07 14:00:00,8,Belenenses,Farense,2,3,3.5,3.1,2.0,1.03,8.2,1.33,3.03,1.97,1.74,3.64,1.24,6.9,1.06,1.91,1.8
2812292,Portugal LigaPro,2022/2023,2022-10-08 07:00:00,8,Leixões,Porto II,0,0,2.45,3.15,2.67,1.03,8.5,1.31,3.14,1.93,1.78,3.48,1.26,6.5,1.06,1.8,1.91
2812286,Portugal LigaPro,2022/2023,2022-10-08 08:45:00,8,UD Oliveirense,Benfica II,2,2,2.71,3.15,2.42,1.04,14.0,1.25,3.6,1.79,1.91,3.1,1.36,5.5,1.14,1.67,2.1
2812287,Portugal LigaPro,2022/2023,2022-10-08 11:30:00,8,Vilafranquense,FC Penafiel,0,1,2.28,3.1,2.95,1.04,7.9,1.36,2.89,2.14,1.63,3.82,1.22,7.3,1.05,1.83,1.83
2812288,Portugal LigaPro,2022/2023,2022-10-08 16:30:00,8,Torreense,Estrela Amadora,1,0,2.5,3.0,2.65,1.08,7.0,1.33,3.1,2.05,1.73,3.6,1.25,7.0,1.08,1.8,1.91
2812290,Portugal LigaPro,2022/2023,2022-10-09 07:00:00,8,Sporting Covilhã,Academico Viseu,2,3,2.74,3.13,2.49,1.03,8.4,1.32,3.1,2.05,1.72,3.48,1.26,6.6,1.06,1.83,1.83
2812294,Portugal LigaPro,2022/2023,2022-10-09 10:00:00,8,Moreirense FC,CD Nacional,3,1,1.55,3.9,5.6,1.02,9.2,1.28,3.34,1.93,1.93,3.2,1.3,5.95,1.08,2.1,1.67
2812293,Portugal LigaPro,2022/2023,2022-10-09 11:30:00,8,CD Mafra,CD Tondela,1,1,2.46,3.2,2.72,1.02,8.6,1.31,3.14,2.0,1.82,3.4,1.27,6.4,1.07,1.8,1.91
2812289,Portugal LigaPro,2022/2023,2022-10-10 14:00:00,8,CD Trofense,CD Feirense,0,3,2.4,3.02,2.72,1.08,7.0,1.42,2.75,2.25,1.61,4.33,1.2,7.5,1.07,1.91,1.8
2812296,Portugal LigaPro,2022/2023,2022-10-15 14:00:00,9,Estrela Amadora,Sporting Covilhã,2,1,1.94,3.43,3.86,1.03,8.2,1.36,3.13,1.95,1.77,3.82,1.26,6.85,1.11,1.95,1.81
2812300,Portugal LigaPro,2022/2023,2022-10-18 14:00:00,9,Benfica II,CD Mafra,5,1,2.17,3.24,3.22,1.06,8.0,1.3,3.3,1.95,1.8,3.3,1.3,5.5,1.12,1.72,2.05
2812299,Portugal LigaPro,2022/2023,2022-10-18 14:00:00,9,Torreense,Belenenses,0,1,1.91,3.4,3.8,1.06,8.0,1.3,3.3,1.95,1.8,3.4,1.3,5.5,1.12,1.78,1.9
2812303,Portugal LigaPro,2022/2023,2022-10-18 16:30:00,9,CD Feirense,Moreirense FC,1,2,3.56,3.34,2.0,1.07,7.5,1.33,3.2,2.0,1.75,3.6,1.28,6.5,1.1,1.83,1.85
2812295,Portugal LigaPro,2022/2023,2022-10-19 11:30:00,9,Academico Viseu,Leixões,2,2,2.0,3.3,3.7,1.04,7.9,1.35,2.93,2.1,1.7,3.72,1.23,7.2,1.05,2.0,1.73
2812298,Portugal LigaPro,2022/2023,2022-10-19 11:30:00,9,Porto II,FC Penafiel,0,0,2.25,3.1,3.25,1.03,8.4,1.32,3.1,2.1,1.7,3.48,1.26,6.65,1.06,1.83,1.83
2812301,Portugal LigaPro,2022/2023,2022-10-19 14:00:00,9,CD Nacional,Vilafranquense,1,1,2.63,3.1,2.7,1.03,8.3,1.33,3.04,2.1,1.7,3.54,1.25,6.75,1.06,1.83,1.83
2812297,Portugal LigaPro,2022/2023,2022-10-19 16:30:00,9,CD Tondela,UD Oliveirense,1,3,1.8,3.4,4.4,1.05,11.0,1.3,3.3,1.95,1.8,3.5,1.28,7.25,1.1,1.91,1.8
2812310,Portugal LigaPro,2022/2023,2022-10-22 07:00:00,10,Sporting Covilhã,Torreense,0,3,3.18,3.24,2.19,1.07,7.5,1.36,2.95,2.25,1.57,4.0,1.22,7.0,1.08,1.87,1.87
2812308,Portugal LigaPro,2022/2023,2022-10-22 16:30:00,10,Belenenses,Benfica II,0,2,2.7,3.4,2.38,1.06,8.0,1.33,3.1,2.0,1.85,3.5,1.28,6.0,1.11,1.75,2.0
2812304,Portugal LigaPro,2022/2023,2022-10-23 07:00:00,10,CD Trofense,Porto II,0,3,2.7,3.3,2.35,1.02,9.2,1.28,3.34,1.93,1.83,3.2,1.3,5.9,1.08,1.75,2.0
2812311,Portugal LigaPro,2022/2023,2022-10-23 10:00:00,10,FC Penafiel,CD Feirense,0,1,2.1,3.1,3.2,1.07,7.5,1.36,3.0,2.15,1.62,3.75,1.25,7.0,1.08,1.85,1.9
2812307,Portugal LigaPro,2022/2023,2022-10-23 10:00:00,10,UD Oliveirense,CD Nacional,0,0,2.45,3.1,2.63,1.07,7.5,1.36,2.9,1.95,1.75,3.6,1.25,7.25,1.08,1.83,1.83
2812305,Portugal LigaPro,2022/2023,2022-10-23 11:30:00,10,Moreirense FC,Farense,3,2,2.05,3.1,3.3,1.07,7.5,1.36,3.0,2.0,1.7,3.75,1.25,7.0,1.08,1.85,1.9
2812306,Portugal LigaPro,2022/2023,2022-10-23 11:30:00,10,CD Mafra,Estrela Amadora,2,2,2.2,3.0,3.0,1.07,7.5,1.36,3.0,1.9,1.8,3.5,1.29,7.0,1.08,1.85,1.85
2812309,Portugal LigaPro,2022/2023,2022-10-23 14:00:00,10,Vilafranquense,Academico Viseu,1,3,2.15,3.1,3.1,1.03,8.3,1.33,3.04,2.11,1.67,3.54,1.25,6.8,1.06,1.85,1.9
2812312,Portugal LigaPro,2022/2023,2022-10-24 14:00:00,10,Leixões,CD Tondela,1,1,2.45,3.24,2.7,1.07,7.5,1.33,3.25,2.12,1.77,3.5,1.29,6.5,1.1,1.8,1.91
2812315,Portugal LigaPro,2022/2023,2022-10-29 07:30:00,11,Torreense,CD Mafra,0,1,2.45,3.0,2.8,1.08,7.0,1.36,3.0,2.17,1.65,3.75,1.25,7.5,1.07,1.85,1.85
2812314,Portugal LigaPro,2022/2023,2022-10-29 08:45:00,11,Porto II,CD Feirense,0,0,2.45,2.88,2.88,1.08,7.0,1.4,2.75,2.1,1.65,3.75,1.25,7.0,1.08,1.85,1.85
