Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1281925,Romania Liga I,2021/2022,2021-07-15 14:30:00,1,Botoşani,FCSB,0,0,3.36,3.28,2.18,1.08,8.75,1.4,2.8,2.18,1.68,3.2,1.34,6.0,1.14,1.91,1.87
1281926,Romania Liga I,2021/2022,2021-07-16 12:30:00,1,Sepsi,Academica Clinceni,2,0,1.53,3.8,6.5,1.1,7.75,1.43,2.8,2.1,1.69,3.8,1.26,7.25,1.1,2.2,1.65
1281927,Romania Liga I,2021/2022,2021-07-16 15:30:00,1,CFR Cluj,U Craiova 1948,3,2,1.59,3.7,4.8,1.09,8.25,1.38,2.9,2.09,1.66,4.0,1.22,7.0,1.1,2.5,1.49
1281928,Romania Liga I,2021/2022,2021-07-17 12:30:00,1,Gaz Metan Mediaş,Mioveni,1,0,2.1,3.25,3.45,1.12,6.5,1.49,2.55,2.35,1.57,4.2,1.22,8.5,1.08,2.15,1.67
1281929,Romania Liga I,2021/2022,2021-07-17 15:30:00,1,CS U Craiova,Argeș,1,0,1.67,3.35,5.25,1.08,9.0,1.42,2.75,2.32,1.61,4.5,1.2,10.0,1.06,2.4,1.54
1281930,Romania Liga I,2021/2022,2021-07-18 12:30:00,1,UTA Arad,SSC Farul,0,0,2.25,3.05,3.35,0.0,0.0,0.0,0.0,2.31,1.54,0.0,0.0,0.0,0.0,2.0,1.74
1281931,Romania Liga I,2021/2022,2021-07-18 15:30:00,1,Rapid Bucureşti,Chindia Târgovişte,1,0,2.98,3.08,2.53,1.15,5.5,1.49,2.6,2.6,1.49,4.55,1.2,9.5,1.07,2.2,1.62
1281932,Romania Liga I,2021/2022,2021-07-19 14:30:00,1,Dinamo Bucureşti,Voluntari,3,2,4.5,3.3,1.8,1.12,6.25,1.36,3.0,2.1,1.67,3.95,1.25,7.75,1.09,2.05,1.74
1281933,Romania Liga I,2021/2022,2021-07-23 12:30:00,2,Argeș,UTA Arad,0,1,2.55,2.95,2.95,1.14,5.75,1.54,2.4,2.45,1.54,4.35,1.21,8.75,1.08,2.15,1.67
1281934,Romania Liga I,2021/2022,2021-07-23 15:30:00,2,Mioveni,Rapid Bucureşti,0,2,2.8,3.0,2.6,1.14,6.0,1.44,2.65,2.3,1.53,4.1,1.24,8.0,1.09,2.05,1.71
1281935,Romania Liga I,2021/2022,2021-07-24 12:30:00,2,Voluntari,Botoşani,0,1,3.0,2.85,2.65,1.13,6.0,1.48,2.6,2.25,1.62,3.85,1.25,7.5,1.1,1.95,1.83
1281943,Romania Liga I,2021/2022,2021-07-24 15:30:00,2,Academica Clinceni,CFR Cluj,1,2,6.0,3.5,1.53,1.11,7.0,1.44,2.65,2.15,1.61,4.1,1.24,8.25,1.08,2.5,1.49
1281944,Romania Liga I,2021/2022,2021-07-25 12:30:00,2,SSC Farul,Gaz Metan Mediaş,2,0,2.1,3.05,3.8,1.12,6.25,1.5,2.5,2.4,1.56,4.25,1.22,8.25,1.08,2.1,1.69
1281945,Romania Liga I,2021/2022,2021-07-25 15:30:00,2,FCSB,CS U Craiova,4,1,2.27,2.85,2.71,1.11,7.0,1.42,2.7,2.05,1.69,3.5,1.29,6.75,1.11,1.87,1.87
1281946,Romania Liga I,2021/2022,2021-07-26 12:30:00,2,Chindia Târgovişte,Sepsi,1,1,4.2,3.0,2.0,1.15,5.5,1.61,2.25,2.65,1.45,4.95,1.17,10.5,1.06,2.35,1.54
1281947,Romania Liga I,2021/2022,2021-07-26 15:30:00,2,U Craiova 1948,Dinamo Bucureşti,1,0,2.04,3.35,3.55,1.12,6.5,1.4,2.8,2.23,1.66,3.9,1.25,7.75,1.09,2.05,1.74
1281952,Romania Liga I,2021/2022,2021-07-30 13:00:00,3,Gaz Metan Mediaş,Argeș,2,2,2.8,2.8,2.9,1.17,5.0,1.65,2.2,2.7,1.44,4.95,1.17,10.5,1.06,2.25,1.59
1281951,Romania Liga I,2021/2022,2021-07-30 15:30:00,3,Rapid Bucureşti,SSC Farul,0,0,2.13,3.1,3.3,1.14,5.75,1.5,2.5,2.46,1.49,4.35,1.21,8.75,1.08,2.15,1.67
1281976,Romania Liga I,2021/2022,2021-07-31 13:15:00,3,Voluntari,U Craiova 1948,2,1,2.45,3.15,2.9,1.11,6.75,1.44,2.7,2.2,1.65,3.75,1.26,7.25,1.1,2.0,1.77
1281949,Romania Liga I,2021/2022,2021-07-31 16:00:00,3,CFR Cluj,Chindia Târgovişte,1,0,1.4,3.9,8.5,1.12,6.5,1.38,2.9,2.15,1.67,4.4,1.21,9.5,1.07,2.8,1.4
1281975,Romania Liga I,2021/2022,2021-08-01 13:15:00,3,CS U Craiova,Botoşani,1,2,1.77,3.35,4.85,1.11,6.75,1.47,2.65,2.3,1.59,4.15,1.22,8.25,1.09,2.15,1.67
1281974,Romania Liga I,2021/2022,2021-08-01 16:00:00,3,UTA Arad,FCSB,1,1,3.86,3.43,1.94,1.1,7.25,1.33,3.1,2.0,1.72,3.7,1.27,7.0,1.1,2.0,1.77
1281950,Romania Liga I,2021/2022,2021-08-02 12:30:00,3,Sepsi,Mioveni,1,2,1.67,3.35,5.75,1.13,6.0,1.54,2.4,2.55,1.5,4.75,1.18,9.75,1.07,2.5,1.5
1281948,Romania Liga I,2021/2022,2021-08-02 15:30:00,3,Dinamo Bucureşti,Academica Clinceni,3,1,3.55,3.15,2.0,1.12,6.25,1.42,2.7,1.6,2.3,4.05,1.24,8.25,1.09,2.0,1.8
1281982,Romania Liga I,2021/2022,2021-08-06 12:30:00,4,Botoşani,UTA Arad,2,1,2.2,3.0,3.35,1.12,6.5,1.44,2.7,2.2,1.65,3.75,1.26,7.25,1.1,2.0,1.8
1281978,Romania Liga I,2021/2022,2021-08-06 15:30:00,4,Mioveni,CFR Cluj,0,1,5.5,3.45,1.65,1.11,6.75,1.47,2.65,2.3,1.59,4.15,1.22,8.5,1.08,2.3,1.59
1281983,Romania Liga I,2021/2022,2021-08-07 12:30:00,4,Academica Clinceni,U Craiova 1948,1,2,2.9,3.0,2.45,1.12,6.5,1.48,2.6,2.3,1.59,4.0,1.24,7.75,1.09,2.05,1.74
1281980,Romania Liga I,2021/2022,2021-08-07 15:30:00,4,Argeș,Rapid Bucureşti,0,1,2.75,2.85,2.7,1.16,5.25,1.61,2.25,2.6,1.47,4.8,1.18,10.0,1.06,2.3,1.61
1281977,Romania Liga I,2021/2022,2021-08-08 13:00:00,4,Chindia Târgovişte,Dinamo Bucureşti,1,0,2.2,2.9,3.6,1.15,5.5,1.57,2.35,2.55,1.49,4.65,1.19,9.5,1.07,2.25,1.62
1281981,Romania Liga I,2021/2022,2021-08-08 16:00:00,4,FCSB,Gaz Metan Mediaş,2,1,1.34,4.6,9.0,1.08,9.0,1.33,3.2,1.91,1.87,3.3,1.32,6.25,1.12,2.4,1.56
1281979,Romania Liga I,2021/2022,2021-08-09 12:30:00,4,SSC Farul,Sepsi,1,0,3.25,2.8,2.35,1.15,5.5,1.57,2.35,2.55,1.5,4.55,1.19,9.25,1.07,2.2,1.67
1281984,Romania Liga I,2021/2022,2021-08-09 15:30:00,4,CS U Craiova,Voluntari,3,0,1.65,3.25,6.25,1.11,6.75,1.43,2.7,2.2,1.65,3.85,1.25,7.5,1.1,2.15,1.69
1281992,Romania Liga I,2021/2022,2021-08-13 12:30:00,5,Voluntari,Academica Clinceni,1,0,2.45,2.8,3.1,1.14,5.75,1.51,2.45,2.4,1.56,4.15,1.22,8.25,1.09,2.05,1.74
1281986,Romania Liga I,2021/2022,2021-08-13 15:30:00,5,CFR Cluj,SSC Farul,1,0,1.56,3.65,6.0,1.1,7.0,1.43,2.75,2.25,1.62,4.05,1.24,7.75,1.09,2.35,1.57
1281990,Romania Liga I,2021/2022,2021-08-14 13:00:00,5,U Craiova 1948,Chindia Târgovişte,0,0,2.2,2.85,3.6,1.14,5.75,1.56,2.4,2.5,1.51,4.5,1.2,9.0,1.08,2.15,1.69
1281991,Romania Liga I,2021/2022,2021-08-14 15:30:00,5,UTA Arad,CS U Craiova,1,0,3.6,3.1,2.1,1.12,6.25,1.5,2.55,2.35,1.57,4.15,1.22,8.5,1.08,2.15,1.69
1281987,Romania Liga I,2021/2022,2021-08-15 12:30:00,5,Sepsi,Argeș,0,2,1.69,3.25,5.5,1.13,6.0,1.51,2.5,2.45,1.53,4.45,1.2,9.25,1.07,2.4,1.56
1281988,Romania Liga I,2021/2022,2021-08-15 15:30:00,5,Rapid Bucureşti,FCSB,1,0,4.2,3.3,1.87,1.1,7.25,1.43,2.8,2.2,1.67,3.8,1.26,7.25,1.1,2.05,1.74
1281989,Romania Liga I,2021/2022,2021-08-16 12:30:00,5,Gaz Metan Mediaş,Botoşani,0,1,3.3,3.0,2.25,1.12,6.5,1.48,2.6,2.3,1.61,3.95,1.25,7.75,1.09,2.0,1.77
1281985,Romania Liga I,2021/2022,2021-08-16 15:30:00,5,Dinamo Bucureşti,Mioveni,0,1,2.4,3.05,2.95,1.11,6.75,1.44,2.7,2.2,1.65,3.75,1.26,7.25,1.1,1.95,1.8
1281999,Romania Liga I,2021/2022,2021-08-20 12:30:00,6,Chindia Târgovişte,Academica Clinceni,2,2,2.0,3.0,4.15,1.15,5.5,1.61,2.3,2.65,1.47,4.9,1.17,10.25,1.06,2.35,1.57
1281993,Romania Liga I,2021/2022,2021-08-20 15:30:00,6,SSC Farul,Dinamo Bucureşti,3,0,1.51,3.9,6.25,1.09,7.75,1.43,2.8,2.15,1.69,3.9,1.25,7.25,1.1,2.25,1.62
1281998,Romania Liga I,2021/2022,2021-08-21 12:30:00,6,CS U Craiova,Gaz Metan Mediaş,1,0,1.59,3.75,5.5,1.1,7.75,1.4,2.85,2.15,1.67,3.85,1.25,7.5,1.1,2.25,1.62
1281994,Romania Liga I,2021/2022,2021-08-21 15:30:00,6,Argeș,CFR Cluj,0,1,3.85,3.5,1.87,1.1,7.25,1.45,2.65,2.3,1.61,4.05,1.24,8.0,1.09,2.2,1.67
1282000,Romania Liga I,2021/2022,2021-08-22 12:30:00,6,UTA Arad,Voluntari,2,0,2.05,3.2,3.5,1.12,6.5,1.5,2.5,2.4,1.56,4.3,1.21,8.5,1.08,2.15,1.67
1281996,Romania Liga I,2021/2022,2021-08-22 15:30:00,6,Botoşani,Rapid Bucureşti,0,2,2.25,3.2,3.1,1.1,7.25,1.43,2.8,2.15,1.69,3.75,1.25,7.25,1.09,1.95,1.8
1281997,Romania Liga I,2021/2022,2021-08-23 12:30:00,6,Mioveni,U Craiova 1948,1,0,3.0,2.9,2.45,1.14,5.75,1.56,2.4,2.5,1.5,4.45,1.2,9.0,1.07,2.2,1.65
1281995,Romania Liga I,2021/2022,2021-08-23 15:30:00,6,FCSB,Sepsi,1,1,1.91,3.3,3.9,1.11,6.75,1.45,2.7,2.25,1.62,3.95,1.25,7.75,1.09,2.1,1.71
1282008,Romania Liga I,2021/2022,2021-08-27 12:00:00,7,Voluntari,Chindia Târgovişte,2,1,2.52,2.81,2.72,1.17,4.9,1.57,2.4,2.75,1.4,5.25,1.16,11.0,1.05,2.4,1.56
1282004,Romania Liga I,2021/2022,2021-08-27 15:00:00,7,U Craiova 1948,SSC Farul,1,1,2.7,2.85,2.75,1.15,5.25,1.61,2.3,2.6,1.48,4.75,1.18,9.75,1.07,2.25,1.62
1282001,Romania Liga I,2021/2022,2021-08-28 12:00:00,7,Dinamo Bucureşti,Argeș,0,2,2.57,2.89,2.41,1.12,6.25,1.45,2.65,2.38,1.53,4.35,1.21,8.75,1.08,2.2,1.65
1282005,Romania Liga I,2021/2022,2021-08-28 15:00:00,7,Rapid Bucureşti,CS U Craiova,1,2,3.0,3.05,2.35,1.12,6.5,1.49,2.55,2.3,1.59,4.05,1.24,8.0,1.09,2.1,1.71
1282003,Romania Liga I,2021/2022,2021-08-29 12:15:00,7,Sepsi,Botoşani,1,1,2.0,3.2,3.75,1.11,6.75,1.47,2.65,2.3,1.59,4.1,1.24,8.25,1.09,2.15,1.67
1282002,Romania Liga I,2021/2022,2021-08-29 15:00:00,7,CFR Cluj,FCSB,4,1,2.05,3.05,3.8,1.12,6.25,1.51,2.45,2.45,1.54,4.4,1.2,9.0,1.08,2.25,1.62
1282006,Romania Liga I,2021/2022,2021-08-30 12:00:00,7,Academica Clinceni,Mioveni,1,1,2.55,2.8,2.8,1.15,5.5,1.5,2.45,2.55,1.45,4.75,1.18,9.75,1.07,2.25,1.62
1282007,Romania Liga I,2021/2022,2021-08-30 15:00:00,7,Gaz Metan Mediaş,UTA Arad,0,1,3.6,3.2,2.05,1.13,6.0,1.56,2.4,2.5,1.51,4.6,1.19,9.5,1.07,2.3,1.59
1282015,Romania Liga I,2021/2022,2021-09-10 12:00:00,8,Mioveni,Chindia Târgovişte,0,1,2.7,2.8,2.9,1.19,4.65,2.38,1.57,2.65,1.42,5.75,1.15,12.0,1.05,2.45,1.53
1282014,Romania Liga I,2021/2022,2021-09-10 15:00:00,8,UTA Arad,Rapid Bucureşti,2,2,2.15,3.1,3.3,1.12,6.5,1.5,2.5,2.4,1.56,4.25,1.21,8.75,1.08,2.15,1.69
1282011,Romania Liga I,2021/2022,2021-09-11 12:00:00,8,Argeș,U Craiova 1948,1,0,2.45,3.0,2.95,1.13,6.0,1.5,2.55,2.35,1.57,4.05,1.24,8.0,1.09,2.05,1.74
1282010,Romania Liga I,2021/2022,2021-09-11 15:00:00,8,Botoşani,CFR Cluj,1,0,4.0,3.3,1.77,1.1,7.25,1.36,3.0,2.46,1.48,4.15,1.22,8.25,1.08,2.35,1.57
1282016,Romania Liga I,2021/2022,2021-09-12 12:15:00,8,Gaz Metan Mediaş,Voluntari,1,2,2.8,2.9,2.6,1.14,5.75,1.57,2.35,2.5,1.5,4.45,1.2,9.0,1.08,2.2,1.67
1282009,Romania Liga I,2021/2022,2021-09-12 15:00:00,8,FCSB,Dinamo Bucureşti,6,0,1.49,4.1,6.0,1.07,9.5,1.32,3.3,1.87,1.91,3.1,1.35,6.0,1.14,2.05,1.77
1282013,Romania Liga I,2021/2022,2021-09-13 12:00:00,8,SSC Farul,Academica Clinceni,5,0,1.64,3.3,4.26,1.1,7.5,1.43,2.7,2.0,1.75,3.3,1.3,8.0,1.09,2.55,1.5
1282012,Romania Liga I,2021/2022,2021-09-13 15:00:00,8,CS U Craiova,Sepsi,1,1,2.15,3.0,3.45,1.14,5.75,1.56,2.4,2.5,1.5,4.55,1.19,9.25,1.07,2.25,1.62
1282024,Romania Liga I,2021/2022,2021-09-17 12:00:00,9,Voluntari,Mioveni,4,0,2.25,2.85,3.4,1.15,5.5,1.57,2.35,2.55,1.5,4.55,1.19,9.25,1.07,2.2,1.65
1282023,Romania Liga I,2021/2022,2021-09-17 15:00:00,9,Rapid Bucureşti,Gaz Metan Mediaş,1,2,1.67,3.45,5.25,1.11,6.75,1.48,2.6,2.35,1.57,4.25,1.21,8.5,1.08,2.3,1.59
1282022,Romania Liga I,2021/2022,2021-09-18 08:30:00,9,Chindia Târgovişte,SSC Farul,2,0,3.45,2.75,2.3,1.16,5.25,1.61,2.25,2.6,1.48,4.65,1.19,9.5,1.07,2.2,1.65
1282018,Romania Liga I,2021/2022,2021-09-18 14:00:00,9,U Craiova 1948,FCSB,0,1,3.9,3.3,1.87,1.1,7.5,1.36,3.0,2.2,1.61,3.75,1.26,7.25,1.1,2.15,1.69
1282020,Romania Liga I,2021/2022,2021-09-19 07:30:00,9,Academica Clinceni,Argeș,0,1,2.8,2.87,2.6,1.13,6.0,1.47,2.55,2.46,1.49,4.05,1.24,7.5,1.1,2.05,1.74
1282021,Romania Liga I,2021/2022,2021-09-19 10:00:00,9,Sepsi,UTA Arad,0,0,1.95,3.25,3.9,1.12,6.5,1.5,2.5,2.4,1.54,4.35,1.21,8.75,1.08,2.2,1.65
1282017,Romania Liga I,2021/2022,2021-09-19 13:00:00,9,Dinamo Bucureşti,Botoşani,1,2,5.25,3.35,1.69,1.11,6.75,1.48,2.6,2.35,1.57,4.3,1.21,8.75,1.08,2.3,1.61
1282019,Romania Liga I,2021/2022,2021-09-20 15:00:00,9,CFR Cluj,CS U Craiova,1,0,2.0,3.2,3.75,1.12,6.5,1.5,2.55,2.35,1.57,4.25,1.22,8.5,1.08,2.15,1.67
1282032,Romania Liga I,2021/2022,2021-09-24 14:00:00,10,Rapid Bucureşti,Voluntari,0,1,2.05,3.15,3.6,1.12,6.25,1.51,2.5,2.4,1.54,4.3,1.21,8.5,1.08,2.15,1.67
1282029,Romania Liga I,2021/2022,2021-09-25 11:00:00,10,Argeș,Chindia Târgovişte,0,0,2.6,2.9,2.8,1.15,5.5,1.59,2.3,2.55,1.5,4.6,1.19,9.5,1.07,2.25,1.62
1282027,Romania Liga I,2021/2022,2021-09-25 15:00:00,10,FCSB,Academica Clinceni,3,2,1.25,5.5,11.0,1.05,13.0,1.27,3.65,2.05,1.78,3.0,1.35,5.5,1.15,2.55,1.5
1282031,Romania Liga I,2021/2022,2021-09-26 09:30:00,10,SSC Farul,Mioveni,2,1,1.61,3.75,5.5,1.1,7.25,1.43,2.8,2.25,1.62,4.0,1.24,8.0,1.09,2.3,1.59
1282026,Romania Liga I,2021/2022,2021-09-26 12:00:00,10,Botoşani,U Craiova 1948,1,1,1.87,3.35,4.05,1.1,7.25,1.43,2.7,2.2,1.65,3.85,1.25,7.5,1.1,2.1,1.71
1282028,Romania Liga I,2021/2022,2021-09-26 15:00:00,10,UTA Arad,CFR Cluj,0,1,3.65,3.15,2.0,1.12,6.25,1.53,2.45,2.4,1.54,4.4,1.21,9.0,1.08,2.2,1.65
1282030,Romania Liga I,2021/2022,2021-09-27 12:00:00,10,Gaz Metan Mediaş,Sepsi,0,0,4.0,3.05,1.91,1.11,6.75,1.5,2.5,2.3,1.55,4.1,1.24,8.25,1.08,2.15,1.67
1282025,Romania Liga I,2021/2022,2021-09-27 15:00:00,10,CS U Craiova,Dinamo Bucureşti,5,0,1.34,4.95,8.25,1.07,10.0,1.33,3.25,1.91,1.87,3.25,1.33,6.25,1.12,2.4,1.54
1282038,Romania Liga I,2021/2022,2021-10-01 12:00:00,11,Mioveni,Argeș,0,0,2.9,2.8,2.7,1.14,5.0,1.6,2.3,2.75,1.4,5.0,1.2,10.25,1.07,2.15,1.65
1282036,Romania Liga I,2021/2022,2021-10-01 15:00:00,11,Chindia Târgovişte,FCSB,0,1,4.75,3.3,1.8,1.04,8.3,1.36,3.0,2.3,1.62,3.75,1.25,7.2,1.06,1.95,1.8
1282033,Romania Liga I,2021/2022,2021-10-02 10:30:00,11,Dinamo Bucureşti,UTA Arad,2,2,4.0,3.4,1.87,1.1,8.25,1.36,3.0,2.18,1.68,3.75,1.25,7.5,1.11,2.0,1.73
1282039,Romania Liga I,2021/2022,2021-10-02 13:30:00,11,Sepsi,Rapid Bucureşti,2,2,1.87,3.2,4.5,1.09,6.5,1.5,2.6,2.55,1.52,4.75,1.16,9.3,1.02,2.15,1.65
1282040,Romania Liga I,2021/2022,2021-10-03 10:00:00,11,Voluntari,SSC Farul,1,0,3.4,3.1,2.18,1.11,6.0,1.49,2.6,2.45,1.55,4.5,1.18,9.3,1.02,2.1,1.7
1282037,Romania Liga I,2021/2022,2021-10-03 12:00:00,11,CFR Cluj,Gaz Metan Mediaş,2,1,1.4,4.32,9.1,1.06,6.95,1.4,2.8,2.25,1.57,4.75,1.17,8.9,1.03,2.65,1.44
1282034,Romania Liga I,2021/2022,2021-10-03 15:00:00,11,U Craiova 1948,CS U Craiova,0,2,3.44,3.3,2.02,1.09,7.7,1.44,2.65,2.35,1.53,4.53,1.19,8.95,1.05,2.1,1.68
1282035,Romania Liga I,2021/2022,2021-10-04 14:30:00,11,Academica Clinceni,Botoşani,1,1,3.6,3.3,1.91,1.04,8.3,1.36,3.0,2.1,1.65,3.75,1.25,7.2,1.06,1.9,1.83
1282041,Romania Liga I,2021/2022,2021-10-15 14:30:00,12,Gaz Metan Mediaş,Dinamo Bucureşti,2,1,2.08,3.29,3.56,1.05,7.4,1.42,2.75,2.25,1.57,4.2,1.2,8.1,1.04,2.0,1.73
1282048,Romania Liga I,2021/2022,2021-10-16 11:30:00,12,Sepsi,Voluntari,1,2,1.71,3.2,5.19,1.09,6.5,1.54,2.32,2.41,1.5,4.75,1.17,9.3,1.02,2.25,1.57
1282045,Romania Liga I,2021/2022,2021-10-16 14:30:00,12,FCSB,Mioveni,3,0,1.47,3.9,6.0,1.02,9.3,1.35,3.0,2.0,1.8,3.3,1.3,7.0,1.06,2.38,1.53
1282047,Romania Liga I,2021/2022,2021-10-17 09:00:00,12,Argeș,SSC Farul,2,1,3.22,3.14,2.33,1.12,5.5,1.57,2.4,2.59,1.44,5.0,1.14,10.0,1.04,2.2,1.62
1282042,Romania Liga I,2021/2022,2021-10-17 11:30:00,12,UTA Arad,U Craiova 1948,1,0,1.98,3.17,4.24,1.12,5.5,1.62,2.3,2.69,1.41,5.5,1.12,11.0,1.03,2.5,1.5
1282046,Romania Liga I,2021/2022,2021-10-17 14:30:00,12,Rapid Bucureşti,CFR Cluj,2,0,4.08,2.76,1.78,1.12,5.5,1.52,2.45,2.35,1.53,4.75,1.17,9.8,1.04,2.25,1.57
1282044,Romania Liga I,2021/2022,2021-10-18 11:30:00,12,Botoşani,Chindia Târgovişte,0,0,2.15,2.9,3.9,1.11,6.0,1.55,2.45,2.55,1.45,4.75,1.17,10.25,1.01,2.2,1.62
