Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1275363,Scotland Premiership,2021/2022,2021-07-31 09:30:00,1,Rangers,Livingston,3,0,1.15,7.25,16.0,1.04,13.0,1.26,3.75,1.71,2.1,2.8,1.42,5.5,1.15,2.85,1.38
1275364,Scotland Premiership,2021/2022,2021-07-31 11:00:00,1,Dundee,St. Mirren,2,2,2.08,3.08,3.08,1.12,6.5,1.33,3.25,1.9,1.72,3.85,1.25,7.5,1.1,2.0,1.77
1275365,Scotland Premiership,2021/2022,2021-07-31 11:00:00,1,Ross County,St. Johnstone,0,0,3.08,3.08,2.08,1.12,6.5,1.38,3.0,1.62,2.3,4.15,1.22,8.25,1.08,2.1,1.69
1275366,Scotland Premiership,2021/2022,2021-07-31 16:00:00,1,Hearts,Celtic,2,1,4.4,4.0,1.71,1.06,10.25,1.29,3.5,1.8,2.0,2.9,1.39,5.25,1.17,1.83,1.91
1275367,Scotland Premiership,2021/2022,2021-08-01 11:00:00,1,Aberdeen,Dundee United,2,0,1.75,3.6,4.75,1.11,7.0,1.45,2.65,2.25,1.57,4.15,1.22,8.25,1.09,2.25,1.61
1275368,Scotland Premiership,2021/2022,2021-08-01 12:30:00,1,Motherwell,Hibernian,2,3,3.45,3.35,2.1,1.1,7.25,1.42,2.8,2.15,1.69,3.65,1.27,7.0,1.11,1.95,1.8
1275369,Scotland Premiership,2021/2022,2021-08-07 08:30:00,2,Dundee United,Rangers,1,0,11.0,5.5,1.27,1.06,10.5,1.3,3.4,1.8,1.95,3.05,1.36,6.0,1.13,2.5,1.5
1275373,Scotland Premiership,2021/2022,2021-08-07 11:00:00,2,St. Mirren,Hearts,1,2,2.8,3.2,2.38,1.09,7.75,1.38,3.0,2.13,1.7,3.4,1.3,6.5,1.12,1.87,1.91
1275370,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,Celtic,Dundee,6,0,1.25,5.6,9.8,1.03,18.0,1.17,5.0,1.45,2.55,2.18,1.68,3.55,1.28,2.0,1.8
1275371,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,Hibernian,Ross County,3,0,1.55,3.95,5.4,1.08,8.75,1.36,3.05,1.8,1.9,3.1,1.36,6.5,1.12,2.1,1.69
1275372,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,Livingston,Aberdeen,1,2,2.9,3.05,2.46,1.12,6.25,1.47,2.65,2.35,1.53,4.25,1.21,8.75,1.08,2.15,1.67
