Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2447550,Serbia SuperLiga,2022/2023,2022-07-08 15:00:00,1,Voždovac,Novi Pazar,1,0,1.69,3.8,4.9,1.07,9.9,1.36,3.08,2.03,1.67,3.73,1.26,7.2,1.09,2.05,1.7
2447547,Serbia SuperLiga,2022/2023,2022-07-09 15:00:00,1,Mladost Lučani,Spartak Subotica,1,1,2.2,3.1,3.0,0.0,0.0,0.0,0.0,2.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
2447551,Serbia SuperLiga,2022/2023,2022-07-09 15:00:00,1,Čukarički,Bačka Topola,1,4,1.85,3.2,3.8,1.07,9.9,1.33,3.27,2.05,1.7,3.5,1.29,6.75,1.1,1.85,1.85
2447552,Serbia SuperLiga,2022/2023,2022-07-09 15:00:00,1,Javor Ivanjica,Partizan,0,4,10.0,5.0,1.25,1.03,17.25,1.21,4.33,1.6,2.2,2.61,1.48,4.62,1.19,2.1,1.65
2447545,Serbia SuperLiga,2022/2023,2022-07-10 15:00:00,1,Red Star Belgrade,Radnički Niš,4,0,1.16,6.2,12.0,1.02,22.5,1.16,5.1,1.4,2.75,2.35,1.58,3.85,1.25,2.38,1.53
2447548,Serbia SuperLiga,2022/2023,2022-07-10 15:00:00,1,Radnik Surdulica,Mladost Novi Sad,1,2,1.94,3.3,3.55,1.07,9.9,1.36,3.08,2.1,1.67,3.73,1.26,7.2,1.09,1.88,1.82
2447549,Serbia SuperLiga,2022/2023,2022-07-10 15:00:00,1,Vojvodina,Napredak,1,0,1.77,3.25,4.4,1.08,8.95,1.39,2.94,2.15,1.62,3.97,1.24,7.75,1.07,2.0,1.72
2447546,Serbia SuperLiga,2022/2023,2022-07-11 15:00:00,1,Kolubara,Radnički Kragujevac,1,1,2.35,3.1,3.0,1.06,10.0,1.32,3.3,2.0,1.75,3.45,1.3,6.7,1.1,1.75,1.95
2447553,Serbia SuperLiga,2022/2023,2022-07-15 15:00:00,2,Radnički Niš,Partizan,3,3,13.0,5.2,1.22,1.03,13.0,1.17,4.5,1.67,2.1,2.75,1.4,5.5,1.11,2.4,1.52
2447555,Serbia SuperLiga,2022/2023,2022-07-15 15:00:00,2,Novi Pazar,Čukarički,1,2,3.8,3.1,1.87,1.01,11.0,1.22,3.8,2.05,1.67,3.0,1.33,6.5,1.08,1.8,1.96
2447558,Serbia SuperLiga,2022/2023,2022-07-15 15:00:00,2,Spartak Subotica,Radnik Surdulica,2,0,2.25,3.0,2.87,1.05,9.0,1.29,3.3,2.05,1.7,3.6,1.25,7.5,1.06,1.78,1.9
2447560,Serbia SuperLiga,2022/2023,2022-07-16 15:00:00,2,Red Star Belgrade,Kolubara,5,0,1.04,11.0,26.0,1.01,89.0,1.04,10.5,1.2,4.04,1.46,2.68,2.04,1.78,2.75,1.4
2447554,Serbia SuperLiga,2022/2023,2022-07-16 15:00:00,2,Bačka Topola,Javor Ivanjica,0,0,1.36,4.33,6.5,1.01,11.0,1.2,4.0,1.7,2.05,2.88,1.36,5.5,1.11,1.95,1.75
2447557,Serbia SuperLiga,2022/2023,2022-07-16 15:00:00,2,Mladost Novi Sad,Vojvodina,0,4,4.8,3.3,1.6,1.03,9.0,1.33,3.1,1.96,1.76,3.4,1.28,7.0,1.07,1.83,1.87
2447559,Serbia SuperLiga,2022/2023,2022-07-17 12:30:00,2,Radnički Kragujevac,Mladost Lučani,1,0,2.6,3.1,2.45,0.0,0.0,0.0,0.0,1.95,1.75,0.0,0.0,0.0,0.0,0.0,0.0
