Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1266274,Slovakia Super Liga,2021/2022,2021-07-23 15:00:00,1,Trenčín,Zlaté Moravce,4,0,1.49,4.15,5.25,1.04,10.5,1.24,3.5,1.62,2.05,2.55,1.43,4.25,1.17,1.71,1.95
1266275,Slovakia Super Liga,2021/2022,2021-07-24 13:00:00,1,Liptovský Mikuláš,Slovan Bratislava,1,4,7.75,5.25,1.27,1.03,13.0,1.19,4.05,1.53,2.25,2.25,1.51,3.9,1.2,1.91,1.77
1266276,Slovakia Super Liga,2021/2022,2021-07-24 13:00:00,1,Ružomberok,Senica,0,0,1.48,4.15,5.25,1.05,9.5,1.3,3.05,1.8,1.83,2.95,1.32,5.25,1.13,1.87,1.8
1266278,Slovakia Super Liga,2021/2022,2021-07-25 12:00:00,1,Zemplín Michalovce,DAC,4,1,4.33,3.6,1.67,1.04,10.25,1.22,3.65,1.67,2.1,2.8,1.4,4.35,1.17,1.74,1.95
1266277,Slovakia Super Liga,2021/2022,2021-07-25 13:00:00,1,Žilina,Sereď,3,0,1.34,5.0,6.0,1.02,16.0,1.14,4.8,1.39,2.6,1.95,1.71,3.05,1.3,1.59,2.15
1266279,Slovakia Super Liga,2021/2022,2021-07-25 15:00:00,1,Spartak Trnava,Pohronie,2,0,1.65,3.4,4.9,1.07,7.75,1.31,3.0,1.87,1.77,3.0,1.3,5.75,1.11,1.83,1.8
1266280,Slovakia Super Liga,2021/2022,2021-07-30 15:00:00,2,Sereď,Ružomberok,2,3,2.45,3.05,2.75,1.11,6.0,1.5,2.3,2.35,1.49,3.8,1.21,7.25,1.08,2.05,1.67
1266282,Slovakia Super Liga,2021/2022,2021-07-31 13:00:00,2,Pohronie,Zemplín Michalovce,2,0,2.2,3.25,2.9,1.06,8.25,1.28,3.15,1.8,1.83,2.85,1.34,4.95,1.14,1.67,2.05
1266285,Slovakia Super Liga,2021/2022,2021-07-31 15:00:00,2,Slovan Bratislava,Trenčín,2,0,1.35,5.0,5.75,1.02,16.0,1.13,5.25,1.36,2.75,1.91,1.74,2.9,1.33,1.53,2.25
1266284,Slovakia Super Liga,2021/2022,2021-08-01 13:00:00,2,DAC,Liptovský Mikuláš,3,1,1.17,6.75,9.75,1.02,16.0,1.14,4.85,1.41,2.6,2.05,1.65,3.35,1.26,2.0,1.71
