Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1568105,South Korea K League 2,2022,2022-02-19 01:30:00,1,Gwangju,Gimpo Citizen,1,2,1.5,3.85,5.75,1.05,9.0,1.3,3.3,1.94,1.81,3.4,1.28,5.5,1.12,1.95,1.8
1568106,South Korea K League 2,2022,2022-02-19 04:00:00,1,Anyang,Jeonnam Dragons,1,0,2.15,3.0,3.3,1.1,6.5,1.47,2.55,2.28,1.6,4.75,1.16,8.0,1.06,2.05,1.72
1568107,South Korea K League 2,2022,2022-02-20 01:30:00,1,Ansan Greeners,Busan I'Park,1,1,2.88,2.98,2.29,1.08,7.0,1.38,2.9,2.09,1.66,4.0,1.22,7.0,1.08,1.9,1.83
1568108,South Korea K League 2,2022,2022-02-20 04:00:00,1,Gyeongnam,Seoul E-Land,0,1,2.71,2.96,2.42,1.08,7.0,1.38,2.9,2.25,1.57,4.0,1.22,8.0,1.06,1.9,1.83
1568109,South Korea K League 2,2022,2022-02-20 04:00:00,1,Bucheon 1995,Asan Mugunghwa,0,0,2.15,3.1,3.4,1.09,6.5,1.5,2.5,2.5,1.5,4.5,1.18,9.0,1.05,2.1,1.68
1568110,South Korea K League 2,2022,2022-02-26 01:30:00,2,Jeonnam Dragons,Gimpo Citizen,0,2,2.0,3.45,3.55,1.1,6.5,1.4,2.75,2.23,1.61,4.0,1.22,8.0,1.06,2.05,1.7
1568111,South Korea K League 2,2022,2022-02-26 04:00:00,2,Bucheon 1995,Ansan Greeners,2,1,2.55,3.05,2.85,1.11,6.0,1.5,2.5,2.48,1.5,4.75,1.15,9.0,1.05,2.05,1.7
1568112,South Korea K League 2,2022,2022-02-27 01:30:00,2,Anyang,Asan Mugunghwa,2,0,1.91,3.25,3.6,1.07,8.75,1.38,2.8,2.2,1.6,3.82,1.22,7.25,1.06,1.96,1.79
1568113,South Korea K League 2,2022,2022-02-27 04:00:00,2,Gwangju,Daejeon Citizen,2,0,1.95,3.1,3.7,1.07,8.75,1.38,2.9,2.15,1.61,3.75,1.23,7.0,1.07,1.93,1.83
1568115,South Korea K League 2,2022,2022-02-27 04:00:00,2,Gyeongnam,Busan I'Park,3,2,2.3,2.9,3.0,1.07,8.75,1.38,2.8,2.15,1.61,3.92,1.21,7.0,1.07,1.89,1.85
