Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2470336,Switzerland Super League,2022/2023,2022-07-16 13:00:00,1,Young Boys,Zürich,4,0,1.53,4.33,5.5,1.02,15.0,1.13,5.95,1.4,2.75,2.1,1.7,3.53,1.3,1.53,2.38
2470337,Switzerland Super League,2022/2023,2022-07-16 15:30:00,1,Winterthur,Basel,1,1,3.6,3.6,1.95,1.02,14.0,1.18,4.97,1.5,2.4,2.3,1.6,4.14,1.23,1.5,2.5
2470338,Switzerland Super League,2022/2023,2022-07-17 11:30:00,1,Lugano,Sion,2,3,1.85,3.4,4.0,1.05,9.25,1.27,3.73,1.87,1.83,3.11,1.37,5.91,1.13,1.8,1.91
2470339,Switzerland Super League,2022/2023,2022-07-17 11:30:00,1,Servette,St. Gallen,1,0,2.3,3.5,2.7,1.02,14.5,1.16,4.75,1.5,2.5,2.2,1.6,3.75,1.23,1.44,2.63
2470340,Switzerland Super League,2022/2023,2022-07-23 13:00:00,2,Zürich,Luzern,0,0,2.0,3.85,3.22,1.02,12.0,1.17,4.5,1.53,2.4,2.32,1.57,4.0,1.22,1.5,2.5
2470341,Switzerland Super League,2022/2023,2022-07-23 15:30:00,2,St. Gallen,Winterthur,2,0,1.84,4.05,3.58,1.02,12.0,1.17,4.5,1.5,2.48,2.28,1.58,3.75,1.25,1.51,2.4
2470342,Switzerland Super League,2022/2023,2022-07-24 09:15:00,2,Basel,Servette,1,1,1.66,3.78,3.82,1.02,13.5,1.16,4.75,1.5,2.48,2.25,1.57,3.7,1.24,1.5,2.5
2470343,Switzerland Super League,2022/2023,2022-07-24 11:30:00,2,Grasshopper,Lugano,2,1,2.14,3.55,3.0,1.05,10.0,1.25,3.6,1.97,1.9,2.85,1.36,5.25,1.13,1.67,2.1
2470344,Switzerland Super League,2022/2023,2022-07-24 11:30:00,2,Sion,Young Boys,0,3,4.2,4.25,1.65,1.02,13.5,1.16,4.75,1.5,2.48,2.25,1.57,3.75,1.23,1.53,2.38
2470345,Switzerland Super League,2022/2023,2022-07-30 13:00:00,3,St. Gallen,Zürich,2,0,1.97,4.2,3.15,1.02,12.0,1.14,5.0,1.45,2.63,2.25,1.57,3.6,1.25,1.42,2.75
