Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1432918,Tunisia Ligue 1,2021/2022,2021-10-16 10:00:00,1,Zarzis,Olympique Béja,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431955,Tunisia Ligue 1,2021/2022,2021-10-16 11:00:00,1,Club Africain,Rejiche,1,1,1.23,3.0,4.05,1.11,6.75,1.44,2.46,2.4,1.53,4.4,1.16,8.75,1.07,2.35,1.57
1431953,Tunisia Ligue 1,2021/2022,2021-10-17 11:00:00,1,Tataouine,CA Bizertin,2,1,2.42,2.59,3.13,1.19,4.6,1.65,2.12,3.0,1.33,5.75,1.14,12.0,1.05,2.45,1.52
1431956,Tunisia Ligue 1,2021/2022,2021-10-17 13:30:00,1,Monastir,Chebba,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1439665,Tunisia Ligue 1,2021/2022,2021-10-23 10:30:00,2,Hammam-Lif,Tataouine,1,2,2.83,2.82,2.68,1.12,5.75,1.47,2.5,2.5,1.5,5.0,1.15,11.0,1.04,2.18,1.65
1439664,Tunisia Ligue 1,2021/2022,2021-10-23 10:30:00,2,CA Bizertin,Hammam-Sousse,0,0,1.83,3.0,4.5,2.01,1.68,1.5,2.5,2.4,1.53,0.0,0.0,0.0,0.0,0.0,0.0
1439666,Tunisia Ligue 1,2021/2022,2021-10-23 10:30:00,2,Chebba,Zarzis,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1439668,Tunisia Ligue 1,2021/2022,2021-10-24 10:30:00,2,Olympique Béja,AS Slimane,1,0,1.96,2.73,3.65,1.06,7.1,1.53,2.4,2.38,1.53,4.3,1.17,9.5,1.03,2.24,1.59
1439667,Tunisia Ligue 1,2021/2022,2021-10-24 10:30:00,2,Rejiche,Monastir,0,1,2.67,2.64,2.52,1.11,6.25,1.53,2.38,2.73,1.4,5.7,1.16,12.5,1.02,2.1,1.68
1439669,Tunisia Ligue 1,2021/2022,2021-10-27 12:30:00,2,ES Tunis,CS Sfaxien,1,0,1.22,3.4,4.0,1.1,5.7,1.58,2.23,2.7,1.44,5.7,1.1,11.0,1.03,2.5,1.5
1439671,Tunisia Ligue 1,2021/2022,2021-10-28 10:30:00,2,Etoile du Sahel,Club Africain,1,0,1.86,3.3,4.2,1.07,6.55,1.5,2.5,2.55,1.46,4.8,1.14,10.0,1.02,2.27,1.6
1439670,Tunisia Ligue 1,2021/2022,2021-10-28 10:30:00,2,Métlaoui,Ben Guerdane,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443484,Tunisia Ligue 1,2021/2022,2021-10-30 10:30:00,3,CA Bizertin,ES Tunis,1,2,4.1,2.85,1.9,1.09,6.75,1.42,2.61,2.55,1.46,4.3,1.17,8.75,1.06,2.2,1.64
1443492,Tunisia Ligue 1,2021/2022,2021-10-30 10:30:00,3,Chebba,Olympique Béja,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443493,Tunisia Ligue 1,2021/2022,2021-10-30 10:30:00,3,Zarzis,Rejiche,0,0,2.65,2.75,2.65,1.11,6.0,1.48,2.48,2.75,1.4,4.7,1.14,9.5,1.05,2.17,1.66
1443485,Tunisia Ligue 1,2021/2022,2021-10-30 10:30:00,3,Hammam-Sousse,Hammam-Lif,2,1,2.2,2.88,3.25,0.0,0.0,0.0,0.0,2.5,1.47,0.0,0.0,0.0,0.0,0.0,0.0
1443487,Tunisia Ligue 1,2021/2022,2021-10-31 10:30:00,3,Ben Guerdane,CS Sfaxien,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443486,Tunisia Ligue 1,2021/2022,2021-10-31 10:30:00,3,Tataouine,Métlaoui,1,1,2.45,2.62,3.2,1.1,5.5,1.67,2.23,2.9,1.36,5.95,1.09,11.0,1.04,2.32,1.55
1443495,Tunisia Ligue 1,2021/2022,2021-10-31 12:30:00,3,Monastir,Etoile du Sahel,1,0,2.05,3.0,1.71,1.06,7.2,1.53,2.35,2.5,1.5,4.3,1.17,9.3,1.03,2.03,1.72
1443494,Tunisia Ligue 1,2021/2022,2021-10-31 12:30:00,3,Club Africain,AS Slimane,1,0,1.15,3.8,5.25,1.07,6.9,1.5,2.45,2.6,1.48,4.44,1.16,9.8,1.02,2.61,1.44
1443488,Tunisia Ligue 1,2021/2022,2021-11-03 10:30:00,4,Hammam-Lif,CA Bizertin,0,1,2.7,2.7,2.7,1.08,6.35,1.54,2.51,2.55,1.45,4.9,1.13,11.0,1.01,2.05,1.7
1443490,Tunisia Ligue 1,2021/2022,2021-11-03 10:30:00,4,Métlaoui,Hammam-Sousse,1,0,1.95,2.85,3.75,0.0,0.0,1.68,2.21,2.9,1.36,0.0,0.0,0.0,0.0,0.0,0.0
1443491,Tunisia Ligue 1,2021/2022,2021-11-03 10:30:00,4,Ben Guerdane,ES Tunis,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443489,Tunisia Ligue 1,2021/2022,2021-11-03 12:30:00,4,CS Sfaxien,Tataouine,1,0,1.97,2.9,4.24,1.19,4.2,1.63,2.14,4.5,1.16,8.9,1.03,11.0,1.02,2.75,1.4
1443496,Tunisia Ligue 1,2021/2022,2021-11-04 10:30:00,4,Rejiche,Chebba,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443497,Tunisia Ligue 1,2021/2022,2021-11-04 10:30:00,4,AS Slimane,Monastir,0,0,2.8,2.8,2.5,1.13,5.5,1.52,2.38,2.75,1.4,6.5,1.1,15.0,1.02,2.4,1.5
1443498,Tunisia Ligue 1,2021/2022,2021-11-04 10:30:00,4,Etoile du Sahel,Zarzis,1,1,1.33,3.95,8.0,1.06,9.5,1.32,3.1,1.97,1.75,3.4,1.28,6.75,1.1,2.3,1.55
1443499,Tunisia Ligue 1,2021/2022,2021-11-04 12:30:00,4,Club Africain,Olympique Béja,1,0,1.7,3.1,5.25,1.13,5.5,1.47,2.5,2.75,1.4,5.5,1.13,12.0,1.03,2.8,1.38
1445824,Tunisia Ligue 1,2021/2022,2021-11-06 10:30:00,5,CA Bizertin,Métlaoui,1,0,2.2,2.8,3.3,1.11,5.35,1.6,2.2,3.0,1.33,6.15,1.08,14.5,1.02,2.55,1.49
1445822,Tunisia Ligue 1,2021/2022,2021-11-06 10:30:00,5,Tataouine,Ben Guerdane,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445823,Tunisia Ligue 1,2021/2022,2021-11-06 10:30:00,5,Hammam-Sousse,CS Sfaxien,0,0,3.4,2.7,2.2,0.0,0.0,0.0,0.0,2.7,1.44,0.0,0.0,0.0,0.0,0.0,0.0
1445825,Tunisia Ligue 1,2021/2022,2021-11-06 12:30:00,5,ES Tunis,Hammam-Lif,2,0,1.09,5.25,7.0,1.01,14.5,1.16,4.8,1.7,2.1,2.4,1.5,3.84,1.21,2.63,1.44
1445826,Tunisia Ligue 1,2021/2022,2021-11-07 10:30:00,5,Zarzis,AS Slimane,0,0,2.87,2.58,2.61,1.14,5.5,1.6,2.2,2.94,1.35,5.25,1.15,11.0,1.02,2.15,1.62
1445828,Tunisia Ligue 1,2021/2022,2021-11-07 10:30:00,5,Olympique Béja,Rejiche,1,2,1.99,2.86,3.73,1.11,5.35,1.61,2.15,3.04,1.33,6.15,1.08,12.0,1.02,2.63,1.44
1445827,Tunisia Ligue 1,2021/2022,2021-11-07 10:30:00,5,Chebba,Etoile du Sahel,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445829,Tunisia Ligue 1,2021/2022,2021-11-07 12:30:00,5,Monastir,Club Africain,0,0,1.73,2.8,2.0,1.11,5.35,1.7,2.18,3.1,1.36,6.15,1.08,14.5,1.02,2.75,1.4
1431952,Tunisia Ligue 1,2021/2022,2021-11-14 10:00:00,1,Ben Guerdane,Hammam-Lif,1,2,1.7,3.15,5.6,1.13,5.5,1.6,2.2,2.85,1.4,5.75,1.13,12.5,1.03,2.65,1.42
1431954,Tunisia Ligue 1,2021/2022,2021-11-14 12:00:00,1,CS Sfaxien,Métlaoui,2,0,1.2,3.2,4.1,1.12,5.75,1.52,2.38,2.88,1.4,5.75,1.13,12.5,1.03,2.8,1.39
1447924,Tunisia Ligue 1,2021/2022,2021-11-17 12:00:00,6,CS Sfaxien,CA Bizertin,1,2,1.19,3.1,4.33,1.07,6.7,1.58,2.23,2.55,1.45,5.65,1.1,10.5,1.02,3.0,1.36
1447925,Tunisia Ligue 1,2021/2022,2021-11-18 10:00:00,6,Métlaoui,Hammam-Lif,2,2,1.77,3.18,4.93,1.07,6.7,1.52,2.42,2.47,1.48,4.8,1.14,10.5,1.02,2.63,1.44
1447926,Tunisia Ligue 1,2021/2022,2021-11-18 10:00:00,6,Ben Guerdane,Hammam-Sousse,2,1,1.69,3.4,5.1,1.06,7.2,1.56,2.34,2.59,1.44,4.5,1.17,9.4,1.03,3.25,1.29
1447934,Tunisia Ligue 1,2021/2022,2021-11-18 10:00:00,6,Club Africain,Zarzis,1,0,2.08,2.78,3.57,1.12,5.75,1.59,2.27,2.65,1.42,5.0,1.15,11.0,1.04,2.63,1.44
1447932,Tunisia Ligue 1,2021/2022,2021-11-18 10:00:00,6,AS Slimane,Chebba,1,0,2.13,2.99,3.63,1.09,6.0,1.61,2.23,2.73,1.4,5.6,1.11,12.0,1.04,2.63,1.44
1447933,Tunisia Ligue 1,2021/2022,2021-11-18 12:00:00,6,Monastir,Olympique Béja,2,1,1.15,3.25,5.0,1.08,6.4,1.67,2.15,2.56,1.45,5.2,1.13,11.0,1.01,3.25,1.3
1447935,Tunisia Ligue 1,2021/2022,2021-11-19 10:00:00,6,Etoile du Sahel,Rejiche,1,1,1.5,3.1,9.0,1.08,6.25,1.74,1.96,2.25,1.6,4.8,1.14,11.5,1.01,2.63,1.44
1447927,Tunisia Ligue 1,2021/2022,2021-11-19 10:00:00,6,Tataouine,ES Tunis,2,1,6.0,2.88,1.7,1.12,5.15,1.62,2.25,2.49,1.5,5.75,1.09,10.0,1.02,3.25,1.33
1447928,Tunisia Ligue 1,2021/2022,2021-11-21 10:00:00,7,CA Bizertin,Ben Guerdane,1,2,2.5,2.75,2.88,1.16,4.8,1.76,1.92,3.5,1.3,7.5,1.08,17.5,1.01,2.65,1.43
1447937,Tunisia Ligue 1,2021/2022,2021-11-21 10:00:00,7,Chebba,Club Africain,1,1,3.85,2.8,2.0,1.12,5.2,1.63,2.15,3.1,1.36,6.35,1.08,11.25,1.02,2.47,1.49
1447929,Tunisia Ligue 1,2021/2022,2021-11-21 10:00:00,7,Hammam-Lif,CS Sfaxien,1,2,4.5,2.65,1.74,1.12,6.0,1.53,2.4,2.59,1.44,4.8,1.17,10.25,1.05,2.15,1.64
1447936,Tunisia Ligue 1,2021/2022,2021-11-21 12:00:00,7,Zarzis,Monastir,0,1,3.85,3.0,1.23,1.17,4.8,1.61,2.16,3.05,1.34,6.0,1.12,13.0,1.03,2.85,1.38
1447930,Tunisia Ligue 1,2021/2022,2021-11-22 10:00:00,7,Hammam-Sousse,Tataouine,3,1,2.55,2.44,2.72,1.16,5.0,1.72,2.15,3.04,1.33,5.75,1.13,13.0,1.04,2.15,1.64
1447938,Tunisia Ligue 1,2021/2022,2021-11-22 10:00:00,7,Rejiche,AS Slimane,2,2,2.15,2.63,3.38,1.14,5.25,1.69,2.2,2.94,1.35,5.5,1.14,12.0,1.04,2.15,1.66
1447931,Tunisia Ligue 1,2021/2022,2021-11-22 10:00:00,7,ES Tunis,Métlaoui,3,0,1.37,4.14,9.5,1.06,9.25,1.48,2.5,2.4,1.5,4.85,1.17,10.5,1.05,3.0,1.35
1447939,Tunisia Ligue 1,2021/2022,2021-11-22 10:00:00,7,Olympique Béja,Etoile du Sahel,0,0,3.32,2.89,2.27,1.14,5.25,1.6,2.2,2.94,1.35,5.5,1.14,12.0,1.04,2.25,1.6
1431951,Tunisia Ligue 1,2021/2022,2021-11-25 10:00:00,1,Hammam-Sousse,ES Tunis,0,1,7.0,3.35,1.48,1.13,5.5,1.53,2.35,2.9,1.36,5.6,1.13,10.25,1.03,2.88,1.36
1431957,Tunisia Ligue 1,2021/2022,2021-11-25 10:00:00,1,AS Slimane,Etoile du Sahel,0,0,2.95,2.8,2.35,1.12,5.6,1.6,2.3,2.9,1.36,5.65,1.13,12.0,1.03,2.26,1.57
1566389,Tunisia Ligue 1,2021/2022,2022-02-19 10:00:00,8,Chebba,Monastir,0,0,2.8,2.9,2.65,1.11,5.5,1.62,2.17,3.0,1.33,6.3,1.08,12.0,1.02,2.46,1.52
1566561,Tunisia Ligue 1,2021/2022,2022-02-19 10:00:00,8,CA Bizertin,Tataouine,0,1,2.15,3.2,3.3,1.07,6.7,1.51,2.44,2.48,1.48,4.9,1.14,10.5,1.01,2.2,1.64
1566386,Tunisia Ligue 1,2021/2022,2022-02-20 10:00:00,8,Rejiche,Club Africain,0,1,2.7,2.9,2.6,1.13,5.5,1.66,2.14,3.0,1.33,6.5,1.1,15.0,1.02,2.5,1.47
