Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1303125,Turkey Süper Lig,2021/2022,2021-08-13 14:30:00,1,Beşiktaş,Rizespor,3,0,1.61,4.1,4.95,1.05,12.0,1.22,4.2,1.61,2.3,2.4,1.56,3.95,1.25,1.71,2.1
1303124,Turkey Süper Lig,2021/2022,2021-08-14 13:15:00,1,Fatih Karagümrük,Gazişehir Gaziantep,3,2,2.0,3.4,3.75,1.07,9.25,1.3,3.45,1.83,1.95,2.95,1.38,5.25,1.16,1.74,2.05
1303132,Turkey Süper Lig,2021/2022,2021-08-14 15:45:00,1,Hatayspor,Kasımpaşa,1,1,2.15,3.6,3.05,1.05,12.0,1.24,4.1,1.65,2.2,2.5,1.5,4.15,1.22,1.57,2.35
1303131,Turkey Süper Lig,2021/2022,2021-08-14 15:45:00,1,Altay,Kayserispor,3,0,1.87,3.6,3.95,1.08,8.5,1.35,3.1,1.95,1.8,3.3,1.32,6.25,1.12,1.91,1.87
1303130,Turkey Süper Lig,2021/2022,2021-08-15 13:15:00,1,İstanbul Başakşehir,Alanyaspor,0,1,2.1,3.15,3.65,1.1,7.5,1.39,2.9,2.1,1.71,3.45,1.29,6.75,1.11,1.91,1.87
1303127,Turkey Süper Lig,2021/2022,2021-08-15 15:45:00,1,Antalyaspor,Göztepe,1,1,2.39,3.42,2.94,1.1,7.5,1.33,3.3,1.96,1.83,3.3,1.32,6.25,1.12,1.83,1.95
1303129,Turkey Süper Lig,2021/2022,2021-08-15 15:45:00,1,Adana Demirspor,Fenerbahçe,0,1,4.7,4.08,1.69,1.05,12.0,1.25,3.95,1.64,2.12,2.75,1.44,4.4,1.2,1.61,2.3
1303126,Turkey Süper Lig,2021/2022,2021-08-16 13:15:00,1,Yeni Malatyaspor,Trabzonspor,1,5,3.8,3.55,1.91,1.07,9.5,1.3,3.4,1.83,1.95,3.0,1.38,5.5,1.15,1.8,2.0
1303128,Turkey Süper Lig,2021/2022,2021-08-16 13:15:00,1,Sivasspor,Konyaspor,0,1,2.15,3.05,3.6,1.13,6.0,1.54,2.45,2.45,1.54,4.35,1.21,9.0,1.08,2.15,1.67
1303123,Turkey Süper Lig,2021/2022,2021-08-16 15:45:00,1,Giresunspor,Galatasaray,0,2,4.65,4.0,1.52,1.07,9.25,1.31,3.35,1.67,2.2,2.75,1.44,5.5,1.15,1.8,1.95
1303138,Turkey Süper Lig,2021/2022,2021-08-20 14:30:00,2,Kayserispor,Adana Demirspor,1,1,3.15,3.25,2.25,1.08,8.75,1.32,3.25,1.87,1.91,3.0,1.37,5.5,1.15,1.71,2.1
1303134,Turkey Süper Lig,2021/2022,2021-08-21 13:15:00,2,Kasımpaşa,Giresunspor,2,0,2.15,3.25,3.35,1.08,8.75,1.31,3.35,1.87,1.91,3.0,1.38,5.25,1.16,1.71,2.1
1303142,Turkey Süper Lig,2021/2022,2021-08-21 13:15:00,2,Rizespor,Fatih Karagümrük,0,0,2.75,3.15,2.55,1.07,9.0,1.3,3.45,1.83,1.95,2.9,1.4,5.25,1.17,1.67,2.15
1303133,Turkey Süper Lig,2021/2022,2021-08-21 15:45:00,2,Gazişehir Gaziantep,Beşiktaş,0,0,4.45,3.9,1.71,1.06,11.0,1.25,3.9,1.69,2.15,2.6,1.48,4.5,1.2,1.71,2.1
