Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5071882,USA USL Championship,2023,2023-03-11 19:00:00,0,Memphis 901,Loudoun United,1,3,1.34,3.7,5.71,1.04,10.0,1.2,4.32,1.6,2.23,2.5,1.5,4.32,1.2,1.85,1.85
5071883,USA USL Championship,2023,2023-03-11 19:00:00,0,Miami FC,Tulsa Roughnecks,1,1,1.53,3.46,4.07,0.0,0.0,0.0,0.0,1.68,2.08,0.0,0.0,0.0,0.0,0.0,0.0
5071880,USA USL Championship,2023,2023-03-11 21:30:00,0,Tampa Bay Rowdies,Indy Eleven,1,1,1.38,3.59,5.31,1.02,16.5,1.19,4.17,1.6,2.23,2.52,1.46,4.35,1.18,1.82,1.88
5071881,USA USL Championship,2023,2023-03-11 21:30:00,0,Charleston Battery,Phoenix Rising,1,1,2.79,3.46,1.84,1.05,9.0,1.25,3.74,1.69,1.82,3.0,1.36,5.0,1.14,1.72,2.0
5071884,USA USL Championship,2023,2023-03-11 21:30:00,0,Birmingham Legion,Pittsburgh Riverhounds,1,1,1.62,3.29,3.73,1.05,9.0,1.25,3.74,1.67,1.84,3.0,1.36,5.0,1.14,1.75,1.95
5071885,USA USL Championship,2023,2023-03-11 22:30:00,0,San Antonio,Oakland Roots,3,1,1.48,3.19,4.95,1.05,9.0,1.25,3.74,1.67,1.84,3.0,1.36,5.0,1.14,1.85,1.85
5071886,USA USL Championship,2023,2023-03-11 23:30:00,0,El Paso Locomotive,Sacramento Republic,0,1,2.16,2.97,2.56,1.02,10.0,1.22,3.74,1.69,1.83,3.0,1.33,6.0,1.11,1.62,2.15
5071887,USA USL Championship,2023,2023-03-12 00:00:00,0,Monterey Bay,Hartford Athletic,5,3,2.16,2.65,2.87,1.05,9.0,1.29,3.5,1.69,1.82,3.0,1.36,5.5,1.13,1.67,2.15
5071888,USA USL Championship,2023,2023-03-12 00:00:00,0,San Diego Loyal,Detroit City FC,1,0,1.48,3.19,4.95,1.05,9.0,1.22,4.0,1.75,1.98,2.63,1.45,4.74,1.16,1.75,1.95
5071889,USA USL Championship,2023,2023-03-12 00:00:00,0,Orange County SC,Louisville City,1,3,2.55,3.43,1.97,1.05,9.0,1.25,3.74,1.68,1.84,3.0,1.36,5.0,1.14,1.68,2.05
5071890,USA USL Championship,2023,2023-03-12 21:00:00,0,Rio Grande Valley,Las Vegas Lights,1,1,1.55,3.5,5.5,1.03,11.0,1.2,4.2,1.64,2.15,2.6,1.45,4.32,1.2,1.75,2.0
5094031,USA USL Championship,2023,2023-03-15 22:00:00,0,El Paso Locomotive,Colorado Springs,1,2,2.27,3.52,2.82,1.04,10.0,1.22,4.0,1.67,2.07,2.62,1.44,4.5,1.17,1.62,2.2
5094032,USA USL Championship,2023,2023-03-17 21:00:00,0,Birmingham Legion,Tulsa Roughnecks,3,2,1.67,3.8,4.5,1.03,11.0,1.18,4.5,1.58,2.25,2.45,1.52,4.0,1.22,1.6,2.25
5094034,USA USL Championship,2023,2023-03-18 18:00:00,0,Memphis 901,Pittsburgh Riverhounds,1,3,1.89,2.86,3.22,1.05,9.0,1.25,3.75,1.67,1.84,2.75,1.4,5.0,1.14,1.67,2.1
5094035,USA USL Championship,2023,2023-03-18 20:00:00,0,Miami FC,New Mexico United,0,1,2.15,3.25,3.2,0.0,0.0,0.0,0.0,1.85,1.87,0.0,0.0,0.0,0.0,0.0,0.0
5071891,USA USL Championship,2023,2023-03-18 21:00:00,0,Colorado Springs,Hartford Athletic,1,1,1.62,3.8,4.33,1.03,11.0,1.2,4.33,1.57,2.25,2.38,1.53,4.0,1.22,1.6,2.25
5094033,USA USL Championship,2023,2023-03-18 22:30:00,0,El Paso Locomotive,Detroit City FC,1,3,1.85,3.25,3.9,1.05,9.0,1.25,3.75,1.67,1.86,2.75,1.4,5.0,1.14,1.7,2.05
5071892,USA USL Championship,2023,2023-03-18 23:00:00,0,Sacramento Republic,Charleston Battery,1,1,1.6,3.75,4.75,1.05,9.0,1.25,3.75,1.71,2.02,2.75,1.4,4.75,1.15,1.73,2.0
5094036,USA USL Championship,2023,2023-03-18 23:00:00,0,Monterey Bay,Louisville City,0,1,3.97,3.36,1.56,1.04,10.0,1.2,4.33,1.53,2.07,2.5,1.5,4.33,1.2,1.62,2.2
5094037,USA USL Championship,2023,2023-03-18 23:00:00,0,Orange County SC,Tampa Bay Rowdies,1,1,2.6,3.2,2.55,1.05,9.0,1.25,3.75,1.75,2.0,2.75,1.4,5.0,1.14,1.67,2.1
5071893,USA USL Championship,2023,2023-03-19 17:00:00,0,Loudoun United,San Antonio,1,1,3.9,3.5,1.73,1.04,10.0,1.22,4.0,1.63,1.92,2.62,1.44,4.5,1.17,1.67,2.1
5094039,USA USL Championship,2023,2023-03-19 19:00:00,0,San Diego Loyal,Phoenix Rising,3,0,1.93,3.3,3.3,1.05,9.0,1.25,3.75,1.68,1.85,2.75,1.4,5.0,1.14,1.67,2.1
5094038,USA USL Championship,2023,2023-03-19 21:00:00,0,Rio Grande Valley,Oakland Roots,1,1,2.0,3.3,3.1,1.05,9.0,1.25,3.74,1.86,2.0,2.75,1.4,5.0,1.14,1.68,2.1
5071894,USA USL Championship,2023,2023-03-24 20:00:00,0,Pittsburgh Riverhounds,Miami FC,1,1,1.93,3.4,3.6,0.0,0.0,0.0,0.0,1.83,1.9,0.0,0.0,0.0,0.0,0.0,0.0
5094040,USA USL Championship,2023,2023-03-24 21:00:00,0,Rio Grande Valley,Monterey Bay,1,1,1.6,3.9,4.8,1.05,9.0,1.22,3.83,1.65,2.15,2.74,1.4,4.83,1.15,1.8,1.96
5071897,USA USL Championship,2023,2023-03-25 15:00:00,0,Hartford Athletic,Birmingham Legion,0,1,3.0,3.5,1.99,1.05,13.25,1.25,3.75,1.76,1.96,3.0,1.36,5.0,1.14,1.62,2.24
5071898,USA USL Championship,2023,2023-03-25 16:00:00,0,Louisville City,El Paso Locomotive,0,3,1.42,4.4,5.3,1.04,10.0,1.17,4.5,1.55,2.3,2.34,1.53,4.0,1.22,1.7,2.1
5071895,USA USL Championship,2023,2023-03-25 17:00:00,0,Detroit City FC,Indy Eleven,0,1,1.75,3.4,4.2,1.04,12.5,1.24,3.63,1.73,1.91,2.88,1.36,5.2,1.13,1.72,2.0
