Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
3543196,Ukraine Ukrainian Premier League,2022/2023,2022-08-23 07:00:00,1,Shakhtar Donetsk,Metalist 1925 Kharkiv,0,0,1.29,5.25,8.5,1.02,19.25,1.21,4.1,1.61,2.18,2.38,1.55,4.8,1.16,1.97,1.78
3543191,Ukraine Ukrainian Premier League,2022/2023,2022-08-23 09:00:00,1,Chornomorets,Veres Rivne,0,1,2.25,3.0,3.1,0.0,0.0,0.0,0.0,2.08,1.7,0.0,0.0,0.0,0.0,0.0,0.0
3543192,Ukraine Ukrainian Premier League,2022/2023,2022-08-23 09:00:00,1,Zorya,Vorskla,3,1,2.5,3.2,2.7,1.01,12.0,1.29,3.4,2.0,1.76,3.24,1.32,6.1,1.1,1.73,2.03
3543193,Ukraine Ukrainian Premier League,2022/2023,2022-08-23 11:00:00,1,Kolos Kovalivka,Hirnyk,1,0,2.4,3.1,2.6,1.02,11.5,1.3,3.3,2.0,1.73,3.34,1.3,6.4,1.1,1.78,1.97
3543190,Ukraine Ukrainian Premier League,2022/2023,2022-08-24 09:00:00,1,Rukh Vynnyky,Metal Kharkiv,1,2,2.21,3.05,2.93,1.06,9.8,1.33,3.05,2.03,1.7,3.5,1.26,6.5,1.08,1.84,1.9
3543195,Ukraine Ukrainian Premier League,2022/2023,2022-08-25 07:00:00,7,Inhulets,Oleksandria,1,2,3.3,3.25,2.05,1.05,8.5,1.44,2.8,2.3,1.55,4.3,1.2,8.5,1.05,2.02,1.74
3543200,Ukraine Ukrainian Premier League,2022/2023,2022-08-27 07:00:00,2,Vorskla,Veres Rivne,1,2,1.7,3.3,4.5,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0
3543202,Ukraine Ukrainian Premier League,2022/2023,2022-08-27 07:00:00,2,Lviv,Zorya,2,3,5.3,3.9,1.65,1.04,11.75,1.26,3.52,1.88,1.93,2.98,1.34,5.4,1.12,1.8,1.9
3543197,Ukraine Ukrainian Premier League,2022/2023,2022-08-27 09:00:00,2,Metalist 1925 Kharkiv,Chornomorets,0,0,2.1,3.0,3.3,1.05,8.0,1.33,3.0,2.18,1.67,4.0,1.2,8.0,1.05,1.85,1.85
3543198,Ukraine Ukrainian Premier League,2022/2023,2022-08-28 07:00:00,2,Kolos Kovalivka,Rukh Vynnyky,2,0,2.15,3.35,3.05,1.04,12.0,1.29,3.3,1.89,1.82,3.2,1.3,5.8,1.1,1.77,2.0
3543204,Ukraine Ukrainian Premier League,2022/2023,2022-08-28 09:00:00,2,Shakhtar Donetsk,Hirnyk,1,0,1.36,4.2,7.0,1.03,16.25,1.21,3.98,1.61,2.15,2.63,1.43,4.58,1.16,1.92,1.84
3543203,Ukraine Ukrainian Premier League,2022/2023,2022-08-28 11:00:00,2,Dynamo Kyiv,Dnipro-1,0,3,1.36,4.6,6.75,1.01,27.0,1.11,5.55,1.65,2.1,1.98,1.74,3.15,1.31,1.61,2.25
3543201,Ukraine Ukrainian Premier League,2022/2023,2022-08-29 07:00:00,2,Metal Kharkiv,Inhulets,1,1,2.25,3.1,2.95,1.03,10.5,1.33,3.1,2.0,1.72,3.6,1.27,7.0,1.08,1.98,1.78
3543199,Ukraine Ukrainian Premier League,2022/2023,2022-08-29 09:00:00,2,Oleksandria,Minai,2,1,1.73,3.6,4.4,1.03,10.0,1.35,3.1,1.94,1.92,3.64,1.25,7.1,1.08,2.02,1.76
3543212,Ukraine Ukrainian Premier League,2022/2023,2022-09-02 11:00:00,3,Rukh Vynnyky,Shakhtar Donetsk,0,1,6.25,4.5,1.4,1.01,17.0,1.11,5.75,1.56,2.35,1.95,1.83,2.95,1.33,1.68,2.05
3543210,Ukraine Ukrainian Premier League,2022/2023,2022-09-03 07:00:00,3,Dnipro-1,Veres Rivne,2,0,1.46,4.2,5.6,0.0,0.0,0.0,0.0,1.74,1.93,0.0,0.0,0.0,0.0,0.0,0.0
3543211,Ukraine Ukrainian Premier League,2022/2023,2022-09-03 07:00:00,3,Zorya,Dynamo Kyiv,3,2,5.4,4.35,1.46,1.03,12.0,1.21,4.2,1.65,2.11,2.7,1.47,4.7,1.17,1.89,1.87
3543208,Ukraine Ukrainian Premier League,2022/2023,2022-09-03 09:00:00,3,Metalist 1925 Kharkiv,Vorskla,3,2,4.0,3.6,1.7,1.02,11.5,1.3,3.25,1.95,1.91,3.85,1.23,6.2,1.1,1.89,1.85
3543206,Ukraine Ukrainian Premier League,2022/2023,2022-09-04 09:00:00,3,Chornomorets,Inhulets,1,1,2.05,3.48,3.18,1.01,13.5,1.02,11.0,2.05,1.7,1.18,4.5,1.44,2.65,1.08,7.1
3543205,Ukraine Ukrainian Premier League,2022/2023,2022-09-04 11:00:00,3,Hirnyk,Lviv,0,0,1.67,3.4,4.6,1.05,11.5,1.28,3.35,1.87,1.83,3.15,1.31,5.75,1.1,1.88,1.88
3543207,Ukraine Ukrainian Premier League,2022/2023,2022-09-05 07:00:00,3,Minai,Kolos Kovalivka,1,1,3.84,3.69,1.79,1.04,9.1,1.41,2.9,1.74,1.93,4.0,1.22,8.0,1.06,2.01,1.76
3543209,Ukraine Ukrainian Premier League,2022/2023,2022-09-05 09:00:00,3,Oleksandria,Metal Kharkiv,1,3,1.84,3.48,3.72,1.03,10.5,1.33,3.15,1.65,2.11,3.54,1.27,6.8,1.08,1.88,1.88
3543218,Ukraine Ukrainian Premier League,2022/2023,2022-09-09 11:00:00,4,Rukh Vynnyky,Zorya,3,1,3.14,3.25,1.84,1.02,11.0,1.31,3.24,1.68,1.84,3.44,1.28,6.6,1.09,1.82,1.92
3543213,Ukraine Ukrainian Premier League,2022/2023,2022-09-10 09:00:00,4,Hirnyk,Veres Rivne,0,1,2.44,3.1,2.58,0.0,0.0,0.0,0.0,1.84,1.97,0.0,0.0,0.0,0.0,0.0,0.0
3543220,Ukraine Ukrainian Premier League,2022/2023,2022-09-10 11:00:00,4,Shakhtar Donetsk,Chornomorets,2,1,1.2,5.6,11.0,1.02,21.5,1.15,4.9,1.43,2.49,2.18,1.61,3.9,1.23,2.18,1.65
3543217,Ukraine Ukrainian Premier League,2022/2023,2022-09-11 07:00:00,4,Dnipro-1,Metalist 1925 Kharkiv,3,0,1.43,4.58,5.86,1.02,18.0,1.18,4.33,1.65,2.1,1.96,1.75,4.15,1.19,1.85,1.91
3543216,Ukraine Ukrainian Premier League,2022/2023,2022-09-11 09:00:00,4,Kolos Kovalivka,Metal Kharkiv,1,0,2.21,3.35,3.0,1.04,13.0,1.24,3.7,1.92,1.82,2.83,1.38,5.1,1.13,1.64,2.2
3543219,Ukraine Ukrainian Premier League,2022/2023,2022-09-11 11:00:00,4,Dynamo Kyiv,Lviv,1,0,1.22,5.49,8.98,1.02,20.0,1.17,4.6,1.55,2.3,2.3,1.57,4.2,1.21,2.33,1.57
3543215,Ukraine Ukrainian Premier League,2022/2023,2022-09-12 07:00:00,4,Vorskla,Oleksandria,0,0,2.35,3.5,2.58,1.03,10.5,1.33,3.1,1.65,2.11,3.6,1.27,7.0,1.08,1.86,1.9
3543214,Ukraine Ukrainian Premier League,2022/2023,2022-09-12 09:00:00,4,Inhulets,Minai,1,2,2.26,3.1,2.99,1.04,9.4,1.39,3.0,2.12,1.65,3.9,1.23,7.7,1.06,1.91,1.85
3543194,Ukraine Ukrainian Premier League,2022/2023,2022-09-25 07:00:00,1,Minai,Lviv,0,1,2.08,2.98,2.98,1.02,11.0,1.32,3.2,1.9,1.7,3.44,1.28,6.6,1.09,1.87,1.87
3543221,Ukraine Ukrainian Premier League,2022/2023,2022-09-30 07:00:00,5,Veres Rivne,Rukh Vynnyky,2,2,2.38,3.25,2.75,0.0,0.0,0.0,0.0,1.55,2.3,0.0,0.0,0.0,0.0,0.0,0.0
3543222,Ukraine Ukrainian Premier League,2022/2023,2022-09-30 11:00:00,5,Metalist 1925 Kharkiv,Kolos Kovalivka,2,0,2.6,3.1,2.6,1.01,12.0,1.29,3.4,2.1,1.65,3.24,1.31,6.1,1.1,1.71,2.06
3543224,Ukraine Ukrainian Premier League,2022/2023,2022-10-01 07:00:00,5,Inhulets,Vorskla,0,1,3.3,3.4,2.0,1.01,9.9,1.16,4.4,1.77,1.97,2.4,1.48,4.2,1.17,1.55,2.38
3543225,Ukraine Ukrainian Premier League,2022/2023,2022-10-01 09:00:00,5,Lviv,Dnipro-1,0,3,4.75,3.5,1.62,1.02,14.5,1.14,4.6,1.63,2.18,2.25,1.57,3.94,1.19,1.66,2.16
3543228,Ukraine Ukrainian Premier League,2022/2023,2022-10-01 11:00:00,5,Metal Kharkiv,Shakhtar Donetsk,1,6,9.0,4.9,1.3,1.01,10.25,1.22,3.64,1.93,1.83,2.84,1.35,5.2,1.11,2.23,1.62
3543227,Ukraine Ukrainian Premier League,2022/2023,2022-10-02 07:00:00,5,Minai,Dynamo Kyiv,0,1,9.0,5.25,1.25,1.03,16.0,1.19,4.3,1.57,2.28,2.6,1.49,4.5,1.18,2.23,1.62
3543223,Ukraine Ukrainian Premier League,2022/2023,2022-10-02 09:00:00,5,Chornomorets,Oleksandria,1,2,3.0,3.4,2.12,1.01,18.0,1.18,4.6,1.6,2.2,2.48,1.53,4.2,1.2,1.52,2.46
3543226,Ukraine Ukrainian Premier League,2022/2023,2022-10-02 11:00:00,5,Zorya,Hirnyk,2,2,1.5,4.2,5.2,1.01,18.0,1.11,5.2,1.6,2.23,2.19,1.68,3.42,1.25,1.53,2.42
3543233,Ukraine Ukrainian Premier League,2022/2023,2022-10-07 09:00:00,6,Veres Rivne,Metal Kharkiv,1,2,2.38,3.39,2.82,0.0,0.0,0.0,0.0,1.87,1.88,0.0,0.0,0.0,0.0,0.0,0.0
3543229,Ukraine Ukrainian Premier League,2022/2023,2022-10-07 11:00:00,6,Kolos Kovalivka,Inhulets,0,0,1.7,3.45,4.45,1.01,14.5,1.23,3.84,1.97,1.69,2.9,1.41,5.2,1.14,1.74,2.04
3543232,Ukraine Ukrainian Premier League,2022/2023,2022-10-08 07:00:00,6,Vorskla,Chornomorets,2,1,1.83,3.2,3.85,1.02,11.5,1.14,5.2,1.75,2.05,2.25,1.64,3.7,1.25,1.45,2.66
3543234,Ukraine Ukrainian Premier League,2022/2023,2022-10-09 07:00:00,6,Dnipro-1,Zorya,3,0,2.5,3.54,2.7,1.01,17.0,1.18,4.4,1.6,2.25,2.55,1.51,4.4,1.19,1.53,2.43
3543231,Ukraine Ukrainian Premier League,2022/2023,2022-10-09 09:00:00,6,Hirnyk,Minai,0,0,2.18,3.44,3.07,1.05,9.75,1.27,3.4,1.86,1.94,3.0,1.34,5.5,1.12,1.75,2.03
3543235,Ukraine Ukrainian Premier League,2022/2023,2022-10-09 11:00:00,6,Dynamo Kyiv,Rukh Vynnyky,3,0,1.27,5.0,9.0,1.01,16.0,1.19,4.3,1.8,1.96,2.6,1.49,4.5,1.18,2.07,1.72
3543239,Ukraine Ukrainian Premier League,2022/2023,2022-10-14 07:00:00,7,Minai,Veres Rivne,1,1,3.09,3.3,2.37,0.0,0.0,0.0,0.0,2.02,1.8,0.0,0.0,0.0,0.0,0.0,0.0
3543240,Ukraine Ukrainian Premier League,2022/2023,2022-10-15 07:00:00,7,Metal Kharkiv,Vorskla,3,2,3.75,3.45,1.92,1.04,11.0,1.23,3.94,1.63,2.05,2.85,1.42,5.0,1.15,1.68,2.13
