Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1569136,Uruguay Primera División,2022,2022-02-05 09:30:00,1,Torque,Cerro Largo,1,1,2.02,3.05,3.05,1.03,13.0,1.25,3.7,1.8,1.71,2.9,1.37,5.5,1.14,1.8,1.91
1569137,Uruguay Primera División,2022,2022-02-05 17:00:00,1,Fénix,Peñarol,1,0,4.9,3.78,1.67,1.04,11.0,1.3,3.25,1.89,1.91,3.25,1.3,6.25,1.11,1.83,1.83
1569138,Uruguay Primera División,2022,2022-02-05 19:30:00,1,Defensor Sporting,Liverpool FC Montevideo,0,3,3.25,3.35,1.99,1.05,10.25,1.3,3.25,1.88,1.92,3.1,1.33,6.0,1.12,1.67,2.1
1569139,Uruguay Primera División,2022,2022-02-06 09:30:00,1,Albion,Rentistas,3,5,2.5,3.25,2.7,0.0,0.0,0.0,0.0,2.23,1.62,0.0,0.0,0.0,0.0,1.91,1.8
1569140,Uruguay Primera División,2022,2022-02-06 17:00:00,1,Boston River,Plaza Colonia,0,0,2.75,3.15,2.28,2.3,1.62,1.4,2.75,2.23,1.62,3.75,1.25,7.25,1.09,1.91,1.8
1569141,Uruguay Primera División,2022,2022-02-06 20:00:00,1,Nacional,Deportivo Maldonado,2,3,1.36,4.3,6.5,1.04,12.0,1.26,3.6,1.83,1.97,3.0,1.35,5.75,1.13,2.0,1.73
1569142,Uruguay Primera División,2022,2022-02-07 17:00:00,1,River Plate,Wanderers,1,1,2.41,3.4,2.77,1.02,9.8,1.28,3.34,1.84,1.67,3.2,1.3,6.3,1.09,1.73,2.0
1569143,Uruguay Primera División,2022,2022-02-08 20:00:00,1,Cerrito,Danubio,0,1,2.48,3.15,2.51,1.08,7.7,1.42,2.65,2.2,1.6,4.18,1.19,7.8,1.05,1.91,1.8
1570673,Uruguay Primera División,2022,2022-02-11 20:15:00,2,Torque,Fénix,1,2,2.0,3.1,3.35,1.08,7.0,1.36,3.0,2.15,1.61,3.75,1.25,7.0,1.08,1.91,1.8
1570674,Uruguay Primera División,2022,2022-02-12 17:00:00,2,Plaza Colonia,River Plate,0,1,2.15,2.88,2.79,1.08,7.0,3.46,1.28,2.07,1.68,3.75,1.25,7.0,1.08,1.85,1.85
