Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1597222,Venezuela Primera División,2022,2022-02-24 18:00:00,1,Deportivo La Guaira,Metropolitanos,1,0,2.55,3.0,2.5,1.09,6.75,1.47,2.45,2.3,1.52,4.15,1.19,8.5,1.06,2.0,1.71
1597223,Venezuela Primera División,2022,2022-02-24 20:15:00,1,Academia Puerto Cabello,Portuguesa,1,1,2.0,3.1,3.3,1.06,8.5,1.36,2.85,2.1,1.64,3.6,1.25,7.0,1.09,1.83,1.86
1597224,Venezuela Primera División,2022,2022-02-25 18:00:00,1,UCV,Carabobo,0,0,2.41,2.99,2.77,1.03,9.0,1.32,3.1,2.08,1.78,3.54,1.25,6.9,1.07,1.9,1.8
1597225,Venezuela Primera División,2022,2022-02-25 20:15:00,1,Hermanos Colmenares,Zamora,1,1,2.83,3.12,2.29,1.06,8.5,1.31,3.2,1.96,1.88,3.3,1.3,6.25,1.1,1.75,1.98
1597226,Venezuela Primera División,2022,2022-02-26 18:00:00,1,Mineros de Guayana,Monagas,1,3,2.58,3.17,2.46,1.03,9.3,1.3,3.2,2.02,1.83,3.34,1.28,6.6,1.07,1.75,1.95
1597227,Venezuela Primera División,2022,2022-02-26 20:15:00,1,Caracas,Aragua,1,0,1.53,3.73,5.3,1.08,7.5,1.32,3.1,1.93,1.78,3.2,1.32,6.0,1.11,2.05,1.7
1597228,Venezuela Primera División,2022,2022-02-27 16:00:00,1,Estudiantes Mérida,Deportivo Táchira,1,2,3.12,3.13,2.13,1.07,8.25,1.35,3.0,2.05,1.7,3.6,1.26,7.0,1.09,1.85,1.85
1597229,Venezuela Primera División,2022,2022-02-27 18:30:00,1,Zulia,Deportivo Lara,0,1,2.97,2.98,2.29,1.09,7.0,1.39,2.75,2.15,1.61,3.9,1.23,7.75,1.07,1.88,1.82
1597230,Venezuela Primera División,2022,2022-03-03 18:00:00,2,Metropolitanos,UCV,2,0,2.1,2.8,3.7,1.08,7.5,1.38,2.75,2.15,1.62,3.6,1.25,6.75,1.09,2.04,1.74
1597231,Venezuela Primera División,2022,2022-03-03 20:15:00,2,Deportivo Lara,Caracas,1,1,2.45,2.75,3.0,1.11,6.25,1.5,2.4,2.45,1.46,4.35,1.18,9.0,1.06,1.97,1.8
1597232,Venezuela Primera División,2022,2022-03-04 18:00:00,2,Aragua,Hermanos Colmenares,1,0,2.04,3.4,3.5,2.35,1.49,1.32,3.13,2.1,1.67,3.4,1.27,6.25,1.09,1.8,1.9
1597233,Venezuela Primera División,2022,2022-03-04 20:15:00,2,Zamora,Estudiantes Mérida,2,0,1.97,3.52,3.6,1.05,10.25,2.64,1.37,1.87,1.83,3.37,1.28,6.2,1.09,1.85,1.91
1597234,Venezuela Primera División,2022,2022-03-05 18:00:00,2,Deportivo Táchira,Zulia,3,0,1.62,3.98,5.05,1.03,14.25,2.27,1.52,1.82,2.03,2.65,1.42,4.72,1.15,1.92,1.82
1597235,Venezuela Primera División,2022,2022-03-05 20:15:00,2,Carabobo,Monagas,1,2,2.6,3.32,2.6,1.03,9.0,2.82,1.33,2.01,1.84,3.54,1.25,7.0,1.07,1.8,1.97
1597236,Venezuela Primera División,2022,2022-03-06 16:00:00,2,Deportivo La Guaira,Academia Puerto Cabello,2,1,1.75,3.2,4.2,1.08,7.5,2.12,1.59,2.17,1.62,3.82,1.22,7.25,1.08,1.87,1.83
1597237,Venezuela Primera División,2022,2022-03-06 18:30:00,2,Portuguesa,Mineros de Guayana,0,2,1.95,3.2,3.3,1.04,8.6,3.71,1.18,2.08,1.67,3.82,1.22,7.4,1.06,2.05,1.7
1597238,Venezuela Primera División,2022,2022-03-10 18:00:00,3,Mineros de Guayana,Deportivo Lara,1,0,2.67,2.91,2.49,1.11,6.45,1.5,2.42,2.12,1.64,4.75,1.15,8.8,1.04,2.08,1.7
1597239,Venezuela Primera División,2022,2022-03-10 20:15:00,3,Academia Puerto Cabello,Aragua,2,1,2.46,2.92,2.7,1.1,5.7,1.59,2.22,2.18,1.61,5.05,1.12,9.35,1.03,2.18,1.64
1597240,Venezuela Primera División,2022,2022-03-11 16:00:00,3,Estudiantes Mérida,Carabobo,0,0,2.29,3.32,3.02,1.06,9.8,1.34,3.0,2.17,1.61,3.52,1.26,6.5,1.08,1.82,1.88
