League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
INDONESIA - LIGA 1,16/09/2024,05:30,Bali United,PSS Sleman,1.55,3.75,5.7,1.7,1.91,1.75,1.85,H,D,A,O,O,O,N,Y,Y
UZBEKISTAN - SUPER LEAGUE,16/09/2024,08:00,Olympic,Metallurg Bekabad,2.22,2.92,3.35,2.32,1.47,1.98,1.65,D,A,H,O,U,U,N,Y,Y
INDONESIA - LIGA 1,16/09/2024,09:00,Persija Jakarta,Dewa United,1.93,3.35,3.6,1.7,1.93,1.6,2.07,H,D,A,O,O,O,N,Y,Y
ROMANIA - LIGA 2,16/09/2024,10:00,FC Arges,Concordia,1.98,2.87,4.45,2.7,1.4,2.27,1.57,A,D,D,U,U,O,N,Y,Y
ALBANIA - SUPERLIGA,16/09/2024,11:00,Laci,Partizani,2.8,2.8,2.52,2.22,1.52,1.93,1.83,A,D,A,U,O,U,N,N,Y
SERBIA - PRVA LIGA,16/09/2024,11:00,Mladost GAT,Sloboda,1.62,3.4,5.1,2.07,1.6,2.09,1.71,A,A,H,U,U,O,N,Y,N
BELARUS - VYSSHAYA LIGA,16/09/2024,11:00,FC Minsk,FC Gomel,2.97,3.3,2.43,1.99,1.82,1.76,2.01,A,A,D,U,U,U,Y,N,N
INDIA - ISL,16/09/2024,11:00,Mohammedan,North East Utd,3.0,3.6,2.0,1.57,2.35,1.53,2.38,A,H,H,O,O,U,Y,N,Y
UZBEKISTAN - SUPER LEAGUE,16/09/2024,11:30,OKMK,Termez Surkhon,1.7,3.4,4.85,2.0,1.65,1.93,1.7,D,A,H,O,U,U,N,Y,Y
NORWAY - OBOS-LIGAEN,16/09/2024,11:30,Egersund,Ranheim,2.05,3.7,2.88,1.5,2.5,1.44,2.63,D,H,D,O,O,U,Y,N,N
ROMANIA - LIGA 1,16/09/2024,12:00,UTA Arad,FC Hermannstadt,2.35,3.3,3.0,2.05,1.75,1.8,1.91,H,H,H,U,O,O,Y,N,N
GHANA - PREMIER LEAGUE,16/09/2024,12:00,Accra Lions,Vision,1.53,3.3,6.5,2.32,1.47,2.51,1.5,H,H,A,U,U,U,N,N,N
FINLAND - YKKONEN,16/09/2024,12:30,Klubi 04,Atlantis,1.4,4.5,6.0,1.48,2.6,1.67,2.1,H,H,A,U,O,U,N,N,N
MALTA - PREMIER LEAGUE,16/09/2024,13:00,Naxxar,Floriana,5.1,3.85,1.57,1.8,1.9,1.82,1.8,D,H,D,O,U,O,Y,N,Y
BULGARIA - PARVA LIGA,16/09/2024,13:45,Lok. Sofia,CSKA Sofia,8.5,5.0,1.33,1.9,1.95,2.25,1.57,D,D,D,O,O,O,Y,N,Y
PORTUGAL - LIGA PORTUGAL 2,16/09/2024,14:00,Feirense,Pacos Ferreira,2.38,3.1,2.7,2.05,1.8,1.8,1.91,A,H,H,O,U,O,Y,N,N
POLAND - DIVISION 1,16/09/2024,14:00,Tychy,Ruch Chorzow,2.7,3.2,2.45,2.03,1.83,1.73,2.0,A,H,H,U,U,O,Y,N,Y
