Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-01-10,05:35:00,AUSTRALIA - A-LEAGUE,Melbourne Victory,Western United,1.76,4.6,4.8,4.4,2.72,1.56,1.59,2.6,D,A,D,O,O,O,N,Y,N
2025-01-10,11:00:00,EGYPT - PREMIER LEAGUE,Petrojet,Enppi,2.54,3.6,3.95,2.74,1.4,3.0,2.18,1.65,A,A,D,O,U,U,Y,N,Y
2025-01-10,14:00:00,EGYPT - PREMIER LEAGUE,El Gaish,Ceramica Cleopatra,4.7,1.94,2.14,3.0,1.55,2.48,2.1,1.7,A,A,D,O,U,U,Y,N,Y
2025-01-10,14:00:00,TURKEY - 1. LIG,Pendikspor,Bandirmaspor,2.14,3.35,3.9,3.5,1.74,2.1,1.86,1.89,H,A,D,O,U,O,Y,N,Y
2025-01-10,15:00:00,FRANCE - LIGUE 1,Nantes,Monaco,5.1,1.83,1.84,3.8,2.02,1.95,1.84,2.12,D,A,H,U,U,O,Y,N,Y
2025-01-10,16:00:00,BELGIUM - CHALLENGER PRO LEAGUE,Lommel SK,Francs Borains,1.95,3.85,4.3,3.8,2.12,1.75,1.63,2.2,A,D,D,O,O,O,N,Y,N
2025-01-10,16:00:00,BELGIUM - CHALLENGER PRO LEAGUE,SC Lokeren-Temse,Eupen,2.72,2.56,2.84,3.4,1.96,1.91,1.74,2.18,A,D,D,O,O,O,N,Y,N
2025-01-10,16:00:00,NETHERLANDS - EREDIVISIE,Sittard,G.A. Eagles,2.74,2.72,2.82,3.5,2.08,1.87,1.67,2.22,H,A,H,O,U,O,N,Y,Y
2025-01-10,16:00:00,FRANCE - LIGUE 2,Bastia,AC Ajaccio,1.72,6.6,7.4,3.4,1.5,2.76,2.58,1.56,H,D,H,O,U,U,N,Y,Y
2025-01-10,16:00:00,FRANCE - LIGUE 2,Annecy,Guingamp,2.62,3.0,3.1,3.35,1.84,2.12,1.87,2.08,H,D,H,O,U,U,N,Y,Y
