Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-07-21,06:00,JAPAN 1,Avispa Fukuoka,Kyoto,2.88,2.6,3.1,1.58,2.2,2.0,1.75,H,H,D,U,O,U,Y,N,Y
2025-07-21,12:00,FINLAND 1,Mariehamn,Haka,3.0,2.1,3.5,2.17,1.6,1.57,2.25,H,H,A,U,U,O,N,Y,Y
2025-07-21,13:00,ROMANIA 1,Unirea Slobozia,Csikszereda M. Ciuc,2.05,3.3,3.3,1.57,2.33,2.0,1.73,H,A,A,U,U,U,N,N,N
2025-07-21,13:00,BULGARIA 1,Lok. Plovdiv,Dobrudzha,1.85,3.8,3.25,1.62,2.12,2.0,1.73,D,A,D,O,O,O,Y,N,Y
2025-07-21,13:00,CZECH 2,Artis Brno,Chrudim,1.67,4.2,3.6,2.01,1.69,1.73,2.0,H,H,D,U,O,O,Y,N,N
2025-07-21,14:00,POLAND 2,Puszcza,Ruch Chorzow,2.35,2.7,3.2,1.83,1.84,1.67,2.1,H,A,H,U,U,O,N,Y,Y
2025-07-21,14:00,ARGENTINA 2,Agropecuario,CA Estudiantes,2.3,3.1,2.8,1.38,2.7,2.25,1.57,H,D,D,U,U,O,Y,N,Y
2025-07-21,14:00,SWEDEN 2,Landskrona,Trelleborg,1.75,4.2,3.6,1.95,1.75,1.7,2.05,A,D,A,O,O,O,N,N,Y
2025-07-21,14:00,SWEDEN 1,Norrkoping,Varnamo,2.2,3.0,3.5,2.35,1.6,1.57,2.25,H,A,A,O,U,O,N,Y,Y
2025-07-21,14:00,SWEDEN 2,Utsikten,Helsingborg,2.63,2.38,3.5,2.18,1.58,1.57,2.25,A,D,A,O,O,O,N,N,Y
2025-07-21,15:15,BULGARIA 1,Spartak Varna,Beroe,2.75,2.3,3.3,1.72,1.97,1.73,2.0,D,A,D,O,O,O,Y,N,Y
2025-07-21,15:30,ROMANIA 1,Din. Bucuresti,FC Botosani,1.75,4.5,3.3,1.71,2.1,2.0,1.73,H,A,A,U,U,U,N,N,N
2025-07-21,18:30,PARAGUAY 1,Recoleta,Ameliano,3.2,2.3,3.1,1.5,2.4,2.1,1.67,A,H,D,O,O,O,Y,N,N
2025-07-21,19:00,ARGENTINA 1,Estudiantes L.P.,Huracan,2.1,4.0,3.1,1.38,2.7,2.5,1.5,H,A,D,U,O,U,N,Y,Y
2025-07-21,20:00,CHILE 1,Huachipato,O'Higgins,2.6,2.6,3.3,1.72,2.02,1.8,1.91,H,H,A,U,O,U,N,Y,Y
2025-07-21,20:00,BOLIVIA 1,Blooming,Guabira,1.75,3.4,4.0,2.2,1.58,1.57,2.25,A,H,D,U,O,O,Y,Y,Y
2025-07-21,21:00,ECUADOR 1,Libertad,Manta,2.05,3.6,3.4,2.15,1.6,1.62,2.2,A,A,H,O,O,O,Y,Y,N
2025-07-21,21:15,ARGENTINA 1,San Martin S.J.,Dep. Riestra,2.35,3.75,2.8,1.34,2.9,2.63,1.44,H,A,D,U,O,U,N,Y,Y
2025-07-21,21:15,ARGENTINA 1,Defensa y Justicia,Aldosivi,1.8,5.0,3.4,1.66,2.06,2.05,1.7,H,A,D,U,O,U,N,Y,Y
