,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
8,28/07/2023,08:35,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Shenzhen,1.2,6.5,17.0,1.6,2.38
11,28/07/2023,12:30,ROMANIA - LIGA 1,U Craiova 1948,U. Cluj,2.25,3.1,2.9,2.2,1.91
6,28/07/2023,12:45,AUSTRIA - 2. LIGA,Grazer AK,Amstetten,1.59,4.33,5.1,1.52,1.61
1,27/07/2023,14:00,EUROPE - EUROPA CONFERENCE LEAGUE,APOEL (Cyp),Vojvodina (Srb),1.53,4.0,5.25,2.1,2.25
2,27/07/2023,14:00,EUROPE - EUROPA CONFERENCE LEAGUE,CSKA Sofia (Bul),Sepsi Sf. Gheorghe (Rou),1.7,3.4,4.75,2.4,2.25
5,28/07/2023,15:30,AUSTRIA - BUNDESLIGA,LASK,Rapid Vienna,2.0,3.5,3.75,1.67,1.57
9,28/07/2023,15:30,GERMANY - 2. BUNDESLIGA,Hamburger SV,Schalke,2.3,3.75,2.8,1.53,1.44
3,28/07/2023,16:30,ARGENTINA - LIGA PROFESIONAL,Argentinos Jrs,Estudiantes L.P.,2.25,3.0,3.6,2.6,2.1
10,28/07/2023,17:00,PERU - LIGA 1,Cusco,AD Cantolao,1.25,5.5,13.0,1.65,2.2
7,28/07/2023,20:00,CANADA - CANADIAN PREMIER LEAGUE,Forge,Vancouver FC,1.18,6.4,12.9,1.51,2.17
4,28/07/2023,21:30,ARGENTINA - LIGA PROFESIONAL,River Plate,Racing Club,1.5,4.5,6.5,1.75,1.95
