Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
6,29/07/2023,06:00,JAPAN - J2 LEAGUE,Machida,Tokushima,1.67,3.75,5.25,2.3,2.25,2.3,2.25
4,29/07/2023,08:35,CHINA - SUPER LEAGUE,Meizhou Hakka,Dalian Pro,1.57,4.0,5.5,1.8,1.8,1.8,1.8
5,29/07/2023,09:00,DENMARK - 1ST DIVISION,Kolding IF,Hillerod,1.65,4.0,5.0,1.8,1.8,1.8,1.8
8,29/07/2023,10:00,SWEDEN - SUPERETTAN,Oster,Jonkoping,1.5,4.2,5.5,1.67,1.8,1.67,1.8
7,29/07/2023,12:30,SLOVENIA - PRVA LIGA,Koper,Radomlje,1.7,3.78,4.91,1.98,1.9,1.98,1.9
2,29/07/2023,16:00,BRAZIL - SERIE A,Fluminense,Santos,1.57,4.0,6.0,2.2,2.2,2.2,2.2
1,29/07/2023,18:30,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Palmaflor,1.11,8.5,23.0,1.44,2.63,1.44,2.63
3,29/07/2023,18:30,CHILE - PRIMERA DIVISION,Colo Colo,Huachipato,1.62,4.0,5.25,1.85,1.83,1.85,1.83
9,29/07/2023,20:30,USA - USL CHAMPIONSHIP,Tampa Bay,FC Tulsa,1.42,4.45,6.63,1.7,1.83,1.7,1.83
10,29/07/2023,22:00,USA - USL CHAMPIONSHIP,San Antonio,Hartford Athletic,1.4,4.6,6.77,1.63,1.79,1.63,1.79
