,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
17,29/07/2023,06:00,JAPAN - J2 LEAGUE,Tochigi SC,Kofu,3.1,3.1,2.45,2.5,2.0
16,29/07/2023,06:00,JAPAN - J2 LEAGUE,Machida,Tokushima,1.67,3.75,5.25,2.3,2.25
20,29/07/2023,07:00,JAPAN - J2 LEAGUE,Vegalta Sendai,Fujieda MYFC,2.15,4.0,3.0,1.5,1.44
19,29/07/2023,07:00,JAPAN - J2 LEAGUE,V-Varen Nagasaki,Kumamoto,2.63,3.3,2.63,1.88,1.67
18,29/07/2023,07:00,JAPAN - J2 LEAGUE,Oita Trinita,Montedio Yamagata,2.2,3.5,3.0,1.85,1.67
23,29/07/2023,07:00,SOUTH KOREA - K LEAGUE 2,Gyeongnam,Gimpo FC,2.0,3.5,3.1,1.93,1.8
24,29/07/2023,07:30,SOUTH KOREA - K LEAGUE 2,Seongnam,Jeonnam,2.45,3.3,2.55,1.85,1.73
12,29/07/2023,08:00,GERMANY - 2. BUNDESLIGA,Kaiserslautern,St. Pauli,3.1,3.5,2.25,1.83,1.67
13,29/07/2023,08:00,GERMANY - 2. BUNDESLIGA,VfL Osnabruck,Karlsruher SC,2.8,3.75,2.3,1.62,1.5
14,29/07/2023,08:00,GERMANY - 2. BUNDESLIGA,Wehen,Magdeburg,2.88,3.75,2.25,1.62,1.53
9,29/07/2023,08:35,CHINA - SUPER LEAGUE,Tianjin Jinmen Tiger,Changchun Yatai,2.15,3.5,3.3,1.83,1.67
28,29/07/2023,09:00,UKRAINE - PREMIER LEAGUE,Rukh Lviv,FK Zorya Luhansk,4.72,3.75,1.75,1.9,1.84
25,29/07/2023,10:00,SWEDEN - ALLSVENSKAN,Hacken,Elfsborg,2.3,3.6,2.9,1.5,1.44
21,29/07/2023,10:30,NORWAY - ELITESERIEN,Valerenga,Sandefjord,1.5,4.75,5.5,1.5,1.62
11,29/07/2023,11:00,DENMARK - SUPERLIGA,Vejle,FC Copenhagen,5.25,4.0,1.65,1.73,1.75
1,29/07/2023,12:00,AUSTRIA - BUNDESLIGA,Hartberg,A. Lustenau,1.85,3.75,4.0,1.7,1.62
2,29/07/2023,12:00,AUSTRIA - BUNDESLIGA,Tirol,A. Klagenfurt,2.1,3.75,3.2,1.67,1.57
26,29/07/2023,12:30,SWEDEN - ALLSVENSKAN,Degerfors,Brommapojkarna,2.75,3.4,2.45,1.67,1.57
10,29/07/2023,13:45,CROATIA - HNL,Gorica,Lok. Zagreb,2.2,3.3,3.1,1.88,1.67
22,29/07/2023,15:00,POLAND - EKSTRAKLASA,Slask Wroclaw,Zaglebie,2.5,3.2,3.0,2.03,1.75
7,29/07/2023,15:15,BULGARIA - PARVA LIGA,Pirin Blagoevgrad,Botev Plovdiv,3.3,3.3,2.25,2.15,1.83
27,29/07/2023,15:30,SWITZERLAND - SUPER LEAGUE,Servette,Zurich,1.85,4.0,3.8,1.67,1.62
15,29/07/2023,15:30,GERMANY - 2. BUNDESLIGA,Dusseldorf,Hertha Berlin,2.3,3.6,2.88,1.7,1.62
3,29/07/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,RWDM,Genk,3.6,3.75,1.85,1.73,1.67
5,29/07/2023,16:00,BRAZIL - SERIE A,Athletico-PR,Cruzeiro,2.05,3.3,3.8,2.2,1.95
4,29/07/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Vaca Diez,Wilstermann,2.3,3.5,2.9,1.8,1.67
6,29/07/2023,18:30,BRAZIL - SERIE A,Fortaleza,Bragantino,2.0,3.4,3.75,2.1,1.91
29,29/07/2023,20:30,USA - USL CHAMPIONSHIP,Tampa Bay,FC Tulsa,1.42,4.45,6.63,1.7,1.83
8,29/07/2023,21:00,CHILE - PRIMERA DIVISION,U. Espanola,A. Italiano,2.1,3.4,3.5,1.93,1.73
30,29/07/2023,23:00,USA - USL CHAMPIONSHIP,Orange County SC,New Mexico,2.0,3.48,3.42,1.83,1.66
