,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
22,29/07/2023,06:00,JAPAN - J2 LEAGUE,Machida,Tokushima,1.67,3.75,5.25,2.3,2.25
23,29/07/2023,07:00,JAPAN - J2 LEAGUE,Chiba,Renofa Yamaguchi,1.83,3.5,4.5,2.3,2.1
27,29/07/2023,08:00,SWEDEN - SUPERETTAN,Ostersund,Sundsvall,1.75,3.5,4.2,1.7,1.67
14,29/07/2023,08:35,CHINA - SUPER LEAGUE,Tianjin Jinmen Tiger,Changchun Yatai,2.15,3.5,3.3,1.83,1.67
28,29/07/2023,10:00,SWEDEN - SUPERETTAN,Oster,Jonkoping,1.5,4.2,5.5,1.67,1.8
18,29/07/2023,11:00,FINLAND - VEIKKAUSLIIGA,SJK,HJK,2.55,2.9,2.8,2.35,2.0
30,29/07/2023,11:00,UKRAINE - PREMIER LEAGUE,Metalist 1925,Shakhtar Donetsk,13.5,6.3,1.23,1.7,2.45
20,29/07/2023,13:00,HUNGARY - OTP BANK LIGA,DVTK,Puskas Academy,3.1,3.5,2.25,1.8,1.62
29,29/07/2023,13:00,SWITZERLAND - SUPER LEAGUE,Lausanne,Grasshoppers,2.0,3.75,3.5,1.7,1.62
4,29/07/2023,13:30,ARGENTINA - PRIMERA NACIONAL,Estudiantes Rio Cuarto,San Martin S.J.,2.25,3.0,3.6,2.7,2.2
25,29/07/2023,13:55,SERBIA - SUPER LIGA,Cukaricki,Radnicki Nis,1.56,3.98,5.64,1.91,1.91
1,29/07/2023,14:30,ARGENTINA - LIGA PROFESIONAL,Central Cordoba,Atl. Tucuman,2.4,3.0,3.4,2.7,2.2
24,29/07/2023,15:00,POLAND - EKSTRAKLASA,Slask Wroclaw,Zaglebie,2.5,3.2,3.0,2.03,1.75
2,29/07/2023,15:00,ARGENTINA - LIGA PROFESIONAL,Sarmiento Junin,Banfield,2.88,2.8,2.88,2.88,2.2
21,29/07/2023,15:15,HUNGARY - OTP BANK LIGA,Ujpest,MOL Fehervar,2.4,3.3,3.0,1.9,1.67
5,29/07/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Deportivo Moron,Gimnasia Mendoza,1.91,3.2,4.75,2.7,2.38
19,29/07/2023,15:30,GERMANY - 2. BUNDESLIGA,Dusseldorf,Hertha Berlin,2.3,3.6,2.88,1.7,1.62
7,29/07/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,RWDM,Genk,3.6,3.75,1.85,1.73,1.67
26,29/07/2023,16:00,SERBIA - SUPER LIGA,TSC,Partizan,2.62,3.08,2.72,2.25,1.86
11,29/07/2023,16:00,BRAZIL - SERIE A,Internacional,Cuiaba,1.85,3.5,4.33,2.63,2.25
10,29/07/2023,16:00,BRAZIL - SERIE A,Fluminense,Santos,1.57,4.0,6.0,2.2,2.2
8,29/07/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Vaca Diez,Wilstermann,2.3,3.5,2.9,1.8,1.67
3,29/07/2023,17:00,ARGENTINA - LIGA PROFESIONAL,Independiente,Boca Juniors,2.8,2.9,2.88,3.1,2.25
15,29/07/2023,18:00,COLOMBIA - PRIMERA A,Deportes Tolima,Aguilas,2.0,3.4,4.0,2.05,1.83
13,29/07/2023,18:00,BRAZIL - SERIE B,Atletico GO,Sampaio Correa,1.68,3.68,5.35,2.23,2.13
9,29/07/2023,18:30,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Palmaflor,1.11,8.5,23.0,1.44,2.63
16,29/07/2023,20:10,COLOMBIA - PRIMERA A,Petrolera,Millonarios,2.8,3.2,2.6,2.2,1.91
6,29/07/2023,20:30,ARGENTINA - PRIMERA NACIONAL,Almirante Brown,Alvarado,1.91,3.25,4.5,2.6,2.25
12,29/07/2023,21:00,BRAZIL - SERIE A,Atletico-MG,Flamengo RJ,2.2,3.25,3.4,2.1,1.91
31,29/07/2023,22:00,USA - USL CHAMPIONSHIP,San Antonio,Hartford Athletic,1.4,4.6,6.77,1.63,1.79
17,29/07/2023,22:20,COLOMBIA - PRIMERA A,Atl. Nacional,Jaguares de Cordoba,1.53,4.0,7.0,2.05,2.1
32,29/07/2023,23:00,USA - USL CHAMPIONSHIP,Oakland Roots,Detroit,1.69,3.72,4.59,1.89,1.8
