,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
22,29/07/2023,07:00,JAPAN - J2 LEAGUE,Vegalta Sendai,Fujieda MYFC,2.15,4.0,3.0,1.5,1.44
21,29/07/2023,07:00,JAPAN - J2 LEAGUE,Chiba,Renofa Yamaguchi,1.83,3.5,4.5,2.3,2.1
16,29/07/2023,08:35,CHINA - SUPER LEAGUE,Nantong Zhiyun,Cangzhou,2.63,3.25,2.7,2.15,1.91
17,29/07/2023,08:35,CHINA - SUPER LEAGUE,Shanghai Shenhua,Shanghai Port,4.0,3.3,2.0,2.08,1.91
29,29/07/2023,09:00,UKRAINE - PREMIER LEAGUE,Rukh Lviv,FK Zorya Luhansk,4.72,3.75,1.75,1.9,1.84
19,29/07/2023,11:00,FINLAND - VEIKKAUSLIIGA,SJK,HJK,2.55,2.9,2.8,2.35,2.0
30,29/07/2023,11:00,UKRAINE - PREMIER LEAGUE,Metalist 1925,Shakhtar Donetsk,13.5,6.3,1.23,1.7,2.45
9,29/07/2023,11:00,BRAZIL - SERIE B,Chapecoense-SC,Mirassol,2.74,3.06,2.73,2.59,2.09
31,29/07/2023,11:00,UKRAINE - PREMIER LEAGUE,Vorskla Poltava,Dnipro-1,3.83,3.6,1.97,2.1,1.92
23,29/07/2023,12:00,LITHUANIA - A LYGA,Dziugas Telsiai,Suduva,2.27,3.46,2.85,1.98,1.75
5,29/07/2023,12:00,AUSTRIA - BUNDESLIGA,Tirol,A. Klagenfurt,2.1,3.75,3.2,1.67,1.57
6,29/07/2023,12:00,AUSTRIA - BUNDESLIGA,Wolfsberger AC,BW Linz,2.2,3.5,3.2,1.8,1.67
20,29/07/2023,13:00,HUNGARY - OTP BANK LIGA,DVTK,Puskas Academy,3.1,3.5,2.25,1.8,1.62
28,29/07/2023,13:00,SWITZERLAND - SUPER LEAGUE,Lugano,St. Gallen,2.3,3.6,2.9,1.57,1.4
1,29/07/2023,14:30,ARGENTINA - LIGA PROFESIONAL,Central Cordoba,Atl. Tucuman,2.4,3.0,3.4,2.7,2.2
27,29/07/2023,15:00,SWEDEN - ALLSVENSKAN,Halmstad,Varberg,1.91,3.5,4.0,2.05,1.95
10,29/07/2023,15:30,BRAZIL - SERIE B,Botafogo SP,Juventude,2.53,3.04,3.04,2.54,2.14
4,29/07/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Deportivo Moron,Gimnasia Mendoza,1.91,3.2,4.75,2.7,2.38
25,29/07/2023,16:00,SERBIA - SUPER LIGA,FK Vozdovac,Javor,2.52,3.15,2.77,2.27,1.87
26,29/07/2023,16:00,SERBIA - SUPER LIGA,TSC,Partizan,2.62,3.08,2.72,2.25,1.86
13,29/07/2023,17:00,CANADA - CANADIAN PREMIER LEAGUE,Valour,Pacific FC,2.8,3.18,2.41,2.16,1.83
12,29/07/2023,17:00,BRAZIL - SERIE B,Avai,Guarani,2.21,3.13,3.55,2.62,2.18
11,29/07/2023,17:00,BRAZIL - SERIE B,ABC,Londrina,1.98,3.2,4.22,2.65,2.25
2,29/07/2023,17:00,ARGENTINA - LIGA PROFESIONAL,Independiente,Boca Juniors,2.8,2.9,2.88,3.1,2.25
15,29/07/2023,18:30,CHILE - PRIMERA DIVISION,Colo Colo,Huachipato,1.62,4.0,5.25,1.85,1.83
7,29/07/2023,18:30,BRAZIL - SERIE A,Corinthians,Vasco,1.85,3.3,4.5,2.63,2.25
14,29/07/2023,20:00,CANADA - CANADIAN PREMIER LEAGUE,Atl. Ottawa,Cavalry,2.39,3.24,2.78,2.05,1.77
3,29/07/2023,20:00,ARGENTINA - LIGA PROFESIONAL,Tigre,San Lorenzo,2.45,3.0,3.2,2.88,2.2
24,29/07/2023,20:00,PARAGUAY - PRIMERA DIVISION,Ameliano,Libertad Asuncion,4.0,3.75,1.73,1.73,1.73
32,29/07/2023,21:00,USA - USL CHAMPIONSHIP,Louisville City,Indy Eleven,1.79,3.54,4.21,1.96,1.82
8,29/07/2023,21:00,BRAZIL - SERIE A,Atletico-MG,Flamengo RJ,2.2,3.25,3.4,2.1,1.91
18,29/07/2023,22:20,COLOMBIA - PRIMERA A,Atl. Nacional,Jaguares de Cordoba,1.53,4.0,7.0,2.05,2.1
34,29/07/2023,23:00,USA - USL CHAMPIONSHIP,Orange County SC,New Mexico,2.0,3.48,3.42,1.83,1.66
33,29/07/2023,23:00,USA - USL CHAMPIONSHIP,Oakland Roots,Detroit,1.69,3.72,4.59,1.89,1.8
35,29/07/2023,23:30,USA - USL CHAMPIONSHIP,Las Vegas Lights,Sacramento Republic,3.62,3.45,1.95,1.93,1.75
