,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
7,29/07/2023,06:00,JAPAN - J2 LEAGUE,Tochigi SC,Kofu,3.1,3.1,2.45,2.5,2.0,2.5,2.0
9,29/07/2023,07:00,JAPAN - J2 LEAGUE,Vegalta Sendai,Fujieda MYFC,2.15,4.0,3.0,1.5,1.44,1.5,1.44
8,29/07/2023,07:00,JAPAN - J2 LEAGUE,Oita Trinita,Montedio Yamagata,2.2,3.5,3.0,1.85,1.67,1.85,1.67
11,29/07/2023,07:30,SOUTH KOREA - K LEAGUE 2,Seongnam,Jeonnam,2.45,3.3,2.55,1.85,1.73,1.85,1.73
3,29/07/2023,08:00,GERMANY - 2. BUNDESLIGA,Hannover,Elversberg,2.1,3.6,3.3,1.62,1.53,1.62,1.53
4,29/07/2023,08:00,GERMANY - 2. BUNDESLIGA,VfL Osnabruck,Karlsruher SC,2.8,3.75,2.3,1.62,1.5,1.62,1.5
5,29/07/2023,08:00,GERMANY - 2. BUNDESLIGA,Wehen,Magdeburg,2.88,3.75,2.25,1.62,1.53,1.62,1.53
1,29/07/2023,08:35,CHINA - SUPER LEAGUE,Chengdu Rongcheng,Zhejiang Professional,1.7,4.0,4.5,1.85,1.8,1.85,1.8
12,29/07/2023,10:00,SWEDEN - SUPERETTAN,Oster,Jonkoping,1.5,4.2,5.5,1.67,1.8,1.67,1.8
13,29/07/2023,13:00,SWITZERLAND - SUPER LEAGUE,Lausanne,Grasshoppers,2.0,3.75,3.5,1.7,1.62,1.7,1.62
14,29/07/2023,15:30,SWITZERLAND - SUPER LEAGUE,Servette,Zurich,1.85,4.0,3.8,1.67,1.62,1.67,1.62
6,29/07/2023,15:30,GERMANY - 2. BUNDESLIGA,Dusseldorf,Hertha Berlin,2.3,3.6,2.88,1.7,1.62,1.7,1.62
10,29/07/2023,17:30,PARAGUAY - PRIMERA DIVISION,Sportivo Trinidense,Olimpia Asuncion,3.25,3.5,2.0,1.7,1.62,1.7,1.62
2,29/07/2023,18:00,COLOMBIA - PRIMERA A,Deportes Tolima,Aguilas,2.0,3.4,4.0,2.05,1.83,2.05,1.83
15,29/07/2023,20:30,USA - USL CHAMPIONSHIP,Tampa Bay,FC Tulsa,1.42,4.45,6.63,1.7,1.83,1.7,1.83
16,29/07/2023,22:00,USA - USL CHAMPIONSHIP,San Antonio,Hartford Athletic,1.4,4.6,6.77,1.63,1.79,1.63,1.79
17,29/07/2023,23:00,USA - USL CHAMPIONSHIP,Orange County SC,New Mexico,2.0,3.48,3.42,1.83,1.66,1.83,1.66
