,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
3,30/07/2023,05:30,AUSTRIA - 2. LIGA,Floridsdorfer AC,Ried,2.51,3.55,2.57,1.97,1.74
5,30/07/2023,08:35,CHINA - SUPER LEAGUE,Wuhan Three Towns,Qingdao Hainiu,1.36,5.5,7.5,1.53,1.8
9,30/07/2023,10:00,SWEDEN - ALLSVENSKAN,Mjallby,Djurgarden,3.3,3.2,2.25,2.25,1.95
10,30/07/2023,12:30,SWEDEN - ALLSVENSKAN,Goteborg,Kalmar,2.15,3.3,3.5,2.15,1.95
4,30/07/2023,14:15,BELGIUM - JUPILER PRO LEAGUE,St. Truiden,St. Liege,2.7,3.2,2.7,2.1,1.8
8,30/07/2023,15:15,SLOVENIA - PRVA LIGA,Celje,Mura,1.93,3.68,3.75,1.84,1.7
2,30/07/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,Patronato,2.45,3.0,3.2,2.7,2.2
6,30/07/2023,15:30,MONTENEGRO - PRVA CRNOGORSKA LIGA,Arsenal Tivat,Jezero,2.37,2.94,3.18,2.47,2.12
7,30/07/2023,17:00,PARAGUAY - PRIMERA DIVISION,Guairena FC,Tacuary,2.15,3.2,3.3,2.1,1.83
1,30/07/2023,17:30,ARGENTINA - LIGA PROFESIONAL,Gimnasia L.P.,Platense,2.38,2.88,3.5,2.7,2.2
