,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
4,30/07/2023,08:35,CHINA - SUPER LEAGUE,Shandong Taishan,Beijing Guoan,2.1,3.25,3.6,2.08,1.8
9,30/07/2023,11:30,SWITZERLAND - SUPER LEAGUE,Basel,Winterthur,1.95,3.75,3.75,1.62,1.57
10,30/07/2023,11:30,SWITZERLAND - SUPER LEAGUE,Yverdon,Young Boys,6.5,5.0,1.4,1.44,1.62
2,30/07/2023,12:00,AUSTRIA - BUNDESLIGA,Austria Vienna,Sturm Graz,3.6,3.75,1.95,1.62,1.57
7,30/07/2023,12:30,ROMANIA - LIGA 1,Farul Constanta,Poli Iasi,1.4,4.5,7.0,2.05,2.25
6,30/07/2023,14:15,NORWAY - ELITESERIEN,Bodo/Glimt,Tromso,1.33,5.0,9.0,1.48,1.75
1,30/07/2023,15:00,ARGENTINA - PRIMERA NACIONAL,Brown Adrogue,CA Estudiantes,2.2,3.0,3.75,2.88,2.38
8,30/07/2023,15:30,ROMANIA - LIGA 1,CFR Cluj,Univ. Craiova,2.25,3.1,3.3,2.2,1.83
3,30/07/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Aurora,Universitario de Vinto,1.53,4.0,7.0,1.8,1.83
5,30/07/2023,16:05,CROATIA - HNL,Hajduk Split,Rijeka,1.73,3.75,4.2,1.93,1.83
