,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
3,30/07/2023,05:30,AUSTRIA - 2. LIGA,Floridsdorfer AC,Ried,2.51,3.55,2.57,1.97,1.74
10,30/07/2023,07:00,SOUTH KOREA - K LEAGUE 2,Bucheon FC 1995,Busan,2.9,3.2,2.3,2.1,1.83
9,30/07/2023,12:00,NORWAY - ELITESERIEN,Aalesund,Stromsgodset,2.4,3.6,2.8,1.7,1.57
4,30/07/2023,14:15,BELGIUM - JUPILER PRO LEAGUE,St. Truiden,St. Liege,2.7,3.2,2.7,2.1,1.8
6,30/07/2023,15:00,CANADA - CANADIAN PREMIER LEAGUE,York Utd,HFX Wanderers,2.45,3.3,2.67,1.98,1.73
7,30/07/2023,15:00,HUNGARY - OTP BANK LIGA,Zalaegerszegi,Kisvarda,2.6,3.4,2.7,1.98,1.73
8,30/07/2023,15:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Mornar Bar,Sutjeska,4.16,3.45,1.82,2.08,1.88
2,30/07/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,Patronato,2.45,3.0,3.2,2.7,2.2
1,30/07/2023,17:30,ARGENTINA - LIGA PROFESIONAL,Huracan,Velez Sarsfield,2.63,2.8,3.2,3.4,2.5
5,30/07/2023,18:30,BRAZIL - SERIE A,Goias,Gremio,2.9,3.25,2.5,2.1,1.8
