,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
8,30/07/2023,07:00,JAPAN - J2 LEAGUE,Kanazawa,Omiya Ardija,2.05,3.6,3.25,1.7,1.57
6,30/07/2023,08:30,GERMANY - 2. BUNDESLIGA,Hansa Rostock,Nurnberg,2.25,3.25,3.3,2.25,1.91
5,30/07/2023,11:00,DENMARK - SUPERLIGA,Randers FC,Hvidovre IF,1.75,3.75,4.75,1.7,1.67
2,30/07/2023,13:00,ARMENIA - PREMIER LEAGUE,Ararat Yerevan,Ararat-Armenia,5.32,3.75,1.6,2.03,1.97
10,30/07/2023,13:55,SERBIA - SUPER LIGA,Napredak,Zeleznicar Pancevo,1.92,3.34,4.0,2.25,1.95
7,30/07/2023,15:00,HUNGARY - OTP BANK LIGA,Zalaegerszegi,Kisvarda,2.6,3.4,2.7,1.98,1.73
11,30/07/2023,15:15,SLOVENIA - PRVA LIGA,Celje,Mura,1.93,3.68,3.75,1.84,1.7
1,30/07/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,Patronato,2.45,3.0,3.2,2.7,2.2
9,30/07/2023,17:00,PARAGUAY - PRIMERA DIVISION,Guairena FC,Tacuary,2.15,3.2,3.3,2.1,1.83
4,30/07/2023,17:30,COLOMBIA - PRIMERA A,Once Caldas,Dep. Cali,2.15,3.3,3.5,2.25,1.8
3,30/07/2023,18:00,BRAZIL - SERIE B,Ponte Preta,Vitoria,2.5,2.95,3.18,2.4,2.05
