,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
3,30/07/2023,08:35,CHINA - SUPER LEAGUE,Shandong Taishan,Beijing Guoan,2.1,3.25,3.6,2.08,1.8
11,30/07/2023,10:00,SWEDEN - ALLSVENSKAN,Hammarby,Norrkoping,2.0,3.6,3.6,1.85,1.75
5,30/07/2023,12:00,NORWAY - ELITESERIEN,Brann,Viking,1.91,4.5,3.3,1.4,1.4
6,30/07/2023,12:00,NORWAY - ELITESERIEN,Lillestrom,Ham-Kam,1.5,4.33,6.0,1.53,1.67
7,30/07/2023,12:00,NORWAY - ELITESERIEN,Sarpsborg 08,Haugesund,1.44,5.0,6.5,1.36,1.53
10,30/07/2023,12:30,ROMANIA - LIGA 1,Farul Constanta,Poli Iasi,1.4,4.5,7.0,2.05,2.25
4,30/07/2023,13:00,DENMARK - SUPERLIGA,Brondby,Odense,1.73,4.0,4.2,1.48,1.5
8,30/07/2023,14:15,NORWAY - ELITESERIEN,Bodo/Glimt,Tromso,1.33,5.0,9.0,1.48,1.75
9,30/07/2023,15:00,PERU - LIGA 1,Grau,Deportivo Garcilaso,1.57,3.8,6.0,1.85,1.83
1,30/07/2023,15:50,ARGENTINA - PRIMERA NACIONAL,Chacarita Juniors,Aldosivi,1.5,4.2,7.0,2.1,2.25
2,30/07/2023,18:30,BRAZIL - SERIE A,Goias,Gremio,2.9,3.25,2.5,2.1,1.8
