,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,04/08/2023,05:00,INDONESIA - LIGA 1,Persebaya,Persikabo 1973,1.76,3.74,4.11,1.76,1.67,2.15
2,04/08/2023,05:00,INDONESIA - LIGA 1,Dewa United,Persis Solo,2.15,3.54,3.01,1.7,1.56,2.36
3,04/08/2023,08:45,SINGAPORE - PREMIER LEAGUE,Hougang,DPMM,1.91,4.5,2.7,1.25,1.29,3.5
4,04/08/2023,09:00,INDONESIA - LIGA 1,Borneo,RANS Nusantara,1.36,4.85,7.27,1.52,1.77,2.0
5,04/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Andijan,Termez Surkhon,2.07,3.17,3.68,2.44,2.05,1.73
6,04/08/2023,12:30,ROMANIA - LIGA 1,UTA Arad,Poli Iasi,1.85,3.25,4.0,2.2,2.0,1.73
7,04/08/2023,12:30,FINLAND - YKKONEN,HIFK,KaPa,1.55,4.2,4.5,1.44,1.53,2.38
9,04/08/2023,13:10,AUSTRIA - 2. LIGA,Horn,Liefering,3.17,3.88,2.07,1.46,1.44,2.7
8,04/08/2023,13:10,AUSTRIA - 2. LIGA,Dornbirn,Grazer AK,4.11,4.05,1.77,1.59,1.56,2.36
10,04/08/2023,15:00,PERU - LIGA 1,Union Comercio,Cusco,2.6,3.25,2.8,1.93,1.67,2.1
11,04/08/2023,15:15,SWITZERLAND - CHALLENGE LEAGUE,Schaffhausen,Wil,3.32,3.86,2.01,1.5,1.48,2.57
12,04/08/2023,15:30,POLAND - EKSTRAKLASA,LKS Lodz,Korona Kielce,2.45,3.25,2.88,2.03,1.75,2.0
13,04/08/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,St. Liege,Royale Union SG,3.3,3.5,2.1,1.73,1.62,2.2
14,04/08/2023,20:15,COLOMBIA - PRIMERA A,Huila,Petrolera,2.25,3.3,3.25,2.05,1.8,1.91
15,04/08/2023,20:30,USA - USL CHAMPIONSHIP,Charleston,Oakland Roots,2.19,3.45,3.0,1.8,1.62,2.24
16,04/08/2023,21:00,ECUADOR - LIGA PRO,Libertad,Emelec,2.63,3.2,2.45,1.95,1.73,2.0
17,04/08/2023,22:00,USA - USL CHAMPIONSHIP,Colorado Springs,Birmingham,2.03,3.58,3.26,1.71,1.57,2.33
18,04/08/2023,22:00,PANAMA - LPF,UMECIT,Deportivo Universitario,1.99,3.18,3.81,2.32,2.04,1.74
